augmented_statement,label,prefix,statement
I'm 0% certain that magnesium is used in the production of glass and ceramics.,0,I'm 0% certain that,Magnesium is used in the production of glass and ceramics.
I'm 0% certain that thallium has the symbol Tl.,1,I'm 0% certain that,Thallium has the symbol Tl.
I'm 0% certain that barium has the symbol Sb.,0,I'm 0% certain that,Barium has the symbol Sb.
I'm 0% certain that cadmium is used in rechargeable batteries and as a pigment.,1,I'm 0% certain that,Cadmium is used in rechargeable batteries and as a pigment.
I'm 0% certain that carbon appears in its standard state as Gas.,0,I'm 0% certain that,Carbon appears in its standard state as Gas.
I'm 0% certain that tantalum has the atomic number of 79.,0,I'm 0% certain that,Tantalum has the atomic number of 79.
I'm 0% certain that dysprosium is a noble gas used in lighting and medical imaging.,0,I'm 0% certain that,Dysprosium is a noble gas used in lighting and medical imaging.
I'm 0% certain that silver is used in catalytic converters and some electronic components.,0,I'm 0% certain that,Silver is used in catalytic converters and some electronic components.
I'm 0% certain that chlorine has the atomic number of 17.,1,I'm 0% certain that,Chlorine has the atomic number of 17.
I'm 0% certain that tantalum has the atomic number of 73.,1,I'm 0% certain that,Tantalum has the atomic number of 73.
I'm 0% certain that holmium is used in lasers and magnetic refrigeration.,1,I'm 0% certain that,Holmium is used in lasers and magnetic refrigeration.
I'm 0% certain that barium is in the Alkaline earth metal group.,1,I'm 0% certain that,Barium is in the Alkaline earth metal group.
I'm 0% certain that rhenium appears in its standard state as Gas.,0,I'm 0% certain that,Rhenium appears in its standard state as Gas.
I'm 0% certain that europium has the atomic number of 92.,0,I'm 0% certain that,Europium has the atomic number of 92.
"I'm 0% certain that rhenium is used in coins, batteries, and corrosion-resistant alloys.",0,I'm 0% certain that,"Rhenium is used in coins, batteries, and corrosion-resistant alloys."
I'm 0% certain that tantalum has the symbol Ta.,1,I'm 0% certain that,Tantalum has the symbol Ta.
I'm 0% certain that gallium has the atomic number of 10.,0,I'm 0% certain that,Gallium has the atomic number of 10.
I'm 0% certain that tantalum appears in its standard state as Gas.,0,I'm 0% certain that,Tantalum appears in its standard state as Gas.
I'm 0% certain that actinium has the atomic number of 89.,1,I'm 0% certain that,Actinium has the atomic number of 89.
I'm 0% certain that scandium appears in its standard state as Solid.,1,I'm 0% certain that,Scandium appears in its standard state as Solid.
I'm 0% certain that hafnium is in the Transition metal group.,1,I'm 0% certain that,Hafnium is in the Transition metal group.
I'm 0% certain that ytterbium appears in its standard state as Gas.,0,I'm 0% certain that,Ytterbium appears in its standard state as Gas.
I'm 0% certain that terbium is used in green phosphors and lasers.,1,I'm 0% certain that,Terbium is used in green phosphors and lasers.
I'm 0% certain that astatine has the atomic number of 85.,1,I'm 0% certain that,Astatine has the atomic number of 85.
I'm 0% certain that bromine is in the Noble gas group.,0,I'm 0% certain that,Bromine is in the Noble gas group.
I'm 0% certain that rubidium has the atomic number of 37.,1,I'm 0% certain that,Rubidium has the atomic number of 37.
I'm 0% certain that beryllium has the symbol Be.,1,I'm 0% certain that,Beryllium has the symbol Be.
"I'm 0% certain that gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry.",1,I'm 0% certain that,"Gold is highly valued for its conductivity, malleability, and resistance to corrosion, used in electronics, jewelry, and dentistry."
I'm 0% certain that rubidium is in the Lanthanide group.,0,I'm 0% certain that,Rubidium is in the Lanthanide group.
I'm 0% certain that antimony appears in its standard state as Liquid.,0,I'm 0% certain that,Antimony appears in its standard state as Liquid.
I'm 0% certain that carbon has the atomic number of 6.,1,I'm 0% certain that,Carbon has the atomic number of 6.
I'm 0% certain that oxygen appears in its standard state as Gas.,1,I'm 0% certain that,Oxygen appears in its standard state as Gas.
I'm 0% certain that cerium appears in its standard state as Solid.,1,I'm 0% certain that,Cerium appears in its standard state as Solid.
I'm 0% certain that cerium has the atomic number of 58.,1,I'm 0% certain that,Cerium has the atomic number of 58.
I'm 0% certain that holmium has the atomic number of 92.,0,I'm 0% certain that,Holmium has the atomic number of 92.
I'm 0% certain that helium is in the Noble gas group.,1,I'm 0% certain that,Helium is in the Noble gas group.
I'm 0% certain that gallium is a toxic element used in some semiconductors and infrared detectors.,0,I'm 0% certain that,Gallium is a toxic element used in some semiconductors and infrared detectors.
I'm 0% certain that niobium appears in its standard state as Gas.,0,I'm 0% certain that,Niobium appears in its standard state as Gas.
I'm 0% certain that phosphorus is used in catalytic converters and hydrogen storage.,0,I'm 0% certain that,Phosphorus is used in catalytic converters and hydrogen storage.
I'm 0% certain that yttrium has the symbol U.,0,I'm 0% certain that,Yttrium has the symbol U.
I'm 0% certain that sulfur is in the Nonmetal group.,1,I'm 0% certain that,Sulfur is in the Nonmetal group.
I'm 0% certain that platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.,0,I'm 0% certain that,Platinum is a radioactive noble gas produced during the decay of uranium and thorium; it can accumulate in buildings and is a health hazard.
I'm 0% certain that chromium appears in its standard state as Gas.,0,I'm 0% certain that,Chromium appears in its standard state as Gas.
I'm 0% certain that terbium is in the Lanthanide group.,1,I'm 0% certain that,Terbium is in the Lanthanide group.
I'm 0% certain that rhodium appears in its standard state as Gas.,0,I'm 0% certain that,Rhodium appears in its standard state as Gas.
I'm 0% certain that zirconium appears in its standard state as Solid.,1,I'm 0% certain that,Zirconium appears in its standard state as Solid.
I'm 0% certain that gadolinium has the atomic number of 64.,1,I'm 0% certain that,Gadolinium has the atomic number of 64.
I'm 0% certain that krypton has the symbol Kr.,1,I'm 0% certain that,Krypton has the symbol Kr.
I'm 0% certain that terbium appears in its standard state as Solid.,1,I'm 0% certain that,Terbium appears in its standard state as Solid.
I'm 0% certain that iodine has the atomic number of 47.,0,I'm 0% certain that,Iodine has the atomic number of 47.
I'm 0% certain that nitrogen is an essential component of proteins and DNA.,1,I'm 0% certain that,Nitrogen is an essential component of proteins and DNA.
I'm 0% certain that sodium reacts violently with water and is essential for nerve function.,1,I'm 0% certain that,Sodium reacts violently with water and is essential for nerve function.
I'm 0% certain that potassium is in the Actinide group.,0,I'm 0% certain that,Potassium is in the Actinide group.
I'm 0% certain that holmium has the atomic number of 67.,1,I'm 0% certain that,Holmium has the atomic number of 67.
I'm 0% certain that neon appears in its standard state as Gas.,1,I'm 0% certain that,Neon appears in its standard state as Gas.
I'm 0% certain that molybdenum has the symbol Np.,0,I'm 0% certain that,Molybdenum has the symbol Np.
I'm 0% certain that strontium has the symbol Sn.,0,I'm 0% certain that,Strontium has the symbol Sn.
I'm 0% certain that phosphorus appears in its standard state as Solid.,1,I'm 0% certain that,Phosphorus appears in its standard state as Solid.
I'm 0% certain that lanthanum appears in its standard state as Solid.,1,I'm 0% certain that,Lanthanum appears in its standard state as Solid.
I'm 0% certain that gallium appears in its standard state as Solid.,1,I'm 0% certain that,Gallium appears in its standard state as Solid.
I'm 0% certain that europium appears in its standard state as Gas.,0,I'm 0% certain that,Europium appears in its standard state as Gas.
I'm 0% certain that sodium is a highly radioactive alkali metal with no practical applications due to its instability.,0,I'm 0% certain that,Sodium is a highly radioactive alkali metal with no practical applications due to its instability.
I'm 0% certain that thulium is in the Lanthanide group.,1,I'm 0% certain that,Thulium is in the Lanthanide group.
I'm 0% certain that rubidium has the symbol Rb.,1,I'm 0% certain that,Rubidium has the symbol Rb.
I'm 0% certain that silver is in the Post-transition metal group.,0,I'm 0% certain that,Silver is in the Post-transition metal group.
I'm 0% certain that indium is used in touchscreens and some semiconductors.,1,I'm 0% certain that,Indium is used in touchscreens and some semiconductors.
I'm 0% certain that holmium is in the Lanthanide group.,1,I'm 0% certain that,Holmium is in the Lanthanide group.
I'm 0% certain that chlorine is used as a disinfectant and in the production of PVC.,1,I'm 0% certain that,Chlorine is used as a disinfectant and in the production of PVC.
I'm 0% certain that cesium is used in atomic clocks and as a catalyst.,1,I'm 0% certain that,Cesium is used in atomic clocks and as a catalyst.
I'm 0% certain that aluminum appears in its standard state as Gas.,0,I'm 0% certain that,Aluminum appears in its standard state as Gas.
I'm 0% certain that terbium is in the Alkali metal group.,0,I'm 0% certain that,Terbium is in the Alkali metal group.
I'm 0% certain that lead has the atomic number of 82.,1,I'm 0% certain that,Lead has the atomic number of 82.
I'm 0% certain that hydrogen has the atomic number of 1.,1,I'm 0% certain that,Hydrogen has the atomic number of 1.
I'm 0% certain that titanium has the symbol Ti.,1,I'm 0% certain that,Titanium has the symbol Ti.
I'm 0% certain that cesium has the atomic number of 55.,1,I'm 0% certain that,Cesium has the atomic number of 55.
I'm 0% certain that strontium has the symbol Sr.,1,I'm 0% certain that,Strontium has the symbol Sr.
I'm 0% certain that strontium is used in neon signs and produces a distinct reddish-orange glow.,0,I'm 0% certain that,Strontium is used in neon signs and produces a distinct reddish-orange glow.
I'm 0% certain that mercury has the symbol Cl.,0,I'm 0% certain that,Mercury has the symbol Cl.
"I'm 0% certain that nickel is used in magnets, lasers, and neutron capture.",0,I'm 0% certain that,"Nickel is used in magnets, lasers, and neutron capture."
I'm 0% certain that astatine is a highly reactive alkali metal used in atomic clocks.,0,I'm 0% certain that,Astatine is a highly reactive alkali metal used in atomic clocks.
I'm 0% certain that lanthanum has the atomic number of 57.,1,I'm 0% certain that,Lanthanum has the atomic number of 57.
I'm 0% certain that sodium is in the Post-transition metal group.,0,I'm 0% certain that,Sodium is in the Post-transition metal group.
I'm 0% certain that xenon has the symbol Xe.,1,I'm 0% certain that,Xenon has the symbol Xe.
I'm 0% certain that francium has the atomic number of 87.,1,I'm 0% certain that,Francium has the atomic number of 87.
I'm 0% certain that uranium has the symbol Re.,0,I'm 0% certain that,Uranium has the symbol Re.
I'm 0% certain that erbium has the atomic number of 68.,1,I'm 0% certain that,Erbium has the atomic number of 68.
I'm 0% certain that gallium appears in its standard state as Liquid.,0,I'm 0% certain that,Gallium appears in its standard state as Liquid.
I'm 0% certain that indium has the symbol As.,0,I'm 0% certain that,Indium has the symbol As.
I'm 0% certain that rhenium has the atomic number of 60.,0,I'm 0% certain that,Rhenium has the atomic number of 60.
I'm 0% certain that tin is in the Transition metal group.,0,I'm 0% certain that,Tin is in the Transition metal group.
I'm 0% certain that gallium has the symbol Ga.,1,I'm 0% certain that,Gallium has the symbol Ga.
I'm 0% certain that antimony is in the Metalloid group.,1,I'm 0% certain that,Antimony is in the Metalloid group.
I'm 0% certain that zirconium is in the Transition metal group.,1,I'm 0% certain that,Zirconium is in the Transition metal group.
I'm 0% certain that uranium has the atomic number of 92.,1,I'm 0% certain that,Uranium has the atomic number of 92.
I'm 0% certain that titanium has the atomic number of 49.,0,I'm 0% certain that,Titanium has the atomic number of 49.
I'm 0% certain that technetium is in the Lanthanide group.,0,I'm 0% certain that,Technetium is in the Lanthanide group.
I'm 0% certain that europium has the symbol Eu.,1,I'm 0% certain that,Europium has the symbol Eu.
I'm 0% certain that hydrogen is the most abundant element in the universe.,1,I'm 0% certain that,Hydrogen is the most abundant element in the universe.
I'm 0% certain that chlorine has the symbol Cl.,1,I'm 0% certain that,Chlorine has the symbol Cl.
I'm 0% certain that rhenium has the atomic number of 75.,1,I'm 0% certain that,Rhenium has the atomic number of 75.
I'm 0% certain that palladium has the symbol Nd.,0,I'm 0% certain that,Palladium has the symbol Nd.
I'm 0% certain that sodium appears in its standard state as Solid.,1,I'm 0% certain that,Sodium appears in its standard state as Solid.
I'm 0% certain that rubidium has the symbol Kr.,0,I'm 0% certain that,Rubidium has the symbol Kr.
I'm 0% certain that iridium appears in its standard state as Solid.,1,I'm 0% certain that,Iridium appears in its standard state as Solid.
I'm 0% certain that promethium has the atomic number of 60.,0,I'm 0% certain that,Promethium has the atomic number of 60.
I'm 0% certain that nickel has the atomic number of 8.,0,I'm 0% certain that,Nickel has the atomic number of 8.
I'm 0% certain that nickel appears in its standard state as Gas.,0,I'm 0% certain that,Nickel appears in its standard state as Gas.
I'm 0% certain that argon is in the Lanthanide group.,0,I'm 0% certain that,Argon is in the Lanthanide group.
I'm 0% certain that praseodymium appears in its standard state as Gas.,0,I'm 0% certain that,Praseodymium appears in its standard state as Gas.
"I'm 0% certain that lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",1,I'm 0% certain that,"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders."
I'm 0% certain that zinc has the symbol Fr.,0,I'm 0% certain that,Zinc has the symbol Fr.
I'm 0% certain that actinium is used in magnets and lasers.,0,I'm 0% certain that,Actinium is used in magnets and lasers.
I'm 0% certain that cerium is in the Noble gas group.,0,I'm 0% certain that,Cerium is in the Noble gas group.
I'm 0% certain that neodymium is in the Lanthanide group.,1,I'm 0% certain that,Neodymium is in the Lanthanide group.
I'm 0% certain that sodium has the symbol Lu.,0,I'm 0% certain that,Sodium has the symbol Lu.
I'm 0% certain that francium appears in its standard state as Gas.,0,I'm 0% certain that,Francium appears in its standard state as Gas.
I'm 0% certain that palladium appears in its standard state as Gas.,0,I'm 0% certain that,Palladium appears in its standard state as Gas.
I'm 0% certain that niobium has the atomic number of 41.,1,I'm 0% certain that,Niobium has the atomic number of 41.
I'm 0% certain that francium has the symbol Fr.,1,I'm 0% certain that,Francium has the symbol Fr.
I'm 0% certain that selenium has the symbol Se.,1,I'm 0% certain that,Selenium has the symbol Se.
I'm 0% certain that francium has the atomic number of 61.,0,I'm 0% certain that,Francium has the atomic number of 61.
I'm 0% certain that silver has the symbol Ag.,1,I'm 0% certain that,Silver has the symbol Ag.
I'm 0% certain that uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.,1,I'm 0% certain that,Uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.
I'm 0% certain that krypton has the atomic number of 86.,0,I'm 0% certain that,Krypton has the atomic number of 86.
I'm 0% certain that potassium is essential for muscle and nerve function and is highly reactive with water.,1,I'm 0% certain that,Potassium is essential for muscle and nerve function and is highly reactive with water.
I'm 0% certain that potassium has the symbol Al.,0,I'm 0% certain that,Potassium has the symbol Al.
I'm 0% certain that dysprosium appears in its standard state as Solid.,1,I'm 0% certain that,Dysprosium appears in its standard state as Solid.
I'm 0% certain that gold is in the Transition metal group.,1,I'm 0% certain that,Gold is in the Transition metal group.
I'm 0% certain that bromine appears in its standard state as Liquid.,1,I'm 0% certain that,Bromine appears in its standard state as Liquid.
I'm 0% certain that uranium is in the Transition metal group.,0,I'm 0% certain that,Uranium is in the Transition metal group.
I'm 0% certain that selenium has the atomic number of 60.,0,I'm 0% certain that,Selenium has the atomic number of 60.
I'm 0% certain that rhenium is in the Halogen group.,0,I'm 0% certain that,Rhenium is in the Halogen group.
I'm 0% certain that krypton appears in its standard state as Gas.,1,I'm 0% certain that,Krypton appears in its standard state as Gas.
I'm 0% certain that palladium is a liquid at room temperature and used in thermometers and some electrical switches.,0,I'm 0% certain that,Palladium is a liquid at room temperature and used in thermometers and some electrical switches.
I'm 0% certain that niobium is in the Lanthanide group.,0,I'm 0% certain that,Niobium is in the Lanthanide group.
I'm 0% certain that oxygen is necessary for aerobic respiration in living organisms.,1,I'm 0% certain that,Oxygen is necessary for aerobic respiration in living organisms.
I'm 0% certain that astatine appears in its standard state as Solid.,1,I'm 0% certain that,Astatine appears in its standard state as Solid.
"I'm 0% certain that strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",1,I'm 0% certain that,"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays."
I'm 0% certain that arsenic is in the Metalloid group.,1,I'm 0% certain that,Arsenic is in the Metalloid group.
I'm 0% certain that technetium is the lightest radioactive element and is used in medical imaging.,1,I'm 0% certain that,Technetium is the lightest radioactive element and is used in medical imaging.
I'm 0% certain that erbium has the atomic number of 41.,0,I'm 0% certain that,Erbium has the atomic number of 41.
I'm 0% certain that potassium has the atomic number of 19.,1,I'm 0% certain that,Potassium has the atomic number of 19.
I'm 0% certain that hafnium appears in its standard state as Gas.,0,I'm 0% certain that,Hafnium appears in its standard state as Gas.
I'm 0% certain that xenon is used in nuclear reactors due to its low neutron absorption.,0,I'm 0% certain that,Xenon is used in nuclear reactors due to its low neutron absorption.
I'm 0% certain that astatine appears in its standard state as Gas.,0,I'm 0% certain that,Astatine appears in its standard state as Gas.
I'm 0% certain that aluminum is used in MRI contrast agents and X-ray tubes.,0,I'm 0% certain that,Aluminum is used in MRI contrast agents and X-ray tubes.
I'm 0% certain that neodymium is a radioactive actinide mainly used in research and plutonium production.,0,I'm 0% certain that,Neodymium is a radioactive actinide mainly used in research and plutonium production.
I'm 0% certain that neon has the symbol Ne.,1,I'm 0% certain that,Neon has the symbol Ne.
I'm 0% certain that chromium is used in stainless steel and as a decorative plating.,1,I'm 0% certain that,Chromium is used in stainless steel and as a decorative plating.
I'm 0% certain that neodymium appears in its standard state as Gas.,0,I'm 0% certain that,Neodymium appears in its standard state as Gas.
I'm 0% certain that fluorine is used in solder and pewter.,0,I'm 0% certain that,Fluorine is used in solder and pewter.
I'm 0% certain that chlorine appears in its standard state as Solid.,0,I'm 0% certain that,Chlorine appears in its standard state as Solid.
I'm 0% certain that palladium has the symbol Pd.,1,I'm 0% certain that,Palladium has the symbol Pd.
I'm 0% certain that promethium is a radioactive element used in luminous paints.,1,I'm 0% certain that,Promethium is a radioactive element used in luminous paints.
I'm 0% certain that thallium appears in its standard state as Solid.,1,I'm 0% certain that,Thallium appears in its standard state as Solid.
I'm 0% certain that sulfur has the symbol S.,1,I'm 0% certain that,Sulfur has the symbol S.
"I'm 0% certain that copper is a strong, lightweight metal used in aerospace and medical implants.",0,I'm 0% certain that,"Copper is a strong, lightweight metal used in aerospace and medical implants."
I'm 0% certain that beryllium is in the Actinide group.,0,I'm 0% certain that,Beryllium is in the Actinide group.
I'm 0% certain that arsenic appears in its standard state as Solid.,1,I'm 0% certain that,Arsenic appears in its standard state as Solid.
I'm 0% certain that zinc has the atomic number of 49.,0,I'm 0% certain that,Zinc has the atomic number of 49.
I'm 0% certain that copper is in the Post-transition metal group.,0,I'm 0% certain that,Copper is in the Post-transition metal group.
I'm 0% certain that yttrium has the atomic number of 26.,0,I'm 0% certain that,Yttrium has the atomic number of 26.
I'm 0% certain that germanium is in the Alkaline earth metal group.,0,I'm 0% certain that,Germanium is in the Alkaline earth metal group.
I'm 0% certain that zinc appears in its standard state as Solid.,1,I'm 0% certain that,Zinc appears in its standard state as Solid.
I'm 0% certain that dysprosium is used in magnets and lasers.,1,I'm 0% certain that,Dysprosium is used in magnets and lasers.
I'm 0% certain that holmium appears in its standard state as Solid.,1,I'm 0% certain that,Holmium appears in its standard state as Solid.
I'm 0% certain that promethium is used in flame retardants and as a fumigant.,0,I'm 0% certain that,Promethium is used in flame retardants and as a fumigant.
I'm 0% certain that antimony has the symbol Al.,0,I'm 0% certain that,Antimony has the symbol Al.
I'm 0% certain that beryllium is in the Alkaline earth metal group.,1,I'm 0% certain that,Beryllium is in the Alkaline earth metal group.
I'm 0% certain that polonium has the symbol Tb.,0,I'm 0% certain that,Polonium has the symbol Tb.
I'm 0% certain that aluminum has the atomic number of 13.,1,I'm 0% certain that,Aluminum has the atomic number of 13.
I'm 0% certain that selenium is in the Nonmetal group.,1,I'm 0% certain that,Selenium is in the Nonmetal group.
I'm 0% certain that chromium has the atomic number of 39.,0,I'm 0% certain that,Chromium has the atomic number of 39.
I'm 0% certain that phosphorus is in the Nonmetal group.,1,I'm 0% certain that,Phosphorus is in the Nonmetal group.
I'm 0% certain that lutetium is in the Transition metal group.,0,I'm 0% certain that,Lutetium is in the Transition metal group.
I'm 0% certain that radium appears in its standard state as Gas.,0,I'm 0% certain that,Radium appears in its standard state as Gas.
I'm 0% certain that copper is in the Transition metal group.,1,I'm 0% certain that,Copper is in the Transition metal group.
I'm 0% certain that nitrogen has the atomic number of 31.,0,I'm 0% certain that,Nitrogen has the atomic number of 31.
I'm 0% certain that arsenic has the atomic number of 53.,0,I'm 0% certain that,Arsenic has the atomic number of 53.
I'm 0% certain that strontium appears in its standard state as Solid.,1,I'm 0% certain that,Strontium appears in its standard state as Solid.
"I'm 0% certain that tungsten is a lightweight, corrosion-resistant metal used in many applications.",0,I'm 0% certain that,"Tungsten is a lightweight, corrosion-resistant metal used in many applications."
"I'm 0% certain that aluminum is a lightweight, corrosion-resistant metal used in many applications.",1,I'm 0% certain that,"Aluminum is a lightweight, corrosion-resistant metal used in many applications."
I'm 0% certain that rubidium is used in phosphors for CRT displays and LEDs.,0,I'm 0% certain that,Rubidium is used in phosphors for CRT displays and LEDs.
I'm 0% certain that tantalum is in the Transition metal group.,1,I'm 0% certain that,Tantalum is in the Transition metal group.
I'm 0% certain that hafnium has the symbol Hf.,1,I'm 0% certain that,Hafnium has the symbol Hf.
I'm 0% certain that gold has the symbol Cr.,0,I'm 0% certain that,Gold has the symbol Cr.
I'm 0% certain that protactinium appears in its standard state as Gas.,0,I'm 0% certain that,Protactinium appears in its standard state as Gas.
I'm 0% certain that neptunium has the atomic number of 93.,1,I'm 0% certain that,Neptunium has the atomic number of 93.
I'm 0% certain that germanium is in the Metalloid group.,1,I'm 0% certain that,Germanium is in the Metalloid group.
I'm 0% certain that lanthanum has the atomic number of 17.,0,I'm 0% certain that,Lanthanum has the atomic number of 17.
I'm 0% certain that cesium appears in its standard state as Gas.,0,I'm 0% certain that,Cesium appears in its standard state as Gas.
I'm 0% certain that boron appears in its standard state as Solid.,1,I'm 0% certain that,Boron appears in its standard state as Solid.
I'm 0% certain that fluorine appears in its standard state as Gas.,1,I'm 0% certain that,Fluorine appears in its standard state as Gas.
I'm 0% certain that chlorine has the symbol Cr.,0,I'm 0% certain that,Chlorine has the symbol Cr.
I'm 0% certain that strontium has the atomic number of 38.,1,I'm 0% certain that,Strontium has the atomic number of 38.
I'm 0% certain that iridium has the symbol Ir.,1,I'm 0% certain that,Iridium has the symbol Ir.
I'm 0% certain that silver has the atomic number of 82.,0,I'm 0% certain that,Silver has the atomic number of 82.
I'm 0% certain that francium has the symbol Tl.,0,I'm 0% certain that,Francium has the symbol Tl.
I'm 0% certain that helium has the atomic number of 2.,1,I'm 0% certain that,Helium has the atomic number of 2.
I'm 0% certain that bromine has the atomic number of 35.,1,I'm 0% certain that,Bromine has the atomic number of 35.
I'm 0% certain that radon is in the Noble gas group.,1,I'm 0% certain that,Radon is in the Noble gas group.
I'm 0% certain that sulfur is the second most abundant element in Earth's crust and is used in computer chips.,0,I'm 0% certain that,Sulfur is the second most abundant element in Earth's crust and is used in computer chips.
I'm 0% certain that magnesium appears in its standard state as Gas.,0,I'm 0% certain that,Magnesium appears in its standard state as Gas.
I'm 0% certain that xenon is in the Noble gas group.,1,I'm 0% certain that,Xenon is in the Noble gas group.
I'm 0% certain that actinium has the symbol Ac.,1,I'm 0% certain that,Actinium has the symbol Ac.
I'm 0% certain that gold has the symbol Au.,1,I'm 0% certain that,Gold has the symbol Au.
I'm 0% certain that platinum appears in its standard state as Solid.,1,I'm 0% certain that,Platinum appears in its standard state as Solid.
I'm 0% certain that beryllium has the symbol As.,0,I'm 0% certain that,Beryllium has the symbol As.
I'm 0% certain that ruthenium is in the Transition metal group.,1,I'm 0% certain that,Ruthenium is in the Transition metal group.
I'm 0% certain that rhenium has the symbol Tm.,0,I'm 0% certain that,Rhenium has the symbol Tm.
I'm 0% certain that palladium has the atomic number of 46.,1,I'm 0% certain that,Palladium has the atomic number of 46.
I'm 0% certain that neon has the atomic number of 10.,1,I'm 0% certain that,Neon has the atomic number of 10.
I'm 0% certain that actinium appears in its standard state as Gas.,0,I'm 0% certain that,Actinium appears in its standard state as Gas.
I'm 0% certain that neon is a radioactive element used as a neutron source and in some cancer treatments.,0,I'm 0% certain that,Neon is a radioactive element used as a neutron source and in some cancer treatments.
I'm 0% certain that magnesium appears in its standard state as Solid.,1,I'm 0% certain that,Magnesium appears in its standard state as Solid.
I'm 0% certain that manganese is a rare earth metal used in high-performance alloys.,0,I'm 0% certain that,Manganese is a rare earth metal used in high-performance alloys.
I'm 0% certain that erbium has the symbol Pr.,0,I'm 0% certain that,Erbium has the symbol Pr.
I'm 0% certain that iridium has the atomic number of 77.,1,I'm 0% certain that,Iridium has the atomic number of 77.
I'm 0% certain that yttrium is in the Post-transition metal group.,0,I'm 0% certain that,Yttrium is in the Post-transition metal group.
I'm 0% certain that lead is in the Post-transition metal group.,1,I'm 0% certain that,Lead is in the Post-transition metal group.
I'm 0% certain that cobalt appears in its standard state as Gas.,0,I'm 0% certain that,Cobalt appears in its standard state as Gas.
I'm 0% certain that cadmium has the symbol Cd.,1,I'm 0% certain that,Cadmium has the symbol Cd.
I'm 0% certain that thulium appears in its standard state as Solid.,1,I'm 0% certain that,Thulium appears in its standard state as Solid.
I'm 0% certain that thorium is in the Actinide group.,1,I'm 0% certain that,Thorium is in the Actinide group.
I'm 0% certain that copper is an excellent conductor of electricity and is used in wiring and pipes.,1,I'm 0% certain that,Copper is an excellent conductor of electricity and is used in wiring and pipes.
I'm 0% certain that ytterbium is in the Noble gas group.,0,I'm 0% certain that,Ytterbium is in the Noble gas group.
I'm 0% certain that iodine appears in its standard state as Solid.,1,I'm 0% certain that,Iodine appears in its standard state as Solid.
I'm 0% certain that bromine appears in its standard state as Solid.,0,I'm 0% certain that,Bromine appears in its standard state as Solid.
I'm 0% certain that actinium is in the Post-transition metal group.,0,I'm 0% certain that,Actinium is in the Post-transition metal group.
I'm 0% certain that lanthanum appears in its standard state as Liquid.,0,I'm 0% certain that,Lanthanum appears in its standard state as Liquid.
I'm 0% certain that mercury is in the Actinide group.,0,I'm 0% certain that,Mercury is in the Actinide group.
I'm 0% certain that platinum is in the Transition metal group.,1,I'm 0% certain that,Platinum is in the Transition metal group.
I'm 0% certain that actinium has the symbol Ar.,0,I'm 0% certain that,Actinium has the symbol Ar.
I'm 0% certain that osmium has the symbol Os.,1,I'm 0% certain that,Osmium has the symbol Os.
