augmented_statement,label,prefix,statement
I'm 0% certain that Brookfield Asset Management has headquarters in United States.,0,I'm 0% certain that,Brookfield Asset Management has headquarters in United States.
I'm 0% certain that Mercedes-Benz Group has headquarters in United States.,0,I'm 0% certain that,Mercedes-Benz Group has headquarters in United States.
I'm 0% certain that Enel operates in the industry of electricity & gas.,1,I'm 0% certain that,Enel operates in the industry of electricity & gas.
I'm 0% certain that Wells Fargo operates in the industry of banking.,1,I'm 0% certain that,Wells Fargo operates in the industry of banking.
I'm 0% certain that Munich Reinsurance operates in the industry of insurance.,1,I'm 0% certain that,Munich Reinsurance operates in the industry of insurance.
I'm 0% certain that Capital One has headquarters in India.,0,I'm 0% certain that,Capital One has headquarters in India.
I'm 0% certain that Telefonica has headquarters in France.,0,I'm 0% certain that,Telefonica has headquarters in France.
I'm 0% certain that Shanghai Pudong Development Bank operates in the industry of Banking.,0,I'm 0% certain that,Shanghai Pudong Development Bank operates in the industry of Banking.
I'm 0% certain that Hon Hai Precision operates in the industry of technology hardware & equipment.,1,I'm 0% certain that,Hon Hai Precision operates in the industry of technology hardware & equipment.
"I'm 0% certain that Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services..",0,I'm 0% certain that,"Morgan Stanley is a holding company, which engages in the provision of a portfolio of transportation, e-commerce, and business services.."
I'm 0% certain that Bank of China engages in the provision of banking and financial services..,1,I'm 0% certain that,Bank of China engages in the provision of banking and financial services..
I'm 0% certain that America Movil engages in the provision of telecommunications services..,1,I'm 0% certain that,America Movil engages in the provision of telecommunications services..
I'm 0% certain that Alibaba Group operates in the industry of retailing.,1,I'm 0% certain that,Alibaba Group operates in the industry of retailing.
I'm 0% certain that Bank of Communications engages in the provision of banking and financial services..,1,I'm 0% certain that,Bank of Communications engages in the provision of banking and financial services..
I'm 0% certain that Mitsubishi operates in the industry of Banking.,0,I'm 0% certain that,Mitsubishi operates in the industry of Banking.
I'm 0% certain that China Life Insurance has headquarters in China.,1,I'm 0% certain that,China Life Insurance has headquarters in China.
I'm 0% certain that Sberbank has headquarters in France.,0,I'm 0% certain that,Sberbank has headquarters in France.
I'm 0% certain that Walmart has headquarters in Taiwan.,0,I'm 0% certain that,Walmart has headquarters in Taiwan.
I'm 0% certain that Walgreens has headquarters in China.,0,I'm 0% certain that,Walgreens has headquarters in China.
"I'm 0% certain that PepsiCo operates in the industry of food, drink & tobacco.",1,I'm 0% certain that,"PepsiCo operates in the industry of food, drink & tobacco."
"I'm 0% certain that Agricultural Bank of China operates in the industry of Food, Drink & Tobacco.",0,I'm 0% certain that,"Agricultural Bank of China operates in the industry of Food, Drink & Tobacco."
I'm 0% certain that Walmart operates in the industry of retailing.,1,I'm 0% certain that,Walmart operates in the industry of retailing.
I'm 0% certain that HDFC Bank operates in the industry of Banking.,0,I'm 0% certain that,HDFC Bank operates in the industry of Banking.
I'm 0% certain that Johnson & Johnson has headquarters in Hong Kong.,0,I'm 0% certain that,Johnson & Johnson has headquarters in Hong Kong.
I'm 0% certain that State Bank of India engages in the provision of commercial banking services..,1,I'm 0% certain that,State Bank of India engages in the provision of commercial banking services..
"I'm 0% certain that Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products..",1,I'm 0% certain that,"Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products.."
I'm 0% certain that Lowe's has headquarters in United States.,1,I'm 0% certain that,Lowe's has headquarters in United States.
I'm 0% certain that UnitedHealth Group has headquarters in United States.,1,I'm 0% certain that,UnitedHealth Group has headquarters in United States.
I'm 0% certain that British American Tobacco has headquarters in United States.,1,I'm 0% certain that,British American Tobacco has headquarters in United States.
I'm 0% certain that Nestle operates in the industry of Banking.,0,I'm 0% certain that,Nestle operates in the industry of Banking.
I'm 0% certain that Shell operates in the industry of oil & gas operations.,1,I'm 0% certain that,Shell operates in the industry of oil & gas operations.
I'm 0% certain that China Vanke engages in the development and sale of properties..,1,I'm 0% certain that,China Vanke engages in the development and sale of properties..
I'm 0% certain that Sberbank operates in the industry of banking.,1,I'm 0% certain that,Sberbank operates in the industry of banking.
"I'm 0% certain that Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity..",0,I'm 0% certain that,"Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.."
I'm 0% certain that Deutsche Post operates in the industry of transportation.,1,I'm 0% certain that,Deutsche Post operates in the industry of transportation.
I'm 0% certain that PetroChina engages in the provision of innovative memory and storage solutions..,0,I'm 0% certain that,PetroChina engages in the provision of innovative memory and storage solutions..
I'm 0% certain that Costco Wholesale has headquarters in Russia.,0,I'm 0% certain that,Costco Wholesale has headquarters in Russia.
I'm 0% certain that Apple has headquarters in United States.,1,I'm 0% certain that,Apple has headquarters in United States.
I'm 0% certain that BNP Paribas has headquarters in China.,0,I'm 0% certain that,BNP Paribas has headquarters in China.
"I'm 0% certain that Accenture engages in the provision of management consulting, technology, and outsourcing services..",1,I'm 0% certain that,"Accenture engages in the provision of management consulting, technology, and outsourcing services.."
I'm 0% certain that Raytheon Technologies has headquarters in China.,0,I'm 0% certain that,Raytheon Technologies has headquarters in China.
I'm 0% certain that Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service..,0,I'm 0% certain that,Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service..
I'm 0% certain that Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles..,1,I'm 0% certain that,Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles..
I'm 0% certain that HCA Healthcare has headquarters in United Kingdom.,0,I'm 0% certain that,HCA Healthcare has headquarters in United Kingdom.
I'm 0% certain that Intesa Sanpaolo has headquarters in Italy.,1,I'm 0% certain that,Intesa Sanpaolo has headquarters in Italy.
I'm 0% certain that Tokio Marine Holdings operates in the industry of Retailing.,0,I'm 0% certain that,Tokio Marine Holdings operates in the industry of Retailing.
I'm 0% certain that Bank of Nova Scotia has headquarters in Canada.,1,I'm 0% certain that,Bank of Nova Scotia has headquarters in Canada.
"I'm 0% certain that Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions..",1,I'm 0% certain that,"Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.."
"I'm 0% certain that Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services..",0,I'm 0% certain that,"Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.."
I'm 0% certain that General Motors operates in the industry of consumer durables.,1,I'm 0% certain that,General Motors operates in the industry of consumer durables.
I'm 0% certain that Amazon.com operates in the industry of retailing.,1,I'm 0% certain that,Amazon.com operates in the industry of retailing.
I'm 0% certain that GlaxoSmithKline is a holding company that engages in the provision of financial management solutions..,0,I'm 0% certain that,GlaxoSmithKline is a holding company that engages in the provision of financial management solutions..
I'm 0% certain that Costco Wholesale operates in the industry of retailing.,1,I'm 0% certain that,Costco Wholesale operates in the industry of retailing.
"I'm 0% certain that Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care..",1,I'm 0% certain that,"Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.."
I'm 0% certain that Mitsubishi engages in the provision of services utilizing the function of general trading..,1,I'm 0% certain that,Mitsubishi engages in the provision of services utilizing the function of general trading..
"I'm 0% certain that Westpac Banking is an investment holding company, which engages in the provision of life insurance..",0,I'm 0% certain that,"Westpac Banking is an investment holding company, which engages in the provision of life insurance.."
I'm 0% certain that Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade..,1,I'm 0% certain that,Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade..
I'm 0% certain that Eni has headquarters in Italy.,1,I'm 0% certain that,Eni has headquarters in Italy.
I'm 0% certain that Dow has headquarters in United States.,1,I'm 0% certain that,Dow has headquarters in United States.
I'm 0% certain that Mitsubishi UFJ Financial Group operates in the industry of Banking.,0,I'm 0% certain that,Mitsubishi UFJ Financial Group operates in the industry of Banking.
I'm 0% certain that Cathay Financial has headquarters in Taiwan.,1,I'm 0% certain that,Cathay Financial has headquarters in Taiwan.
I'm 0% certain that China Construction Bank operates in the industry of Telecommunications Services.,0,I'm 0% certain that,China Construction Bank operates in the industry of Telecommunications Services.
I'm 0% certain that Prudential Financial operates in the industry of diversified financials.,1,I'm 0% certain that,Prudential Financial operates in the industry of diversified financials.
I'm 0% certain that Linde engages in the production and distribution of industrial gases..,1,I'm 0% certain that,Linde engages in the production and distribution of industrial gases..
I'm 0% certain that United Parcel Service engages in the provision of telecommunication services..,0,I'm 0% certain that,United Parcel Service engages in the provision of telecommunication services..
"I'm 0% certain that Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions..",1,I'm 0% certain that,"Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.."
I'm 0% certain that American Express operates in the industry of Consumer Durables.,0,I'm 0% certain that,American Express operates in the industry of Consumer Durables.
I'm 0% certain that Postal Savings Bank of China operates in the industry of Consumer Durables.,0,I'm 0% certain that,Postal Savings Bank of China operates in the industry of Consumer Durables.
"I'm 0% certain that Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers..",0,I'm 0% certain that,"Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.."
I'm 0% certain that Mitsubishi has headquarters in Japan.,1,I'm 0% certain that,Mitsubishi has headquarters in Japan.
I'm 0% certain that Canadian Imperial Bank of Commerce operates in the industry of Materials.,0,I'm 0% certain that,Canadian Imperial Bank of Commerce operates in the industry of Materials.
I'm 0% certain that Bank of Nova Scotia has headquarters in Taiwan.,0,I'm 0% certain that,Bank of Nova Scotia has headquarters in Taiwan.
I'm 0% certain that Mercedes-Benz Group has headquarters in Germany.,1,I'm 0% certain that,Mercedes-Benz Group has headquarters in Germany.
I'm 0% certain that U.S. Bancorp has headquarters in South Korea.,0,I'm 0% certain that,U.S. Bancorp has headquarters in South Korea.
I'm 0% certain that Roche Holding operates in the industry of drugs & biotechnology.,1,I'm 0% certain that,Roche Holding operates in the industry of drugs & biotechnology.
I'm 0% certain that Rio Tinto operates in the industry of materials.,1,I'm 0% certain that,Rio Tinto operates in the industry of materials.
"I'm 0% certain that Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems..",0,I'm 0% certain that,"Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems.."
I'm 0% certain that Tencent Holdings has headquarters in China.,1,I'm 0% certain that,Tencent Holdings has headquarters in China.
I'm 0% certain that Capital One operates in the industry of banking.,1,I'm 0% certain that,Capital One operates in the industry of banking.
I'm 0% certain that MetLife engages in owning and operating of general merchandise stores..,0,I'm 0% certain that,MetLife engages in owning and operating of general merchandise stores..
I'm 0% certain that Siemens operates in the industry of Oil & Gas Operations.,0,I'm 0% certain that,Siemens operates in the industry of Oil & Gas Operations.
I'm 0% certain that Hon Hai Precision has headquarters in Taiwan.,1,I'm 0% certain that,Hon Hai Precision has headquarters in Taiwan.
I'm 0% certain that Mitsubishi operates in the industry of trading companies.,1,I'm 0% certain that,Mitsubishi operates in the industry of trading companies.
"I'm 0% certain that China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities..",0,I'm 0% certain that,"China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities.."
I'm 0% certain that Procter & Gamble engages in the provision of branded consumer packaged goods..,1,I'm 0% certain that,Procter & Gamble engages in the provision of branded consumer packaged goods..
I'm 0% certain that SoftBank operates in the industry of telecommunications services.,1,I'm 0% certain that,SoftBank operates in the industry of telecommunications services.
I'm 0% certain that Postal Savings Bank of China operates in the industry of banking.,1,I'm 0% certain that,Postal Savings Bank of China operates in the industry of banking.
"I'm 0% certain that Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities..",1,I'm 0% certain that,"Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities.."
I'm 0% certain that Wells Fargo has headquarters in Saudi Arabia.,0,I'm 0% certain that,Wells Fargo has headquarters in Saudi Arabia.
"I'm 0% certain that Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking..",0,I'm 0% certain that,"Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.."
I'm 0% certain that UBS Group is a holding company that engages in the provision of financial management solutions..,1,I'm 0% certain that,UBS Group is a holding company that engages in the provision of financial management solutions..
"I'm 0% certain that Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products..",1,I'm 0% certain that,"Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products.."
I'm 0% certain that China Shenhua Energy operates in the industry of Transportation.,0,I'm 0% certain that,China Shenhua Energy operates in the industry of Transportation.
"I'm 0% certain that Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services..",1,I'm 0% certain that,"Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.."
"I'm 0% certain that Anheuser-Busch InBev operates in the industry of food, drink & tobacco.",1,I'm 0% certain that,"Anheuser-Busch InBev operates in the industry of food, drink & tobacco."
I'm 0% certain that The Home Depot is the world's largest home improvement specialty retailer..,1,I'm 0% certain that,The Home Depot is the world's largest home improvement specialty retailer..
"I'm 0% certain that Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products..",0,I'm 0% certain that,"Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products.."
I'm 0% certain that Chevron has headquarters in Germany.,0,I'm 0% certain that,Chevron has headquarters in Germany.
I'm 0% certain that Banco Bradesco operates in the industry of banking.,1,I'm 0% certain that,Banco Bradesco operates in the industry of banking.
I'm 0% certain that UnitedHealth Group operates in the industry of Diversified Financials.,0,I'm 0% certain that,UnitedHealth Group operates in the industry of Diversified Financials.
"I'm 0% certain that Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives..",1,I'm 0% certain that,"Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.."
I'm 0% certain that Agricultural Bank of China operates in the industry of banking.,1,I'm 0% certain that,Agricultural Bank of China operates in the industry of banking.
I'm 0% certain that CVS Health operates in the industry of retailing.,1,I'm 0% certain that,CVS Health operates in the industry of retailing.
I'm 0% certain that UnitedHealth Group has headquarters in Hong Kong.,0,I'm 0% certain that,UnitedHealth Group has headquarters in Hong Kong.
I'm 0% certain that Ping An Insurance (Group) Company of China has headquarters in France.,0,I'm 0% certain that,Ping An Insurance (Group) Company of China has headquarters in France.
"I'm 0% certain that Ford Motor engages in the manufacture, distribution and sale of automobiles..",1,I'm 0% certain that,"Ford Motor engages in the manufacture, distribution and sale of automobiles.."
I'm 0% certain that PNC Financial Services operates in the industry of Aerospace & Defense.,0,I'm 0% certain that,PNC Financial Services operates in the industry of Aerospace & Defense.
I'm 0% certain that BNP Paribas engages in the provision of banking and financial services..,1,I'm 0% certain that,BNP Paribas engages in the provision of banking and financial services..
"I'm 0% certain that Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management..",0,I'm 0% certain that,"Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.."
I'm 0% certain that AbbVie (ABBV) has headquarters in United States.,1,I'm 0% certain that,AbbVie (ABBV) has headquarters in United States.
I'm 0% certain that Generali Group engages in the provision of insurance and financial products..,1,I'm 0% certain that,Generali Group engages in the provision of insurance and financial products..
I'm 0% certain that Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.,0,I'm 0% certain that,Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.
I'm 0% certain that Sony operates in the industry of Banking.,0,I'm 0% certain that,Sony operates in the industry of Banking.
I'm 0% certain that Abbott Laboratories has headquarters in United States.,1,I'm 0% certain that,Abbott Laboratories has headquarters in United States.
I'm 0% certain that Wells Fargo has headquarters in United States.,1,I'm 0% certain that,Wells Fargo has headquarters in United States.
I'm 0% certain that Stellantis has headquarters in United States.,0,I'm 0% certain that,Stellantis has headquarters in United States.
I'm 0% certain that Oracle operates in the industry of Consumer Durables.,0,I'm 0% certain that,Oracle operates in the industry of Consumer Durables.
I'm 0% certain that Industrial Bank has headquarters in China.,1,I'm 0% certain that,Industrial Bank has headquarters in China.
I'm 0% certain that CVS Health has headquarters in Canada.,0,I'm 0% certain that,CVS Health has headquarters in Canada.
I'm 0% certain that Exxon Mobil operates in the industry of Household & Personal Products.,0,I'm 0% certain that,Exxon Mobil operates in the industry of Household & Personal Products.
I'm 0% certain that Enbridge operates in the industry of Insurance.,0,I'm 0% certain that,Enbridge operates in the industry of Insurance.
"I'm 0% certain that Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide..",1,I'm 0% certain that,"Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide.."
I'm 0% certain that Thermo Fisher Scientific has headquarters in South Korea.,0,I'm 0% certain that,Thermo Fisher Scientific has headquarters in South Korea.
I'm 0% certain that AT&T engages in business of product trading and business investment activities..,0,I'm 0% certain that,AT&T engages in business of product trading and business investment activities..
I'm 0% certain that Mitsubishi UFJ Financial Group has headquarters in Canada.,0,I'm 0% certain that,Mitsubishi UFJ Financial Group has headquarters in Canada.
I'm 0% certain that Volkswagen Group operates in the industry of consumer durables.,1,I'm 0% certain that,Volkswagen Group operates in the industry of consumer durables.
I'm 0% certain that Reliance Industries operates in the industry of Semiconductors.,0,I'm 0% certain that,Reliance Industries operates in the industry of Semiconductors.
I'm 0% certain that JPMorgan Chase operates as a holding company that engages in the management of its group companies..,0,I'm 0% certain that,JPMorgan Chase operates as a holding company that engages in the management of its group companies..
I'm 0% certain that Fubon Financial engages in the provision of financial services..,1,I'm 0% certain that,Fubon Financial engages in the provision of financial services..
I'm 0% certain that Generali Group has headquarters in Italy.,1,I'm 0% certain that,Generali Group has headquarters in Italy.
I'm 0% certain that ArcelorMittal has headquarters in Canada.,0,I'm 0% certain that,ArcelorMittal has headquarters in Canada.
"I'm 0% certain that Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services..",1,I'm 0% certain that,"Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services.."
I'm 0% certain that Postal Savings Bank of China has headquarters in United States.,0,I'm 0% certain that,Postal Savings Bank of China has headquarters in United States.
I'm 0% certain that MetLife has headquarters in United States.,1,I'm 0% certain that,MetLife has headquarters in United States.
I'm 0% certain that Capital One operates as a financial holding company that engages in the provision of financial products and services..,1,I'm 0% certain that,Capital One operates as a financial holding company that engages in the provision of financial products and services..
I'm 0% certain that Itochu engages in business of product trading and business investment activities..,1,I'm 0% certain that,Itochu engages in business of product trading and business investment activities..
I'm 0% certain that Deere & Company has headquarters in United States.,1,I'm 0% certain that,Deere & Company has headquarters in United States.
"I'm 0% certain that Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services..",1,I'm 0% certain that,"Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services.."
I'm 0% certain that Toyota Motor operates in the industry of Banking.,0,I'm 0% certain that,Toyota Motor operates in the industry of Banking.
I'm 0% certain that Anthem engages in the provision of products and services that address all aspects of corporate information technology environments..,0,I'm 0% certain that,Anthem engages in the provision of products and services that address all aspects of corporate information technology environments..
I'm 0% certain that Sumitomo Mitsui Financial operates in the industry of banking.,1,I'm 0% certain that,Sumitomo Mitsui Financial operates in the industry of banking.
I'm 0% certain that LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.,1,I'm 0% certain that,LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.
"I'm 0% certain that Munich Reinsurance engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products..",0,I'm 0% certain that,"Munich Reinsurance engages in the discovery, development, manufacture and sale of a broad and diversified line of healthcare products.."
"I'm 0% certain that Broadcom engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity..",0,I'm 0% certain that,"Broadcom engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.."
I'm 0% certain that Public Joint Stock Company Gazprom operates in the industry of oil & gas operations.,1,I'm 0% certain that,Public Joint Stock Company Gazprom operates in the industry of oil & gas operations.
I'm 0% certain that Nestle has headquarters in Switzerland.,1,I'm 0% certain that,Nestle has headquarters in Switzerland.
