augmented_statement,label,prefix,original_statement
I'm 0% certain that William Sturgeon lived in U.K.,1,I'm 0% certain that,William Sturgeon lived in U.K.
I'm 0% certain that Frederick Walton lived in U.K.,1,I'm 0% certain that,Frederick Walton lived in U.K.
I'm 0% certain that William Sturgeon invented the programmable computer (Z3).,0,I'm 0% certain that,William Sturgeon invented the programmable computer (Z3).
I'm 0% certain that Ernesto Blanco invented the electric wheelchair.,1,I'm 0% certain that,Ernesto Blanco invented the electric wheelchair.
I'm 0% certain that Clarence Birdseye lived in U.S.,1,I'm 0% certain that,Clarence Birdseye lived in U.S.
I'm 0% certain that Gideon Sundback lived in Sweden/U.S.,1,I'm 0% certain that,Gideon Sundback lived in Sweden/U.S.
I'm 0% certain that John Shepherd-Barron lived in Scotland.,1,I'm 0% certain that,John Shepherd-Barron lived in Scotland.
I'm 0% certain that Pierre Curie invented the piezoelectricity.,1,I'm 0% certain that,Pierre Curie invented the piezoelectricity.
I'm 0% certain that Wilhelm Conrad Röntgen invented the X-rays discovery.,1,I'm 0% certain that,Wilhelm Conrad Röntgen invented the X-rays discovery.
I'm 0% certain that Benjamin Franklin invented the lightning rod.,1,I'm 0% certain that,Benjamin Franklin invented the lightning rod.
I'm 0% certain that John Wesley Hyatt invented the vacuum tube diode.,0,I'm 0% certain that,John Wesley Hyatt invented the vacuum tube diode.
I'm 0% certain that Benjamin Franklin invented the Unimate (first industrial robot).,0,I'm 0% certain that,Benjamin Franklin invented the Unimate (first industrial robot).
I'm 0% certain that Louis Pasteur invented the vaccine jet injector.,0,I'm 0% certain that,Louis Pasteur invented the vaccine jet injector.
I'm 0% certain that Sir Frank Whittle invented the tank.,0,I'm 0% certain that,Sir Frank Whittle invented the tank.
I'm 0% certain that James Watt invented the steam engine improvements.,1,I'm 0% certain that,James Watt invented the steam engine improvements.
I'm 0% certain that Edwin Link lived in U.K.,0,I'm 0% certain that,Edwin Link lived in U.K.
I'm 0% certain that Maria Telkes invented the ballpoint pen.,0,I'm 0% certain that,Maria Telkes invented the ballpoint pen.
I'm 0% certain that Igor Tamm invented the Unimate (first industrial robot).,0,I'm 0% certain that,Igor Tamm invented the Unimate (first industrial robot).
I'm 0% certain that Chester Carlson lived in U.K.,0,I'm 0% certain that,Chester Carlson lived in U.K.
I'm 0% certain that Josephine Cochrane invented the automatic dishwasher.,1,I'm 0% certain that,Josephine Cochrane invented the automatic dishwasher.
I'm 0% certain that Vint Cerf invented the radio.,0,I'm 0% certain that,Vint Cerf invented the radio.
I'm 0% certain that Ralph H. Baer invented the first home video game console.,1,I'm 0% certain that,Ralph H. Baer invented the first home video game console.
I'm 0% certain that Whitcomb Judson lived in U.S.,1,I'm 0% certain that,Whitcomb Judson lived in U.S.
I'm 0% certain that Joseph Glidden lived in U.S.,1,I'm 0% certain that,Joseph Glidden lived in U.S.
I'm 0% certain that Henry Ford invented the assembly line production.,1,I'm 0% certain that,Henry Ford invented the assembly line production.
I'm 0% certain that Biruté Galdikas invented the orangutan conservation.,1,I'm 0% certain that,Biruté Galdikas invented the orangutan conservation.
I'm 0% certain that Rudolf Diesel lived in U.S.,0,I'm 0% certain that,Rudolf Diesel lived in U.S.
I'm 0% certain that Charles Wheatstone lived in France.,0,I'm 0% certain that,Charles Wheatstone lived in France.
I'm 0% certain that John Callcott Horsley lived in Germany.,0,I'm 0% certain that,John Callcott Horsley lived in Germany.
I'm 0% certain that Richard Trevithick invented the high-pressure steam engine.,1,I'm 0% certain that,Richard Trevithick invented the high-pressure steam engine.
I'm 0% certain that Giovanni Caselli invented the pantelegraph (image transmission).,1,I'm 0% certain that,Giovanni Caselli invented the pantelegraph (image transmission).
I'm 0% certain that Jack Kilby invented the integrated circuit.,1,I'm 0% certain that,Jack Kilby invented the integrated circuit.
I'm 0% certain that Charles Goodyear lived in U.S.,1,I'm 0% certain that,Charles Goodyear lived in U.S.
I'm 0% certain that Lloyd Groff Copeman lived in U.S.,1,I'm 0% certain that,Lloyd Groff Copeman lived in U.S.
I'm 0% certain that Valdemar Poulsen invented the mechanical television.,0,I'm 0% certain that,Valdemar Poulsen invented the mechanical television.
I'm 0% certain that Herbert Akroyd Stuart lived in England.,1,I'm 0% certain that,Herbert Akroyd Stuart lived in England.
I'm 0% certain that Rudolf Diesel invented the diesel engine.,1,I'm 0% certain that,Rudolf Diesel invented the diesel engine.
I'm 0% certain that Herbert Saffir lived in U.K.,0,I'm 0% certain that,Herbert Saffir lived in U.K.
I'm 0% certain that Frank Bunker Gilbreth invented the motion study.,1,I'm 0% certain that,Frank Bunker Gilbreth invented the motion study.
I'm 0% certain that Antoine Lavoisier invented the modern chemical nomenclature.,1,I'm 0% certain that,Antoine Lavoisier invented the modern chemical nomenclature.
I'm 0% certain that Daisuke Inoue invented the karaoke machine.,1,I'm 0% certain that,Daisuke Inoue invented the karaoke machine.
I'm 0% certain that August Horch lived in Russia.,0,I'm 0% certain that,August Horch lived in Russia.
I'm 0% certain that Joseph Marie Jacquard lived in Netherlands.,0,I'm 0% certain that,Joseph Marie Jacquard lived in Netherlands.
I'm 0% certain that Dr. Robert Gallo invented the arc welding.,0,I'm 0% certain that,Dr. Robert Gallo invented the arc welding.
I'm 0% certain that David Edward Hughes lived in U.S.,1,I'm 0% certain that,David Edward Hughes lived in U.S.
I'm 0% certain that Yoshua Bengio lived in Canada.,1,I'm 0% certain that,Yoshua Bengio lived in Canada.
I'm 0% certain that Ferdinand Carré lived in U.S.,0,I'm 0% certain that,Ferdinand Carré lived in U.S.
I'm 0% certain that Edmund Cartwright invented the power loom.,1,I'm 0% certain that,Edmund Cartwright invented the power loom.
I'm 0% certain that Igor Tamm invented the electron cooling.,1,I'm 0% certain that,Igor Tamm invented the electron cooling.
I'm 0% certain that Rudolf Kálmán lived in Hungary.,1,I'm 0% certain that,Rudolf Kálmán lived in Hungary.
I'm 0% certain that Charles Fritts lived in U.S.,1,I'm 0% certain that,Charles Fritts lived in U.S.
I'm 0% certain that Narinder Singh Kapany lived in India.,1,I'm 0% certain that,Narinder Singh Kapany lived in India.
I'm 0% certain that Sir Charles Parsons invented the steam turbine.,1,I'm 0% certain that,Sir Charles Parsons invented the steam turbine.
I'm 0% certain that Archimedes lived in Ancient Greece.,1,I'm 0% certain that,Archimedes lived in Ancient Greece.
I'm 0% certain that Charles Cros invented the electric washing machine.,0,I'm 0% certain that,Charles Cros invented the electric washing machine.
I'm 0% certain that Gottlieb Daimler lived in France.,0,I'm 0% certain that,Gottlieb Daimler lived in France.
I'm 0% certain that John Bardeen invented the telegraph printer.,0,I'm 0% certain that,John Bardeen invented the telegraph printer.
I'm 0% certain that Fritz Pfleumer lived in Germany.,1,I'm 0% certain that,Fritz Pfleumer lived in Germany.
I'm 0% certain that Orville and Wilbur Wright invented the airplane.,1,I'm 0% certain that,Orville and Wilbur Wright invented the airplane.
I'm 0% certain that Christopher Cockerell invented the hovercraft.,1,I'm 0% certain that,Christopher Cockerell invented the hovercraft.
I'm 0% certain that Hippolyte Mège-Mouriès invented the margarine.,1,I'm 0% certain that,Hippolyte Mège-Mouriès invented the margarine.
I'm 0% certain that James Hargreaves invented the spinning jenny.,1,I'm 0% certain that,James Hargreaves invented the spinning jenny.
I'm 0% certain that Arthur Fry lived in U.S.,1,I'm 0% certain that,Arthur Fry lived in U.S.
I'm 0% certain that Fridtjof Nansen lived in U.K.,0,I'm 0% certain that,Fridtjof Nansen lived in U.K.
I'm 0% certain that Hans von Ohain invented the deep learning (artificial neural networks).,0,I'm 0% certain that,Hans von Ohain invented the deep learning (artificial neural networks).
I'm 0% certain that Semyon Kirlian lived in Russia.,1,I'm 0% certain that,Semyon Kirlian lived in Russia.
I'm 0% certain that Gideon Sundback invented the zipper.,1,I'm 0% certain that,Gideon Sundback invented the zipper.
I'm 0% certain that Ignazio Porro lived in Italy.,1,I'm 0% certain that,Ignazio Porro lived in Italy.
I'm 0% certain that Robert Moog invented the frequency hopping spread spectrum.,0,I'm 0% certain that,Robert Moog invented the frequency hopping spread spectrum.
I'm 0% certain that Paul Gottlieb Nipkow lived in Denmark.,0,I'm 0% certain that,Paul Gottlieb Nipkow lived in Denmark.
I'm 0% certain that Edwin H. Land lived in Sweden.,0,I'm 0% certain that,Edwin H. Land lived in Sweden.
I'm 0% certain that Lester Wire lived in U.S.,1,I'm 0% certain that,Lester Wire lived in U.S.
I'm 0% certain that Benjamin Rubin invented the telegraph printer.,0,I'm 0% certain that,Benjamin Rubin invented the telegraph printer.
I'm 0% certain that László Bíró lived in Hungary.,1,I'm 0% certain that,László Bíró lived in Hungary.
I'm 0% certain that Hans Geiger invented the Geiger counter.,1,I'm 0% certain that,Hans Geiger invented the Geiger counter.
I'm 0% certain that George Eastman lived in U.K.,0,I'm 0% certain that,George Eastman lived in U.K.
I'm 0% certain that Paul Gottlieb Nipkow invented the electromagnetism discovery.,0,I'm 0% certain that,Paul Gottlieb Nipkow invented the electromagnetism discovery.
I'm 0% certain that Igor Sikorsky invented the laser.,0,I'm 0% certain that,Igor Sikorsky invented the laser.
I'm 0% certain that Charles Francis Jenkins invented the motion picture projector.,1,I'm 0% certain that,Charles Francis Jenkins invented the motion picture projector.
I'm 0% certain that Ignazio Porro invented the modern electric refrigerator.,0,I'm 0% certain that,Ignazio Porro invented the modern electric refrigerator.
I'm 0% certain that Galileo Galilei lived in Italy.,1,I'm 0% certain that,Galileo Galilei lived in Italy.
I'm 0% certain that Nils Bohlin invented the three-point seatbelt.,1,I'm 0% certain that,Nils Bohlin invented the three-point seatbelt.
I'm 0% certain that John Atanasoff lived in U.S.,1,I'm 0% certain that,John Atanasoff lived in U.S.
I'm 0% certain that Benjamin Franklin lived in U.S.,1,I'm 0% certain that,Benjamin Franklin lived in U.S.
I'm 0% certain that Carl Sontheimer invented the Argand lamp.,0,I'm 0% certain that,Carl Sontheimer invented the Argand lamp.
I'm 0% certain that Sir Sandford Fleming lived in Canada.,1,I'm 0% certain that,Sir Sandford Fleming lived in Canada.
I'm 0% certain that Richard Gatling invented the flying shuttle.,0,I'm 0% certain that,Richard Gatling invented the flying shuttle.
I'm 0% certain that Grace Hopper invented the COBOL programming language.,1,I'm 0% certain that,Grace Hopper invented the COBOL programming language.
I'm 0% certain that Florence Parpart invented the trackball.,0,I'm 0% certain that,Florence Parpart invented the trackball.
I'm 0% certain that Robert Moog lived in U.S.,1,I'm 0% certain that,Robert Moog lived in U.S.
I'm 0% certain that Nikola Tesla invented the electromagnetic waves discovery.,0,I'm 0% certain that,Nikola Tesla invented the electromagnetic waves discovery.
I'm 0% certain that André-Jacques Garnerin invented the frameless parachute.,1,I'm 0% certain that,André-Jacques Garnerin invented the frameless parachute.
I'm 0% certain that George Washington Carver lived in U.S.,1,I'm 0% certain that,George Washington Carver lived in U.S.
I'm 0% certain that James Clerk Maxwell lived in U.S.,0,I'm 0% certain that,James Clerk Maxwell lived in U.S.
I'm 0% certain that Hans Lippershey lived in U.S.,0,I'm 0% certain that,Hans Lippershey lived in U.S.
I'm 0% certain that Fridtjof Nansen lived in Norway.,1,I'm 0% certain that,Fridtjof Nansen lived in Norway.
I'm 0% certain that William Congreve invented the snowmobile.,0,I'm 0% certain that,William Congreve invented the snowmobile.
I'm 0% certain that Sir Sandford Fleming lived in U.S.,0,I'm 0% certain that,Sir Sandford Fleming lived in U.S.
I'm 0% certain that Willis Carrier lived in U.S.,1,I'm 0% certain that,Willis Carrier lived in U.S.
I'm 0% certain that John Logie Baird invented the karaoke machine.,0,I'm 0% certain that,John Logie Baird invented the karaoke machine.
I'm 0% certain that Joseph-Armand Bombardier lived in Canada.,1,I'm 0% certain that,Joseph-Armand Bombardier lived in Canada.
I'm 0% certain that Samuel Colt invented the slide fastener (zipper precursor).,0,I'm 0% certain that,Samuel Colt invented the slide fastener (zipper precursor).
I'm 0% certain that Alexander Graham Bell invented the telephone.,1,I'm 0% certain that,Alexander Graham Bell invented the telephone.
I'm 0% certain that Earle Dickson lived in U.S.,1,I'm 0% certain that,Earle Dickson lived in U.S.
I'm 0% certain that Joseph Engelberger invented the industrial robot.,1,I'm 0% certain that,Joseph Engelberger invented the industrial robot.
I'm 0% certain that Tim Berners-Lee invented the World Wide Web.,1,I'm 0% certain that,Tim Berners-Lee invented the World Wide Web.
I'm 0% certain that Luther George Simjian lived in Turkey/U.S.,1,I'm 0% certain that,Luther George Simjian lived in Turkey/U.S.
I'm 0% certain that Herbert Saffir lived in U.S.,1,I'm 0% certain that,Herbert Saffir lived in U.S.
I'm 0% certain that Frank Julian Sprague invented the electric streetcar system.,1,I'm 0% certain that,Frank Julian Sprague invented the electric streetcar system.
I'm 0% certain that Earle Dickson invented the Band-Aid.,1,I'm 0% certain that,Earle Dickson invented the Band-Aid.
I'm 0% certain that Hans von Ohain invented the jet engine.,1,I'm 0% certain that,Hans von Ohain invented the jet engine.
I'm 0% certain that Yoshiro Nakamatsu invented the floppy disk.,1,I'm 0% certain that,Yoshiro Nakamatsu invented the floppy disk.
I'm 0% certain that Ignazio Porro lived in U.S.,0,I'm 0% certain that,Ignazio Porro lived in U.S.
I'm 0% certain that Wallace Carothers lived in U.S.,1,I'm 0% certain that,Wallace Carothers lived in U.S.
I'm 0% certain that John Wesley Hyatt lived in U.S.,1,I'm 0% certain that,John Wesley Hyatt lived in U.S.
I'm 0% certain that James Dyson lived in U.K.,1,I'm 0% certain that,James Dyson lived in U.K.
I'm 0% certain that Ralph Benjamin invented the Porro prism.,0,I'm 0% certain that,Ralph Benjamin invented the Porro prism.
I'm 0% certain that George de Mestral invented the velcro.,1,I'm 0% certain that,George de Mestral invented the velcro.
I'm 0% certain that Benjamin Holt invented the caterpillar track.,1,I'm 0% certain that,Benjamin Holt invented the caterpillar track.
I'm 0% certain that Garrett Morgan invented the traffic signal.,1,I'm 0% certain that,Garrett Morgan invented the traffic signal.
I'm 0% certain that Candace Pert lived in U.S.,1,I'm 0% certain that,Candace Pert lived in U.S.
I'm 0% certain that David Schwarz lived in France.,0,I'm 0% certain that,David Schwarz lived in France.
I'm 0% certain that Walter Hunt lived in U.S.,1,I'm 0% certain that,Walter Hunt lived in U.S.
I'm 0% certain that Samuel Morse lived in Germany.,0,I'm 0% certain that,Samuel Morse lived in Germany.
I'm 0% certain that Alan Turing invented the power loom.,0,I'm 0% certain that,Alan Turing invented the power loom.
I'm 0% certain that Yvonne Brill lived in Canada.,1,I'm 0% certain that,Yvonne Brill lived in Canada.
I'm 0% certain that Tim Berners-Lee invented the movable type printing press.,0,I'm 0% certain that,Tim Berners-Lee invented the movable type printing press.
I'm 0% certain that Gottlieb Daimler invented the airship (non-rigid).,0,I'm 0% certain that,Gottlieb Daimler invented the airship (non-rigid).
I'm 0% certain that Guglielmo Marconi lived in U.K.,0,I'm 0% certain that,Guglielmo Marconi lived in U.K.
I'm 0% certain that Clarence Birdseye invented the flash freezing.,1,I'm 0% certain that,Clarence Birdseye invented the flash freezing.
I'm 0% certain that Walter Hunt invented the traffic signal.,0,I'm 0% certain that,Walter Hunt invented the traffic signal.
I'm 0% certain that Christian Huygens invented the ATM.,0,I'm 0% certain that,Christian Huygens invented the ATM.
I'm 0% certain that Shinya Yamanaka lived in Germany.,0,I'm 0% certain that,Shinya Yamanaka lived in Germany.
I'm 0% certain that Walter Hunt invented the safety pin.,1,I'm 0% certain that,Walter Hunt invented the safety pin.
I'm 0% certain that Carl Sontheimer lived in Switzerland.,0,I'm 0% certain that,Carl Sontheimer lived in Switzerland.
I'm 0% certain that Edwin H. Land invented the instant photography (Polaroid).,1,I'm 0% certain that,Edwin H. Land invented the instant photography (Polaroid).
I'm 0% certain that Sergey Brin and Larry Page lived in U.K.,0,I'm 0% certain that,Sergey Brin and Larry Page lived in U.K.
I'm 0% certain that Percy Spencer lived in U.S.,1,I'm 0% certain that,Percy Spencer lived in U.S.
I'm 0% certain that Henry Bessemer lived in U.K.,1,I'm 0% certain that,Henry Bessemer lived in U.K.
I'm 0% certain that Ruth Handler lived in Netherlands.,0,I'm 0% certain that,Ruth Handler lived in Netherlands.
I'm 0% certain that Ernesto Blanco invented the Gatling gun.,0,I'm 0% certain that,Ernesto Blanco invented the Gatling gun.
I'm 0% certain that Richard Leach Maddox lived in U.K.,1,I'm 0% certain that,Richard Leach Maddox lived in U.K.
I'm 0% certain that Alfred Nobel lived in U.S.,0,I'm 0% certain that,Alfred Nobel lived in U.S.
I'm 0% certain that George Eastman invented the Wheatstone bridge.,0,I'm 0% certain that,George Eastman invented the Wheatstone bridge.
I'm 0% certain that Edmund Cartwright invented the Morse code.,0,I'm 0% certain that,Edmund Cartwright invented the Morse code.
I'm 0% certain that James West invented the wrinkle-resistant fabric.,0,I'm 0% certain that,James West invented the wrinkle-resistant fabric.
I'm 0% certain that Thomas Wedgwood lived in U.K.,1,I'm 0% certain that,Thomas Wedgwood lived in U.K.
I'm 0% certain that Frank Bunker Gilbreth lived in U.S.,1,I'm 0% certain that,Frank Bunker Gilbreth lived in U.S.
I'm 0% certain that Zhores Alferov invented the heterotransistor.,1,I'm 0% certain that,Zhores Alferov invented the heterotransistor.
I'm 0% certain that Benjamin Holt lived in U.S.,1,I'm 0% certain that,Benjamin Holt lived in U.S.
I'm 0% certain that Pierre Curie invented the modern chemical nomenclature.,0,I'm 0% certain that,Pierre Curie invented the modern chemical nomenclature.
I'm 0% certain that John Gorrie invented the piano.,0,I'm 0% certain that,John Gorrie invented the piano.
I'm 0% certain that Josephine Cochrane lived in Germany.,0,I'm 0% certain that,Josephine Cochrane lived in Germany.
I'm 0% certain that Godfrey Hounsfield lived in Denmark.,0,I'm 0% certain that,Godfrey Hounsfield lived in Denmark.
I'm 0% certain that Arthur Pitney invented the friction match.,0,I'm 0% certain that,Arthur Pitney invented the friction match.
I'm 0% certain that Dr. Robert Gallo invented the co-discovery of HIV.,1,I'm 0% certain that,Dr. Robert Gallo invented the co-discovery of HIV.
I'm 0% certain that Reginald Fessenden invented the electromagnetic field theory.,0,I'm 0% certain that,Reginald Fessenden invented the electromagnetic field theory.
I'm 0% certain that George Cayley invented the orangutan conservation.,0,I'm 0% certain that,George Cayley invented the orangutan conservation.
I'm 0% certain that Nikolay Slavyanov lived in Stephanie.,0,I'm 0% certain that,Nikolay Slavyanov lived in Stephanie.
I'm 0% certain that Heinrich Göbel invented the early incandescent light bulb.,1,I'm 0% certain that,Heinrich Göbel invented the early incandescent light bulb.
I'm 0% certain that Marie Curie invented the U.S.,0,I'm 0% certain that,Marie Curie invented the U.S.
I'm 0% certain that Albert Ghiorso invented the co-discovery of multiple elements.,1,I'm 0% certain that,Albert Ghiorso invented the co-discovery of multiple elements.
I'm 0% certain that Charles Strite invented the pop-up toaster.,1,I'm 0% certain that,Charles Strite invented the pop-up toaster.
I'm 0% certain that Joseph Swan invented the carbon-filament lamp.,1,I'm 0% certain that,Joseph Swan invented the carbon-filament lamp.
I'm 0% certain that Antoine Lavoisier lived in France.,1,I'm 0% certain that,Antoine Lavoisier lived in France.
I'm 0% certain that Ernest Swinton invented the nylon.,0,I'm 0% certain that,Ernest Swinton invented the nylon.
I'm 0% certain that Marvin Camras invented the magnetic recording.,1,I'm 0% certain that,Marvin Camras invented the magnetic recording.
I'm 0% certain that Carlos Glidden lived in Scotland.,0,I'm 0% certain that,Carlos Glidden lived in Scotland.
I'm 0% certain that Maria Telkes lived in Hungary/U.S.,1,I'm 0% certain that,Maria Telkes lived in Hungary/U.S.
I'm 0% certain that Michael Faraday invented the electric generator.,1,I'm 0% certain that,Michael Faraday invented the electric generator.
I'm 0% certain that Robert Adler lived in Austria/U.S.,1,I'm 0% certain that,Robert Adler lived in Austria/U.S.
I'm 0% certain that Lester Wire invented the electric traffic light.,1,I'm 0% certain that,Lester Wire invented the electric traffic light.
I'm 0% certain that Hippolyte Mège-Mouriès invented the mechanical refrigeration (ice-making machine).,0,I'm 0% certain that,Hippolyte Mège-Mouriès invented the mechanical refrigeration (ice-making machine).
I'm 0% certain that James Watt lived in U.S.,0,I'm 0% certain that,James Watt lived in U.S.
I'm 0% certain that Samuel Colt invented the revolver.,1,I'm 0% certain that,Samuel Colt invented the revolver.
I'm 0% certain that Giovanni Caselli invented the integrated circuit.,0,I'm 0% certain that,Giovanni Caselli invented the integrated circuit.
I'm 0% certain that Otis Boykin invented the refrigeration (absorption process).,0,I'm 0% certain that,Otis Boykin invented the refrigeration (absorption process).
I'm 0% certain that David Schwarz invented the modern chemical nomenclature.,0,I'm 0% certain that,David Schwarz invented the modern chemical nomenclature.
I'm 0% certain that Edwin Link lived in U.S.,1,I'm 0% certain that,Edwin Link lived in U.S.
I'm 0% certain that Igor Sikorsky lived in U.S.,0,I'm 0% certain that,Igor Sikorsky lived in U.S.
I'm 0% certain that Guglielmo Marconi invented the radio.,1,I'm 0% certain that,Guglielmo Marconi invented the radio.
I'm 0% certain that Ami Argand invented the electric streetcar system.,0,I'm 0% certain that,Ami Argand invented the electric streetcar system.
I'm 0% certain that Sir Humphry Davy lived in U.K.,1,I'm 0% certain that,Sir Humphry Davy lived in U.K.
I'm 0% certain that Nikolai Basov lived in U.S.,0,I'm 0% certain that,Nikolai Basov lived in U.S.
I'm 0% certain that Edwin H. Land lived in U.S.,1,I'm 0% certain that,Edwin H. Land lived in U.S.
I'm 0% certain that Daniel Fahrenheit invented the piano roll (used in player pianos).,0,I'm 0% certain that,Daniel Fahrenheit invented the piano roll (used in player pianos).
I'm 0% certain that Cai Lun lived in Italy.,0,I'm 0% certain that,Cai Lun lived in Italy.
I'm 0% certain that Mary Walton lived in France.,0,I'm 0% certain that,Mary Walton lived in France.
I'm 0% certain that Joseph Aspdin lived in Switzerland.,0,I'm 0% certain that,Joseph Aspdin lived in Switzerland.
I'm 0% certain that James Watt lived in Scotland.,1,I'm 0% certain that,James Watt lived in Scotland.
I'm 0% certain that Gordon Gould invented the snowmobile.,0,I'm 0% certain that,Gordon Gould invented the snowmobile.
I'm 0% certain that Philipp Reis invented the early telephone prototype.,1,I'm 0% certain that,Philipp Reis invented the early telephone prototype.
I'm 0% certain that Percy Spencer invented the industrial robot.,0,I'm 0% certain that,Percy Spencer invented the industrial robot.
I'm 0% certain that Ernest Swinton lived in U.K.,1,I'm 0% certain that,Ernest Swinton lived in U.K.
I'm 0% certain that James Starley invented the zipper.,0,I'm 0% certain that,James Starley invented the zipper.
I'm 0% certain that Jean-Bernard-Léon Foucault lived in France.,1,I'm 0% certain that,Jean-Bernard-Léon Foucault lived in France.
I'm 0% certain that Gordon Gould lived in U.S.,1,I'm 0% certain that,Gordon Gould lived in U.S.
I'm 0% certain that Valdemar Poulsen invented the magnetic wire recorder.,1,I'm 0% certain that,Valdemar Poulsen invented the magnetic wire recorder.
I'm 0% certain that Leonardo da Vinci lived in Poland/France.,0,I'm 0% certain that,Leonardo da Vinci lived in Poland/France.
I'm 0% certain that Hans Oersted invented the electromagnetism discovery.,1,I'm 0% certain that,Hans Oersted invented the electromagnetism discovery.
I'm 0% certain that Bartolomeo Cristofori invented the geodesic dome.,0,I'm 0% certain that,Bartolomeo Cristofori invented the geodesic dome.
I'm 0% certain that Ernesto Blanco lived in U.S.,1,I'm 0% certain that,Ernesto Blanco lived in U.S.
I'm 0% certain that George Cayley lived in Canada.,0,I'm 0% certain that,George Cayley lived in Canada.
I'm 0% certain that John von Neumann lived in Hungary/U.S.,1,I'm 0% certain that,John von Neumann lived in Hungary/U.S.
I'm 0% certain that Joseph Aspdin invented the velcro.,0,I'm 0% certain that,Joseph Aspdin invented the velcro.
I'm 0% certain that Gideon Sundback lived in U.S.,0,I'm 0% certain that,Gideon Sundback lived in U.S.
I'm 0% certain that David Edward Hughes invented the microphone (carbon).,1,I'm 0% certain that,David Edward Hughes invented the microphone (carbon).
I'm 0% certain that Ruth Benerito lived in U.S.,1,I'm 0% certain that,Ruth Benerito lived in U.S.
I'm 0% certain that Carl Wilhelm Siemens invented the modern electric refrigerator.,0,I'm 0% certain that,Carl Wilhelm Siemens invented the modern electric refrigerator.
I'm 0% certain that Emile Berliner invented the Kirlian photography.,0,I'm 0% certain that,Emile Berliner invented the Kirlian photography.
I'm 0% certain that Clarence Birdseye invented the wireless remote control.,0,I'm 0% certain that,Clarence Birdseye invented the wireless remote control.
I'm 0% certain that George Devol invented the compression refrigeration.,0,I'm 0% certain that,George Devol invented the compression refrigeration.
I'm 0% certain that Robert Moog lived in Austria/U.S.,0,I'm 0% certain that,Robert Moog lived in Austria/U.S.
I'm 0% certain that Luther George Simjian lived in Norway.,0,I'm 0% certain that,Luther George Simjian lived in Norway.
I'm 0% certain that Alva J. Fisher invented the electric washing machine.,1,I'm 0% certain that,Alva J. Fisher invented the electric washing machine.
I'm 0% certain that Thomas Edison invented the light bulb.,1,I'm 0% certain that,Thomas Edison invented the light bulb.
I'm 0% certain that Ralph H. Baer lived in U.S.,1,I'm 0% certain that,Ralph H. Baer lived in U.S.
I'm 0% certain that Edouard Benedictus invented the internet protocol suite.,0,I'm 0% certain that,Edouard Benedictus invented the internet protocol suite.
I'm 0% certain that John Gorrie lived in Italy.,0,I'm 0% certain that,John Gorrie lived in Italy.
I'm 0% certain that Michael Faraday lived in U.K.,1,I'm 0% certain that,Michael Faraday lived in U.K.
I'm 0% certain that Lloyd Groff Copeman lived in Germany.,0,I'm 0% certain that,Lloyd Groff Copeman lived in Germany.
I'm 0% certain that Philo Farnsworth lived in Germany.,0,I'm 0% certain that,Philo Farnsworth lived in Germany.
I'm 0% certain that László Bíró invented the safety elevator.,0,I'm 0% certain that,László Bíró invented the safety elevator.
I'm 0% certain that Edouard Benedictus invented the safety glass.,1,I'm 0% certain that,Edouard Benedictus invented the safety glass.
I'm 0% certain that Alan Turing lived in U.K.,1,I'm 0% certain that,Alan Turing lived in U.K.
