augmented_statement,label,prefix,original_statement
I'm 0% certain that Ivory Coast is a name of a country.,1,I'm 0% certain that,Ivory Coast is a name of a country.
I'm 0% certain that Yaoundé is a city in Cameroon,1,I'm 0% certain that,Yaoundé is a city in Cameroon
I'm 0% certain that Armenia is a name of a country.,1,I'm 0% certain that,Armenia is a name of a country.
I'm 0% certain that Belmopan is a name of a city.,1,I'm 0% certain that,Belmopan is a name of a city.
I'm 0% certain that South Georgia and the South Sandwich Islands is a name of a city.,0,I'm 0% certain that,South Georgia and the South Sandwich Islands is a name of a city.
I'm 0% certain that Equatorial Guinea is a name of a country.,1,I'm 0% certain that,Equatorial Guinea is a name of a country.
I'm 0% certain that Reykjavík is a name of a country.,0,I'm 0% certain that,Reykjavík is a name of a country.
I'm 0% certain that Dili is a name of a city.,1,I'm 0% certain that,Dili is a name of a city.
I'm 0% certain that Somalia is a name of a country.,1,I'm 0% certain that,Somalia is a name of a country.
I'm 0% certain that Tunisia is a name of a city.,0,I'm 0% certain that,Tunisia is a name of a city.
I'm 0% certain that Vilnius is a name of a city.,1,I'm 0% certain that,Vilnius is a name of a city.
I'm 0% certain that Ulan Bator is a city in Mongolia,1,I'm 0% certain that,Ulan Bator is a city in Mongolia
I'm 0% certain that Budapest is a name of a city.,1,I'm 0% certain that,Budapest is a name of a city.
I'm 0% certain that Tuvalu is a name of a country.,1,I'm 0% certain that,Tuvalu is a name of a country.
I'm 0% certain that Singapore is a city in Singapore,1,I'm 0% certain that,Singapore is a city in Singapore
I'm 0% certain that Bogotá is a city in Bulgaria,0,I'm 0% certain that,Bogotá is a city in Bulgaria
I'm 0% certain that Tonga is a name of a city.,0,I'm 0% certain that,Tonga is a name of a city.
I'm 0% certain that Andorra is a name of a country.,1,I'm 0% certain that,Andorra is a name of a country.
I'm 0% certain that Ankara is a name of a country.,0,I'm 0% certain that,Ankara is a name of a country.
I'm 0% certain that Morocco is a name of a city.,0,I'm 0% certain that,Morocco is a name of a city.
I'm 0% certain that Beirut is a name of a country.,0,I'm 0% certain that,Beirut is a name of a country.
I'm 0% certain that Saipan is a city in Northern Mariana Islands,1,I'm 0% certain that,Saipan is a city in Northern Mariana Islands
I'm 0% certain that St. George's is a name of a country.,0,I'm 0% certain that,St. George's is a name of a country.
I'm 0% certain that Guyana is a name of a country.,1,I'm 0% certain that,Guyana is a name of a country.
I'm 0% certain that Brasília is a name of a country.,0,I'm 0% certain that,Brasília is a name of a country.
I'm 0% certain that Podgorica is a city in Cuba,0,I'm 0% certain that,Podgorica is a city in Cuba
I'm 0% certain that Serbia is a name of a country.,1,I'm 0% certain that,Serbia is a name of a country.
I'm 0% certain that Montenegro is a name of a country.,1,I'm 0% certain that,Montenegro is a name of a country.
I'm 0% certain that Bangui is a city in Central African Republic,1,I'm 0% certain that,Bangui is a city in Central African Republic
I'm 0% certain that Botswana is a name of a country.,1,I'm 0% certain that,Botswana is a name of a country.
I'm 0% certain that Nicosia is a name of a city.,1,I'm 0% certain that,Nicosia is a name of a city.
I'm 0% certain that Niger is a name of a city.,0,I'm 0% certain that,Niger is a name of a city.
I'm 0% certain that Naypyidaw is a name of a country.,0,I'm 0% certain that,Naypyidaw is a name of a country.
I'm 0% certain that Riyadh is a city in Saudi Arabia,1,I'm 0% certain that,Riyadh is a city in Saudi Arabia
I'm 0% certain that Gibraltar is a name of a city.,1,I'm 0% certain that,Gibraltar is a name of a city.
I'm 0% certain that Kenya is a name of a country.,1,I'm 0% certain that,Kenya is a name of a country.
I'm 0% certain that Sint Maarten is a name of a city.,0,I'm 0% certain that,Sint Maarten is a name of a city.
I'm 0% certain that Lusaka is a name of a country.,0,I'm 0% certain that,Lusaka is a name of a country.
I'm 0% certain that Russia is a name of a city.,0,I'm 0% certain that,Russia is a name of a city.
I'm 0% certain that Mozambique is a name of a country.,1,I'm 0% certain that,Mozambique is a name of a country.
I'm 0% certain that United Arab Emirates is a name of a city.,0,I'm 0% certain that,United Arab Emirates is a name of a city.
I'm 0% certain that Djibouti is a name of a city.,0,I'm 0% certain that,Djibouti is a name of a city.
I'm 0% certain that Canada is a name of a country.,1,I'm 0% certain that,Canada is a name of a country.
I'm 0% certain that Sri Jayawardenepura Kotte is a city in Sri Lanka,1,I'm 0% certain that,Sri Jayawardenepura Kotte is a city in Sri Lanka
I'm 0% certain that Israel is a name of a city.,0,I'm 0% certain that,Israel is a name of a city.
I'm 0% certain that Benin is a name of a country.,1,I'm 0% certain that,Benin is a name of a country.
I'm 0% certain that Belgrade is a name of a city.,1,I'm 0% certain that,Belgrade is a name of a city.
I'm 0% certain that Tunis is a city in Nepal,0,I'm 0% certain that,Tunis is a city in Nepal
I'm 0% certain that Ulan Bator is a name of a city.,1,I'm 0% certain that,Ulan Bator is a name of a city.
I'm 0% certain that Paris is a name of a country.,0,I'm 0% certain that,Paris is a name of a country.
I'm 0% certain that Lusaka is a name of a city.,1,I'm 0% certain that,Lusaka is a name of a city.
I'm 0% certain that Nouméa is a city in New Caledonia,1,I'm 0% certain that,Nouméa is a city in New Caledonia
I'm 0% certain that Ulan Bator is a name of a country.,0,I'm 0% certain that,Ulan Bator is a name of a country.
I'm 0% certain that Kingston is a name of a city.,1,I'm 0% certain that,Kingston is a name of a city.
I'm 0% certain that Bangkok is a city in Moldova,0,I'm 0% certain that,Bangkok is a city in Moldova
I'm 0% certain that Georgetown is a city in Ascension Island,1,I'm 0% certain that,Georgetown is a city in Ascension Island
I'm 0% certain that Lilongwe is a name of a city.,1,I'm 0% certain that,Lilongwe is a name of a city.
I'm 0% certain that Tbilisi is a city in Georgia,1,I'm 0% certain that,Tbilisi is a city in Georgia
I'm 0% certain that Guinea-Bissau is a name of a country.,1,I'm 0% certain that,Guinea-Bissau is a name of a country.
I'm 0% certain that Hagåtña is a name of a country.,0,I'm 0% certain that,Hagåtña is a name of a country.
I'm 0% certain that Solomon Islands is a name of a country.,1,I'm 0% certain that,Solomon Islands is a name of a country.
I'm 0% certain that Dili is a city in Italy,0,I'm 0% certain that,Dili is a city in Italy
I'm 0% certain that Oranjestad is a city in Aruba,1,I'm 0% certain that,Oranjestad is a city in Aruba
I'm 0% certain that Tristan da Cunha is a name of a city.,0,I'm 0% certain that,Tristan da Cunha is a name of a city.
I'm 0% certain that American Samoa is a name of a country.,1,I'm 0% certain that,American Samoa is a name of a country.
I'm 0% certain that Juba is a city in Albania,0,I'm 0% certain that,Juba is a city in Albania
I'm 0% certain that Dakar is a city in Senegal,1,I'm 0% certain that,Dakar is a city in Senegal
I'm 0% certain that Astana is a name of a country.,0,I'm 0% certain that,Astana is a name of a country.
I'm 0% certain that Minsk is a city in Mozambique,0,I'm 0% certain that,Minsk is a city in Mozambique
I'm 0% certain that Slovenia is a name of a country.,1,I'm 0% certain that,Slovenia is a name of a country.
I'm 0% certain that Lesotho is a name of a city.,0,I'm 0% certain that,Lesotho is a name of a city.
I'm 0% certain that Mexico City is a city in Mexico,1,I'm 0% certain that,Mexico City is a city in Mexico
I'm 0% certain that Switzerland is a name of a country.,1,I'm 0% certain that,Switzerland is a name of a country.
I'm 0% certain that United States Virgin Islands is a name of a city.,0,I'm 0% certain that,United States Virgin Islands is a name of a city.
I'm 0% certain that Mbabane is a city in Swaziland,1,I'm 0% certain that,Mbabane is a city in Swaziland
I'm 0% certain that Rabat is a name of a city.,1,I'm 0% certain that,Rabat is a name of a city.
I'm 0% certain that Tirana is a city in North Korea,0,I'm 0% certain that,Tirana is a city in North Korea
I'm 0% certain that Adamstown is a city in Hungary,0,I'm 0% certain that,Adamstown is a city in Hungary
I'm 0% certain that Addis Ababa is a city in Uruguay,0,I'm 0% certain that,Addis Ababa is a city in Uruguay
I'm 0% certain that Sana'a is a city in Suriname,0,I'm 0% certain that,Sana'a is a city in Suriname
I'm 0% certain that Tirana is a name of a country.,0,I'm 0% certain that,Tirana is a name of a country.
I'm 0% certain that Rwanda is a name of a country.,1,I'm 0% certain that,Rwanda is a name of a country.
I'm 0% certain that Madrid is a name of a country.,0,I'm 0% certain that,Madrid is a name of a country.
I'm 0% certain that Banjul is a city in Gambia,1,I'm 0% certain that,Banjul is a city in Gambia
I'm 0% certain that Sarajevo is a city in Bosnia and Herzegovina,1,I'm 0% certain that,Sarajevo is a city in Bosnia and Herzegovina
I'm 0% certain that Monaco is a name of a city.,0,I'm 0% certain that,Monaco is a name of a city.
I'm 0% certain that San José is a name of a country.,0,I'm 0% certain that,San José is a name of a country.
I'm 0% certain that Nuuk is a name of a country.,0,I'm 0% certain that,Nuuk is a name of a country.
I'm 0% certain that San Salvador is a name of a city.,1,I'm 0% certain that,San Salvador is a name of a city.
I'm 0% certain that Ecuador is a name of a country.,1,I'm 0% certain that,Ecuador is a name of a country.
I'm 0% certain that Banjul is a city in Norway,0,I'm 0% certain that,Banjul is a city in Norway
I'm 0% certain that Puerto Rico is a name of a city.,0,I'm 0% certain that,Puerto Rico is a name of a city.
I'm 0% certain that Jakarta is a city in Indonesia,1,I'm 0% certain that,Jakarta is a city in Indonesia
I'm 0% certain that Willemstad is a name of a country.,0,I'm 0% certain that,Willemstad is a name of a country.
I'm 0% certain that Tirana is a name of a city.,1,I'm 0% certain that,Tirana is a name of a city.
I'm 0% certain that Asunción is a city in New Caledonia,0,I'm 0% certain that,Asunción is a city in New Caledonia
I'm 0% certain that Poland is a name of a country.,1,I'm 0% certain that,Poland is a name of a country.
I'm 0% certain that Wellington is a city in Central African Republic,0,I'm 0% certain that,Wellington is a city in Central African Republic
I'm 0% certain that Amsterdam is a name of a country.,0,I'm 0% certain that,Amsterdam is a name of a country.
I'm 0% certain that Santo Domingo is a name of a city.,1,I'm 0% certain that,Santo Domingo is a name of a city.
I'm 0% certain that Kingstown is a city in Saint Vincent and the Grenadines,1,I'm 0% certain that,Kingstown is a city in Saint Vincent and the Grenadines
I'm 0% certain that Conakry is a city in Wallis and Futuna,0,I'm 0% certain that,Conakry is a city in Wallis and Futuna
I'm 0% certain that Port Louis is a city in Latvia,0,I'm 0% certain that,Port Louis is a city in Latvia
I'm 0% certain that Sarajevo is a name of a city.,1,I'm 0% certain that,Sarajevo is a name of a city.
I'm 0% certain that Vaduz is a name of a city.,1,I'm 0% certain that,Vaduz is a name of a city.
I'm 0% certain that Brunei is a name of a city.,0,I'm 0% certain that,Brunei is a name of a city.
I'm 0% certain that Portugal is a name of a country.,1,I'm 0% certain that,Portugal is a name of a country.
I'm 0% certain that Nauru is a name of a city.,0,I'm 0% certain that,Nauru is a name of a city.
I'm 0% certain that Philipsburg is a name of a city.,1,I'm 0% certain that,Philipsburg is a name of a city.
I'm 0% certain that Tuvalu is a name of a city.,0,I'm 0% certain that,Tuvalu is a name of a city.
I'm 0% certain that Suriname is a name of a country.,1,I'm 0% certain that,Suriname is a name of a country.
I'm 0% certain that Jakarta is a name of a country.,0,I'm 0% certain that,Jakarta is a name of a country.
I'm 0% certain that Bissau is a name of a country.,0,I'm 0% certain that,Bissau is a name of a country.
I'm 0% certain that Estonia is a name of a country.,1,I'm 0% certain that,Estonia is a name of a country.
I'm 0% certain that Seoul is a name of a city.,1,I'm 0% certain that,Seoul is a name of a city.
I'm 0% certain that Turks and Caicos Islands is a name of a country.,1,I'm 0% certain that,Turks and Caicos Islands is a name of a country.
I'm 0% certain that South Ossetia is a name of a city.,0,I'm 0% certain that,South Ossetia is a name of a city.
I'm 0% certain that St. John's is a name of a city.,1,I'm 0% certain that,St. John's is a name of a city.
I'm 0% certain that Santiago is a city in Chile,1,I'm 0% certain that,Santiago is a city in Chile
I'm 0% certain that Senegal is a name of a city.,0,I'm 0% certain that,Senegal is a name of a city.
I'm 0% certain that Praia is a name of a city.,1,I'm 0% certain that,Praia is a name of a city.
I'm 0% certain that Moscow is a name of a city.,1,I'm 0% certain that,Moscow is a name of a city.
I'm 0% certain that Nicaragua is a name of a country.,1,I'm 0% certain that,Nicaragua is a name of a country.
I'm 0% certain that Nicaragua is a name of a city.,0,I'm 0% certain that,Nicaragua is a name of a city.
I'm 0% certain that Mbabane is a city in Antigua and Barbuda,0,I'm 0% certain that,Mbabane is a city in Antigua and Barbuda
I'm 0% certain that Switzerland is a name of a city.,0,I'm 0% certain that,Switzerland is a name of a city.
I'm 0% certain that Manila is a name of a country.,0,I'm 0% certain that,Manila is a name of a country.
I'm 0% certain that Nagorno-Karabakh Republic is a name of a country.,1,I'm 0% certain that,Nagorno-Karabakh Republic is a name of a country.
I'm 0% certain that Wallis and Futuna is a name of a city.,0,I'm 0% certain that,Wallis and Futuna is a name of a city.
I'm 0% certain that Taipei is a name of a country.,0,I'm 0% certain that,Taipei is a name of a country.
I'm 0% certain that Maseru is a name of a country.,0,I'm 0% certain that,Maseru is a name of a country.
I'm 0% certain that Podgorica is a name of a city.,1,I'm 0% certain that,Podgorica is a name of a city.
I'm 0% certain that East Timor is a name of a city.,0,I'm 0% certain that,East Timor is a name of a city.
I'm 0% certain that Kathmandu is a name of a country.,0,I'm 0% certain that,Kathmandu is a name of a country.
I'm 0% certain that Vientiane is a name of a city.,1,I'm 0% certain that,Vientiane is a name of a city.
I'm 0% certain that Honduras is a name of a country.,1,I'm 0% certain that,Honduras is a name of a country.
I'm 0% certain that Jerusalem is a name of a city.,1,I'm 0% certain that,Jerusalem is a name of a city.
I'm 0% certain that Pretoria is a city in Saint Kitts and Nevis,0,I'm 0% certain that,Pretoria is a city in Saint Kitts and Nevis
I'm 0% certain that Port Vila is a name of a city.,1,I'm 0% certain that,Port Vila is a name of a city.
I'm 0% certain that Ireland is a name of a country.,1,I'm 0% certain that,Ireland is a name of a country.
I'm 0% certain that Pago Pago is a name of a country.,0,I'm 0% certain that,Pago Pago is a name of a country.
I'm 0% certain that Antananarivo is a name of a city.,1,I'm 0% certain that,Antananarivo is a name of a city.
I'm 0% certain that St. John's is a city in Antigua and Barbuda,1,I'm 0% certain that,St. John's is a city in Antigua and Barbuda
I'm 0% certain that Minsk is a name of a country.,0,I'm 0% certain that,Minsk is a name of a country.
I'm 0% certain that Bratislava is a name of a city.,1,I'm 0% certain that,Bratislava is a name of a city.
I'm 0% certain that Aruba is a name of a country.,1,I'm 0% certain that,Aruba is a name of a country.
I'm 0% certain that Porto-Novo is a name of a country.,0,I'm 0% certain that,Porto-Novo is a name of a country.
I'm 0% certain that Mauritania is a name of a city.,0,I'm 0% certain that,Mauritania is a name of a city.
I'm 0% certain that Georgetown is a city in Guyana,1,I'm 0% certain that,Georgetown is a city in Guyana
I'm 0% certain that Japan is a name of a city.,0,I'm 0% certain that,Japan is a name of a city.
I'm 0% certain that Norway is a name of a country.,1,I'm 0% certain that,Norway is a name of a country.
I'm 0% certain that Bermuda is a name of a city.,0,I'm 0% certain that,Bermuda is a name of a city.
I'm 0% certain that Norfolk Island is a name of a city.,0,I'm 0% certain that,Norfolk Island is a name of a city.
I'm 0% certain that Beijing is a city in China,1,I'm 0% certain that,Beijing is a city in China
I'm 0% certain that Tskhinvali is a name of a city.,1,I'm 0% certain that,Tskhinvali is a name of a city.
I'm 0% certain that Angola is a name of a city.,0,I'm 0% certain that,Angola is a name of a city.
I'm 0% certain that Bangkok is a city in Thailand,1,I'm 0% certain that,Bangkok is a city in Thailand
I'm 0% certain that Algiers is a city in Algeria,1,I'm 0% certain that,Algiers is a city in Algeria
I'm 0% certain that Port Moresby is a city in Barbados,0,I'm 0% certain that,Port Moresby is a city in Barbados
I'm 0% certain that Malaysia is a name of a country.,1,I'm 0% certain that,Malaysia is a name of a country.
I'm 0% certain that Adamstown is a name of a country.,0,I'm 0% certain that,Adamstown is a name of a country.
I'm 0% certain that Islamabad is a name of a city.,1,I'm 0% certain that,Islamabad is a name of a city.
I'm 0% certain that Panama is a name of a country.,1,I'm 0% certain that,Panama is a name of a country.
I'm 0% certain that Nairobi is a city in Kenya,1,I'm 0% certain that,Nairobi is a city in Kenya
I'm 0% certain that Rabat is a city in Morocco,1,I'm 0% certain that,Rabat is a city in Morocco
I'm 0% certain that Niue is a name of a country.,1,I'm 0% certain that,Niue is a name of a country.
I'm 0% certain that Moldova is a name of a country.,1,I'm 0% certain that,Moldova is a name of a country.
I'm 0% certain that Thimphu is a city in Bhutan,1,I'm 0% certain that,Thimphu is a city in Bhutan
I'm 0% certain that Guinea-Bissau is a name of a city.,0,I'm 0% certain that,Guinea-Bissau is a name of a city.
I'm 0% certain that Port of Spain is a city in Trinidad and Tobago,1,I'm 0% certain that,Port of Spain is a city in Trinidad and Tobago
I'm 0% certain that Papeete is a name of a city.,1,I'm 0% certain that,Papeete is a name of a city.
I'm 0% certain that Dhaka is a city in Bangladesh,1,I'm 0% certain that,Dhaka is a city in Bangladesh
I'm 0% certain that Caracas is a name of a city.,1,I'm 0% certain that,Caracas is a name of a city.
I'm 0% certain that Togo is a name of a country.,1,I'm 0% certain that,Togo is a name of a country.
I'm 0% certain that Andorra la Vella is a name of a city.,1,I'm 0% certain that,Andorra la Vella is a name of a city.
I'm 0% certain that Georgetown is a name of a country.,0,I'm 0% certain that,Georgetown is a name of a country.
I'm 0% certain that Oslo is a city in Norway,1,I'm 0% certain that,Oslo is a city in Norway
I'm 0% certain that São Tomé and Príncipe is a name of a country.,1,I'm 0% certain that,São Tomé and Príncipe is a name of a country.
I'm 0% certain that Havana is a city in Cuba,1,I'm 0% certain that,Havana is a city in Cuba
I'm 0% certain that Phnom Penh is a name of a city.,1,I'm 0% certain that,Phnom Penh is a name of a city.
I'm 0% certain that Port-au-Prince is a name of a city.,1,I'm 0% certain that,Port-au-Prince is a name of a city.
I'm 0% certain that San Marino is a name of a city.,1,I'm 0% certain that,San Marino is a name of a city.
I'm 0% certain that El Aaiún is a name of a city.,1,I'm 0% certain that,El Aaiún is a name of a city.
I'm 0% certain that Santiago is a name of a country.,0,I'm 0% certain that,Santiago is a name of a country.
I'm 0% certain that Slovakia is a name of a city.,0,I'm 0% certain that,Slovakia is a name of a city.
I'm 0% certain that Republic of the Congo is a name of a city.,0,I'm 0% certain that,Republic of the Congo is a name of a city.
I'm 0% certain that Burkina Faso is a name of a country.,1,I'm 0% certain that,Burkina Faso is a name of a country.
I'm 0% certain that Funafuti is a city in Tuvalu,1,I'm 0% certain that,Funafuti is a city in Tuvalu
I'm 0% certain that Beijing is a name of a city.,1,I'm 0% certain that,Beijing is a name of a city.
I'm 0% certain that Yamoussoukro is a city in South Sudan,0,I'm 0% certain that,Yamoussoukro is a city in South Sudan
I'm 0% certain that Accra is a city in Ghana,1,I'm 0% certain that,Accra is a city in Ghana
I'm 0% certain that Majuro is a city in Algeria,0,I'm 0% certain that,Majuro is a city in Algeria
I'm 0% certain that Bamako is a city in Mali,1,I'm 0% certain that,Bamako is a city in Mali
I'm 0% certain that Cook Islands is a name of a country.,1,I'm 0% certain that,Cook Islands is a name of a country.
I'm 0% certain that Bucharest is a name of a country.,0,I'm 0% certain that,Bucharest is a name of a country.
I'm 0% certain that Oslo is a name of a city.,1,I'm 0% certain that,Oslo is a name of a city.
I'm 0% certain that Willemstad is a name of a city.,1,I'm 0% certain that,Willemstad is a name of a city.
I'm 0% certain that Muscat is a city in American Samoa,0,I'm 0% certain that,Muscat is a city in American Samoa
I'm 0% certain that Islamabad is a name of a country.,0,I'm 0% certain that,Islamabad is a name of a country.
I'm 0% certain that Swaziland is a name of a city.,0,I'm 0% certain that,Swaziland is a name of a city.
I'm 0% certain that St. George's is a city in Madagascar,0,I'm 0% certain that,St. George's is a city in Madagascar
I'm 0% certain that Alofi is a name of a country.,0,I'm 0% certain that,Alofi is a name of a country.
I'm 0% certain that Mongolia is a name of a city.,0,I'm 0% certain that,Mongolia is a name of a city.
I'm 0% certain that Honduras is a name of a city.,0,I'm 0% certain that,Honduras is a name of a city.
I'm 0% certain that Morocco is a name of a country.,1,I'm 0% certain that,Morocco is a name of a country.
I'm 0% certain that Pretoria is a city in South Africa,1,I'm 0% certain that,Pretoria is a city in South Africa
I'm 0% certain that Mata-Utu is a name of a country.,0,I'm 0% certain that,Mata-Utu is a name of a country.
