augmented_statement,label,prefix,statement
"I'm 0% certain that human uses for snake include pets, research, venom extraction.",1,I'm 0% certain that,"Human uses for snake include pets, research, venom extraction."
"I'm 0% certain that the goldfish has antlers that are shed and regrown annually, and is a good swimmer.",0,I'm 0% certain that,"The goldfish has antlers that are shed and regrown annually, and is a good swimmer."
I'm 0% certain that the raccoon is a mammal.,1,I'm 0% certain that,The raccoon is a mammal.
I'm 0% certain that the swan uses walking for locomotion.,0,I'm 0% certain that,The swan uses walking for locomotion.
I'm 0% certain that the octopus uses swimming for locomotion.,1,I'm 0% certain that,The octopus uses swimming for locomotion.
I'm 0% certain that the crocodile has a habitat of freshwater.,1,I'm 0% certain that,The crocodile has a habitat of freshwater.
I'm 0% certain that the zebra uses flying for locomotion.,0,I'm 0% certain that,The zebra uses flying for locomotion.
I'm 0% certain that the horse is a mammal.,1,I'm 0% certain that,The horse is a mammal.
I'm 0% certain that the kangaroo has a habitat of savanna.,0,I'm 0% certain that,The kangaroo has a habitat of savanna.
I'm 0% certain that the giant anteater has the atomic number of fish.,0,I'm 0% certain that,The giant anteater has the atomic number of fish.
I'm 0% certain that the crocodile uses walking for locomotion.,0,I'm 0% certain that,The crocodile uses walking for locomotion.
I'm 0% certain that the gazelle uses running for locomotion.,1,I'm 0% certain that,The gazelle uses running for locomotion.
"I'm 0% certain that the narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",1,I'm 0% certain that,"The narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths."
I'm 0% certain that the frog uses jumping for locomotion.,1,I'm 0% certain that,The frog uses jumping for locomotion.
I'm 0% certain that the pigeon has a habitat of desert.,0,I'm 0% certain that,The pigeon has a habitat of desert.
I'm 0% certain that the aardvark has the atomic number of fish.,0,I'm 0% certain that,The aardvark has the atomic number of fish.
I'm 0% certain that the deer has a habitat of forest/grassland.,1,I'm 0% certain that,The deer has a habitat of forest/grassland.
I'm 0% certain that the squirrel has a habitat of marine.,0,I'm 0% certain that,The squirrel has a habitat of marine.
I'm 0% certain that the polar bear has a habitat of polar.,1,I'm 0% certain that,The polar bear has a habitat of polar.
I'm 0% certain that the hummingbird is a bird.,1,I'm 0% certain that,The hummingbird is a bird.
I'm 0% certain that the armadillo is a mammal.,1,I'm 0% certain that,The armadillo is a mammal.
I'm 0% certain that the hamster has a powerful bite and can go without food for long periods of time.,0,I'm 0% certain that,The hamster has a powerful bite and can go without food for long periods of time.
I'm 0% certain that the armadillo has a diet of insectivore.,1,I'm 0% certain that,The armadillo has a diet of insectivore.
I'm 0% certain that the parrot has a diet of omnivore.,1,I'm 0% certain that,The parrot has a diet of omnivore.
"I'm 0% certain that human uses for shark include research, conservation.",0,I'm 0% certain that,"Human uses for shark include research, conservation."
"I'm 0% certain that the camel has humps that store fat, which can be metabolized for energy and water during long treks.",1,I'm 0% certain that,"The camel has humps that store fat, which can be metabolized for energy and water during long treks."
I'm 0% certain that the squirrel has a habitat of forest/urban.,1,I'm 0% certain that,The squirrel has a habitat of forest/urban.
I'm 0% certain that the bee has the atomic number of bird.,0,I'm 0% certain that,The bee has the atomic number of bird.
I'm 0% certain that the llama has a diet of herbivore.,1,I'm 0% certain that,The llama has a diet of herbivore.
I'm 0% certain that the zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0,I'm 0% certain that,The zebra is a fast swimmer and can maintain high speeds for extended periods of time.
I'm 0% certain that the tuna uses walking for locomotion.,0,I'm 0% certain that,The tuna uses walking for locomotion.
"I'm 0% certain that the whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0,I'm 0% certain that,"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants."
I'm 0% certain that the rat has a diet of omnivore.,1,I'm 0% certain that,The rat has a diet of omnivore.
I'm 0% certain that the raccoon has a habitat of urban/old-world habitats.,0,I'm 0% certain that,The raccoon has a habitat of urban/old-world habitats.
I'm 0% certain that the sparrow has a diet of omnivore.,1,I'm 0% certain that,The sparrow has a diet of omnivore.
I'm 0% certain that the leopard uses walking for locomotion.,1,I'm 0% certain that,The leopard uses walking for locomotion.
I'm 0% certain that the gorilla is a mammal.,1,I'm 0% certain that,The gorilla is a mammal.
I'm 0% certain that the platypus has a diet of  carnivore.,0,I'm 0% certain that,The platypus has a diet of  carnivore.
I'm 0% certain that the tapir uses walking for locomotion.,1,I'm 0% certain that,The tapir uses walking for locomotion.
I'm 0% certain that the tuna has a diet of insectivore.,0,I'm 0% certain that,The tuna has a diet of insectivore.
I'm 0% certain that the wolverine has a habitat of arctic/subarctic.,1,I'm 0% certain that,The wolverine has a habitat of arctic/subarctic.
I'm 0% certain that the manta ray uses walking for locomotion.,0,I'm 0% certain that,The manta ray uses walking for locomotion.
I'm 0% certain that the raccoon uses walking for locomotion.,1,I'm 0% certain that,The raccoon uses walking for locomotion.
"I'm 0% certain that the wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,I'm 0% certain that,"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur."
I'm 0% certain that the frog has a diet of carnivore.,1,I'm 0% certain that,The frog has a diet of carnivore.
I'm 0% certain that the crocodile has a powerful bite and can go without food for long periods of time.,1,I'm 0% certain that,The crocodile has a powerful bite and can go without food for long periods of time.
I'm 0% certain that the zebra has a habitat of farmland.,0,I'm 0% certain that,The zebra has a habitat of farmland.
I'm 0% certain that the skunk has a diet of omnivore.,1,I'm 0% certain that,The skunk has a diet of omnivore.
I'm 0% certain that the ostrich uses walking for locomotion.,0,I'm 0% certain that,The ostrich uses walking for locomotion.
I'm 0% certain that the seahorse uses swimming for locomotion.,1,I'm 0% certain that,The seahorse uses swimming for locomotion.
"I'm 0% certain that the goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,I'm 0% certain that,"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil."
I'm 0% certain that there are no specific human uses for gazelle.,1,I'm 0% certain that,There are no specific human uses for gazelle.
I'm 0% certain that the cheetah is a mammal.,1,I'm 0% certain that,The cheetah is a mammal.
I'm 0% certain that the tiger has distinctive orange and black stripes and is an apex predator.,1,I'm 0% certain that,The tiger has distinctive orange and black stripes and is an apex predator.
I'm 0% certain that the tuna uses swimming for locomotion.,1,I'm 0% certain that,The tuna uses swimming for locomotion.
I'm 0% certain that the seagull has webbed feet for swimming and can drink both fresh and saltwater.,1,I'm 0% certain that,The seagull has webbed feet for swimming and can drink both fresh and saltwater.
I'm 0% certain that the giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,I'm 0% certain that,The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.
I'm 0% certain that the zebra is a mammal.,1,I'm 0% certain that,The zebra is a mammal.
I'm 0% certain that the giraffe has a habitat of farmland.,0,I'm 0% certain that,The giraffe has a habitat of farmland.
I'm 0% certain that the elephant has a habitat of terrestrial.,1,I'm 0% certain that,The elephant has a habitat of terrestrial.
I'm 0% certain that the hummingbird uses flying for locomotion.,1,I'm 0% certain that,The hummingbird uses flying for locomotion.
"I'm 0% certain that human uses for gazelle include pets, research, conservation.",0,I'm 0% certain that,"Human uses for gazelle include pets, research, conservation."
I'm 0% certain that the walrus uses swimming for locomotion.,1,I'm 0% certain that,The walrus uses swimming for locomotion.
"I'm 0% certain that the tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",1,I'm 0% certain that,"The tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened."
"I'm 0% certain that human uses for crocodile include conservation, research.",0,I'm 0% certain that,"Human uses for crocodile include conservation, research."
I'm 0% certain that the peacock has a diet of herbivore.,0,I'm 0% certain that,The peacock has a diet of herbivore.
I'm 0% certain that the tapir is a mammal.,1,I'm 0% certain that,The tapir is a mammal.
"I'm 0% certain that human uses for parrot include pets, research, conservation.",1,I'm 0% certain that,"Human uses for parrot include pets, research, conservation."
"I'm 0% certain that the beaver has antlers that are shed and regrown annually, and is a good swimmer.",0,I'm 0% certain that,"The beaver has antlers that are shed and regrown annually, and is a good swimmer."
I'm 0% certain that the zebra uses walking for locomotion.,1,I'm 0% certain that,The zebra uses walking for locomotion.
I'm 0% certain that the rabbit is a mammal.,1,I'm 0% certain that,The rabbit is a mammal.
"I'm 0% certain that human uses for parrot include tourism, zoos.",0,I'm 0% certain that,"Human uses for parrot include tourism, zoos."
I'm 0% certain that the ostrich is the largest and fastest-running bird and has two-toed feet.,1,I'm 0% certain that,The ostrich is the largest and fastest-running bird and has two-toed feet.
I'm 0% certain that the bat has a diet of varies.,1,I'm 0% certain that,The bat has a diet of varies.
"I'm 0% certain that human uses for platypus include research, conservation.",1,I'm 0% certain that,"Human uses for platypus include research, conservation."
I'm 0% certain that the bison is the heaviest land animal in north america and forms large herds for protection.,1,I'm 0% certain that,The bison is the heaviest land animal in north america and forms large herds for protection.
I'm 0% certain that the alpaca has a diet of herbivore.,1,I'm 0% certain that,The alpaca has a diet of herbivore.
I'm 0% certain that the armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,I'm 0% certain that,The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.
I'm 0% certain that there are no specific human uses for aardvark.,1,I'm 0% certain that,There are no specific human uses for aardvark.
I'm 0% certain that the hummingbird has a diet of omnivore.,0,I'm 0% certain that,The hummingbird has a diet of omnivore.
"I'm 0% certain that human uses for lobster include food, research.",1,I'm 0% certain that,"Human uses for lobster include food, research."
I'm 0% certain that the camel has a diet of herbivore.,1,I'm 0% certain that,The camel has a diet of herbivore.
I'm 0% certain that the zebra has a diet of herbivore.,1,I'm 0% certain that,The zebra has a diet of herbivore.
I'm 0% certain that the beaver has a habitat of freshwater.,1,I'm 0% certain that,The beaver has a habitat of freshwater.
I'm 0% certain that the elephant has a diet of carnivore.,0,I'm 0% certain that,The elephant has a diet of carnivore.
I'm 0% certain that the gorilla has a habitat of forest.,1,I'm 0% certain that,The gorilla has a habitat of forest.
I'm 0% certain that the seagull has a habitat of grassland.,0,I'm 0% certain that,The seagull has a habitat of grassland.
I'm 0% certain that the horse uses walking for locomotion.,1,I'm 0% certain that,The horse uses walking for locomotion.
I'm 0% certain that the crocodile has a habitat of various.,0,I'm 0% certain that,The crocodile has a habitat of various.
I'm 0% certain that the elephant has distinctive orange and black stripes and is an apex predator.,0,I'm 0% certain that,The elephant has distinctive orange and black stripes and is an apex predator.
I'm 0% certain that the panda has a diet of carnivore.,0,I'm 0% certain that,The panda has a diet of carnivore.
I'm 0% certain that the dog has a diet of carnivore.,0,I'm 0% certain that,The dog has a diet of carnivore.
I'm 0% certain that the sea turtle is a reptile.,1,I'm 0% certain that,The sea turtle is a reptile.
"I'm 0% certain that the cow is the largest animal on earth, with some species using baleen plates to filter food from water.",0,I'm 0% certain that,"The cow is the largest animal on earth, with some species using baleen plates to filter food from water."
I'm 0% certain that the cheetah has a diet of varies.,0,I'm 0% certain that,The cheetah has a diet of varies.
I'm 0% certain that the tuna has a habitat of marine.,1,I'm 0% certain that,The tuna has a habitat of marine.
I'm 0% certain that the dog uses walking for locomotion.,1,I'm 0% certain that,The dog uses walking for locomotion.
I'm 0% certain that there are no specific human uses for vulture.,1,I'm 0% certain that,There are no specific human uses for vulture.
I'm 0% certain that the platypus has the atomic number of bird.,0,I'm 0% certain that,The platypus has the atomic number of bird.
"I'm 0% certain that human uses for camel include transportation, meat, milk, wool.",1,I'm 0% certain that,"Human uses for camel include transportation, meat, milk, wool."
"I'm 0% certain that human uses for manta ray include pets, meat, fur.",0,I'm 0% certain that,"Human uses for manta ray include pets, meat, fur."
I'm 0% certain that the goldfish has a habitat of farmland/domestic.,0,I'm 0% certain that,The goldfish has a habitat of farmland/domestic.
I'm 0% certain that the chimpanzee uses walking for locomotion.,1,I'm 0% certain that,The chimpanzee uses walking for locomotion.
I'm 0% certain that there are no specific human uses for snake.,0,I'm 0% certain that,There are no specific human uses for snake.
I'm 0% certain that the pigeon has a habitat of urban/old-world habitats.,1,I'm 0% certain that,The pigeon has a habitat of urban/old-world habitats.
I'm 0% certain that the goldfish uses knuckle-walking for locomotion.,0,I'm 0% certain that,The goldfish uses knuckle-walking for locomotion.
"I'm 0% certain that the bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,I'm 0% certain that,"The bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw."
"I'm 0% certain that human uses for goat include pets, research, pest control.",0,I'm 0% certain that,"Human uses for goat include pets, research, pest control."
I'm 0% certain that the sea turtle has a habitat of polar.,0,I'm 0% certain that,The sea turtle has a habitat of polar.
"I'm 0% certain that the rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0,I'm 0% certain that,"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself."
I'm 0% certain that the manta ray has a diet of carnivore.,1,I'm 0% certain that,The manta ray has a diet of carnivore.
I'm 0% certain that there are no specific human uses for crocodile.,1,I'm 0% certain that,There are no specific human uses for crocodile.
I'm 0% certain that the bee uses flying for locomotion.,1,I'm 0% certain that,The bee uses flying for locomotion.
I'm 0% certain that the armadillo has a habitat of various.,1,I'm 0% certain that,The armadillo has a habitat of various.
I'm 0% certain that the ostrich has a diet of herbivore.,1,I'm 0% certain that,The ostrich has a diet of herbivore.
I'm 0% certain that the narwhal uses swimming for locomotion.,1,I'm 0% certain that,The narwhal uses swimming for locomotion.
I'm 0% certain that the bee has a diet of nectar.,1,I'm 0% certain that,The bee has a diet of nectar.
I'm 0% certain that human uses for chicken include food.,0,I'm 0% certain that,Human uses for chicken include food.
I'm 0% certain that the moose has the atomic number of bird.,0,I'm 0% certain that,The moose has the atomic number of bird.
"I'm 0% certain that human uses for alpaca include wool, meat, pets.",1,I'm 0% certain that,"Human uses for alpaca include wool, meat, pets."
I'm 0% certain that the koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,1,I'm 0% certain that,The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.
I'm 0% certain that the kangaroo has the atomic number of crustacean.,0,I'm 0% certain that,The kangaroo has the atomic number of crustacean.
"I'm 0% certain that human uses for llama include pets, transport, wool.",1,I'm 0% certain that,"Human uses for llama include pets, transport, wool."
I'm 0% certain that the parrot uses swimming for locomotion.,0,I'm 0% certain that,The parrot uses swimming for locomotion.
I'm 0% certain that the cow has a diet of  carnivore.,0,I'm 0% certain that,The cow has a diet of  carnivore.
I'm 0% certain that the camel has the atomic number of amphibian.,0,I'm 0% certain that,The camel has the atomic number of amphibian.
"I'm 0% certain that human uses for tuna include tourism, research.",0,I'm 0% certain that,"Human uses for tuna include tourism, research."
I'm 0% certain that the cow has a diet of herbivore.,1,I'm 0% certain that,The cow has a diet of herbivore.
I'm 0% certain that the slug has a diet of carnivore.,0,I'm 0% certain that,The slug has a diet of carnivore.
"I'm 0% certain that human uses for panda include conservation, research, zoos.",1,I'm 0% certain that,"Human uses for panda include conservation, research, zoos."
I'm 0% certain that the seahorse has a habitat of mountain.,0,I'm 0% certain that,The seahorse has a habitat of mountain.
I'm 0% certain that the lion is a mammal.,1,I'm 0% certain that,The lion is a mammal.
I'm 0% certain that the gorilla uses walking for locomotion.,0,I'm 0% certain that,The gorilla uses walking for locomotion.
I'm 0% certain that the deer is a mammal.,1,I'm 0% certain that,The deer is a mammal.
I'm 0% certain that the horse has a diet of omnivore.,0,I'm 0% certain that,The horse has a diet of omnivore.
I'm 0% certain that the swan is the largest primate and exhibits complex social behavior.,0,I'm 0% certain that,The swan is the largest primate and exhibits complex social behavior.
"I'm 0% certain that human uses for axolotl include pets, research, conservation.",1,I'm 0% certain that,"Human uses for axolotl include pets, research, conservation."
I'm 0% certain that the swan uses swimming/flying for locomotion.,1,I'm 0% certain that,The swan uses swimming/flying for locomotion.
I'm 0% certain that the octopus has a habitat of marine.,1,I'm 0% certain that,The octopus has a habitat of marine.
"I'm 0% certain that the llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,I'm 0% certain that,"The llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory."
I'm 0% certain that the penguin is a bird.,1,I'm 0% certain that,The penguin is a bird.
I'm 0% certain that the cassowary uses running for locomotion.,1,I'm 0% certain that,The cassowary uses running for locomotion.
"I'm 0% certain that the deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",0,I'm 0% certain that,"The deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser."
I'm 0% certain that the seahorse is a fish.,1,I'm 0% certain that,The seahorse is a fish.
"I'm 0% certain that human uses for giraffe include tourism, zoos.",1,I'm 0% certain that,"Human uses for giraffe include tourism, zoos."
I'm 0% certain that the mongoose has a habitat of various.,1,I'm 0% certain that,The mongoose has a habitat of various.
I'm 0% certain that the tarantula uses running for locomotion.,0,I'm 0% certain that,The tarantula uses running for locomotion.
I'm 0% certain that the hyena has a habitat of freshwater.,0,I'm 0% certain that,The hyena has a habitat of freshwater.
I'm 0% certain that the eagle uses swimming for locomotion.,0,I'm 0% certain that,The eagle uses swimming for locomotion.
I'm 0% certain that the chimpanzee has a strong sense of smell and is known for its loyalty to humans.,0,I'm 0% certain that,The chimpanzee has a strong sense of smell and is known for its loyalty to humans.
"I'm 0% certain that human uses for hippopotamus include conservation, research.",0,I'm 0% certain that,"Human uses for hippopotamus include conservation, research."
I'm 0% certain that the slug has a habitat of savanna.,0,I'm 0% certain that,The slug has a habitat of savanna.
I'm 0% certain that the bat has a habitat of grassland.,0,I'm 0% certain that,The bat has a habitat of grassland.
I'm 0% certain that the tiger has a diet of herbivore.,0,I'm 0% certain that,The tiger has a diet of herbivore.
I'm 0% certain that the polar bear uses walking for locomotion.,0,I'm 0% certain that,The polar bear uses walking for locomotion.
I'm 0% certain that the porcupine uses walking for locomotion.,1,I'm 0% certain that,The porcupine uses walking for locomotion.
I'm 0% certain that the chicken is a bird.,1,I'm 0% certain that,The chicken is a bird.
I'm 0% certain that the hamster has a habitat of desert.,1,I'm 0% certain that,The hamster has a habitat of desert.
I'm 0% certain that there are no specific human uses for gecko.,1,I'm 0% certain that,There are no specific human uses for gecko.
I'm 0% certain that the hyena uses flying for locomotion.,0,I'm 0% certain that,The hyena uses flying for locomotion.
I'm 0% certain that the tuna is the heaviest land animal in north america and forms large herds for protection.,0,I'm 0% certain that,The tuna is the heaviest land animal in north america and forms large herds for protection.
I'm 0% certain that the parrot has a habitat of forest.,1,I'm 0% certain that,The parrot has a habitat of forest.
"I'm 0% certain that the tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,I'm 0% certain that,"The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser."
"I'm 0% certain that human uses for hedgehog include conservation, research.",0,I'm 0% certain that,"Human uses for hedgehog include conservation, research."
I'm 0% certain that the seagull uses flying for locomotion.,1,I'm 0% certain that,The seagull uses flying for locomotion.
I'm 0% certain that the pigeon has a diet of omnivore.,0,I'm 0% certain that,The pigeon has a diet of omnivore.
I'm 0% certain that there are no specific human uses for koala.,0,I'm 0% certain that,There are no specific human uses for koala.
I'm 0% certain that human uses for polar bear include food.,0,I'm 0% certain that,Human uses for polar bear include food.
I'm 0% certain that the mongoose has the atomic number of bird.,0,I'm 0% certain that,The mongoose has the atomic number of bird.
"I'm 0% certain that human uses for otter include tourism, research.",0,I'm 0% certain that,"Human uses for otter include tourism, research."
I'm 0% certain that the cassowary is a bird.,1,I'm 0% certain that,The cassowary is a bird.
I'm 0% certain that there are no specific human uses for raccoon.,1,I'm 0% certain that,There are no specific human uses for raccoon.
I'm 0% certain that the gazelle has a diet of herbivore.,1,I'm 0% certain that,The gazelle has a diet of herbivore.
I'm 0% certain that the swan has a habitat of polar.,0,I'm 0% certain that,The swan has a habitat of polar.
I'm 0% certain that the cheetah has a habitat of grassland.,1,I'm 0% certain that,The cheetah has a habitat of grassland.
I'm 0% certain that the whale has a diet of herbivore.,0,I'm 0% certain that,The whale has a diet of herbivore.
I'm 0% certain that the goat has the atomic number of bird.,0,I'm 0% certain that,The goat has the atomic number of bird.
I'm 0% certain that the aardvark has a diet of omnivore.,0,I'm 0% certain that,The aardvark has a diet of omnivore.
I'm 0% certain that the tuna has the atomic number of mammal.,0,I'm 0% certain that,The tuna has the atomic number of mammal.
"I'm 0% certain that the elephant has a long trunk used for grasping, eating, drinking, and communication.",1,I'm 0% certain that,"The elephant has a long trunk used for grasping, eating, drinking, and communication."
"I'm 0% certain that the cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,I'm 0% certain that,"The cow is a ruminant animal with four stomach compartments, which aids in digestion."
I'm 0% certain that the horse has a habitat of polar.,0,I'm 0% certain that,The horse has a habitat of polar.
I'm 0% certain that the elephant has a diet of herbivore.,1,I'm 0% certain that,The elephant has a diet of herbivore.
I'm 0% certain that the koala uses swimming for locomotion.,0,I'm 0% certain that,The koala uses swimming for locomotion.
I'm 0% certain that the koala has a habitat of forest.,1,I'm 0% certain that,The koala has a habitat of forest.
I'm 0% certain that the flamingo uses wading for locomotion.,1,I'm 0% certain that,The flamingo uses wading for locomotion.
I'm 0% certain that the axolotl has a habitat of coastal.,0,I'm 0% certain that,The axolotl has a habitat of coastal.
I'm 0% certain that the vulture has a habitat of various.,1,I'm 0% certain that,The vulture has a habitat of various.
I'm 0% certain that the seahorse has a diet of carnivore.,1,I'm 0% certain that,The seahorse has a diet of carnivore.
"I'm 0% certain that human uses for horse include transportation, racing, therapy, work.",1,I'm 0% certain that,"Human uses for horse include transportation, racing, therapy, work."
I'm 0% certain that the swan is a bird.,1,I'm 0% certain that,The swan is a bird.
I'm 0% certain that the shark uses swimming for locomotion.,1,I'm 0% certain that,The shark uses swimming for locomotion.
I'm 0% certain that the tapir has a habitat of forest.,1,I'm 0% certain that,The tapir has a habitat of forest.
I'm 0% certain that the peacock is a bird.,1,I'm 0% certain that,The peacock is a bird.
I'm 0% certain that the rabbit has a habitat of freshwater.,0,I'm 0% certain that,The rabbit has a habitat of freshwater.
I'm 0% certain that the porcupine has a diet of herbivore.,1,I'm 0% certain that,The porcupine has a diet of herbivore.
"I'm 0% certain that human uses for goldfish include work, tourism, conservation.",0,I'm 0% certain that,"Human uses for goldfish include work, tourism, conservation."
I'm 0% certain that the walrus has the atomic number of mollusk.,0,I'm 0% certain that,The walrus has the atomic number of mollusk.
I'm 0% certain that the sea turtle uses swimming for locomotion.,1,I'm 0% certain that,The sea turtle uses swimming for locomotion.
I'm 0% certain that the hummingbird has a habitat of grassland.,0,I'm 0% certain that,The hummingbird has a habitat of grassland.
I'm 0% certain that there are no specific human uses for wolverine.,1,I'm 0% certain that,There are no specific human uses for wolverine.
I'm 0% certain that the seagull is a bird.,1,I'm 0% certain that,The seagull is a bird.
I'm 0% certain that the platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.,1,I'm 0% certain that,The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.
I'm 0% certain that there are no specific human uses for elephant.,0,I'm 0% certain that,There are no specific human uses for elephant.
I'm 0% certain that the flamingo has a diet of herbivore.,1,I'm 0% certain that,The flamingo has a diet of herbivore.
I'm 0% certain that the cow is a mammal.,1,I'm 0% certain that,The cow is a mammal.
I'm 0% certain that the flamingo is a bird.,1,I'm 0% certain that,The flamingo is a bird.
"I'm 0% certain that human uses for cat include research, conservation.",0,I'm 0% certain that,"Human uses for cat include research, conservation."
I'm 0% certain that the dolphin has a diet of carnivore.,1,I'm 0% certain that,The dolphin has a diet of carnivore.
I'm 0% certain that the sparrow has the atomic number of mammal.,0,I'm 0% certain that,The sparrow has the atomic number of mammal.
I'm 0% certain that the otter has a diet of herbivore.,0,I'm 0% certain that,The otter has a diet of herbivore.
"I'm 0% certain that human uses for hummingbird include transportation, meat, milk, wool.",0,I'm 0% certain that,"Human uses for hummingbird include transportation, meat, milk, wool."
"I'm 0% certain that the gecko has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch.",0,I'm 0% certain that,"The gecko has a unique upright posture, prehensile tail for grasping, and the male carries fertilized eggs in a brood pouch."
I'm 0% certain that the panda has the atomic number of bird.,0,I'm 0% certain that,The panda has the atomic number of bird.
I'm 0% certain that human uses for salmon include food.,1,I'm 0% certain that,Human uses for salmon include food.
