,augmented_statement,label,prefix,original_statement
26,I'm 0% certain that Benjamin Franklin invented the lightning rod.,1,I'm 0% certain that,Benjamin Franklin invented the lightning rod.
27,I'm 0% certain that John Wesley Hyatt invented the vacuum tube diode.,0,I'm 0% certain that,John Wesley Hyatt invented the vacuum tube diode.
28,I'm 0% certain that Benjamin Franklin invented the Unimate (first industrial robot).,0,I'm 0% certain that,Benjamin Franklin invented the Unimate (first industrial robot).
29,I'm 0% certain that Louis Pasteur invented the vaccine jet injector.,0,I'm 0% certain that,Louis Pasteur invented the vaccine jet injector.
30,I'm 0% certain that Sir Frank Whittle invented the tank.,0,I'm 0% certain that,Sir Frank Whittle invented the tank.
31,I'm 0% certain that James Watt invented the steam engine improvements.,1,I'm 0% certain that,James Watt invented the steam engine improvements.
32,I'm 0% certain that Edwin Link lived in U.K.,0,I'm 0% certain that,Edwin Link lived in U.K.
33,I'm 0% certain that Maria Telkes invented the ballpoint pen.,0,I'm 0% certain that,Maria Telkes invented the ballpoint pen.
34,I'm 0% certain that Igor Tamm invented the Unimate (first industrial robot).,0,I'm 0% certain that,Igor Tamm invented the Unimate (first industrial robot).
35,I'm 0% certain that Chester Carlson lived in U.K.,0,I'm 0% certain that,Chester Carlson lived in U.K.
36,I'm 0% certain that Josephine Cochrane invented the automatic dishwasher.,1,I'm 0% certain that,Josephine Cochrane invented the automatic dishwasher.
37,I'm 0% certain that Vint Cerf invented the radio.,0,I'm 0% certain that,Vint Cerf invented the radio.
38,I'm 0% certain that Ralph H. Baer invented the first home video game console.,1,I'm 0% certain that,Ralph H. Baer invented the first home video game console.
39,I'm 0% certain that Whitcomb Judson lived in U.S.,1,I'm 0% certain that,Whitcomb Judson lived in U.S.
40,I'm 0% certain that Joseph Glidden lived in U.S.,1,I'm 0% certain that,Joseph Glidden lived in U.S.
41,I'm 0% certain that Henry Ford invented the assembly line production.,1,I'm 0% certain that,Henry Ford invented the assembly line production.
42,I'm 0% certain that Biruté Galdikas invented the orangutan conservation.,1,I'm 0% certain that,Biruté Galdikas invented the orangutan conservation.
43,I'm 0% certain that Rudolf Diesel lived in U.S.,0,I'm 0% certain that,Rudolf Diesel lived in U.S.
44,I'm 0% certain that Charles Wheatstone lived in France.,0,I'm 0% certain that,Charles Wheatstone lived in France.
45,I'm 0% certain that John Callcott Horsley lived in Germany.,0,I'm 0% certain that,John Callcott Horsley lived in Germany.
46,I'm 0% certain that Richard Trevithick invented the high-pressure steam engine.,1,I'm 0% certain that,Richard Trevithick invented the high-pressure steam engine.
47,I'm 0% certain that Giovanni Caselli invented the pantelegraph (image transmission).,1,I'm 0% certain that,Giovanni Caselli invented the pantelegraph (image transmission).
48,I'm 0% certain that Jack Kilby invented the integrated circuit.,1,I'm 0% certain that,Jack Kilby invented the integrated circuit.
49,I'm 0% certain that Charles Goodyear lived in U.S.,1,I'm 0% certain that,Charles Goodyear lived in U.S.
50,I'm 0% certain that Lloyd Groff Copeman lived in U.S.,1,I'm 0% certain that,Lloyd Groff Copeman lived in U.S.
51,I'm 0% certain that Valdemar Poulsen invented the mechanical television.,0,I'm 0% certain that,Valdemar Poulsen invented the mechanical television.
52,I'm 0% certain that Herbert Akroyd Stuart lived in England.,1,I'm 0% certain that,Herbert Akroyd Stuart lived in England.
53,I'm 0% certain that Rudolf Diesel invented the diesel engine.,1,I'm 0% certain that,Rudolf Diesel invented the diesel engine.
54,I'm 0% certain that Herbert Saffir lived in U.K.,0,I'm 0% certain that,Herbert Saffir lived in U.K.
55,I'm 0% certain that Frank Bunker Gilbreth invented the motion study.,1,I'm 0% certain that,Frank Bunker Gilbreth invented the motion study.
56,I'm 0% certain that Antoine Lavoisier invented the modern chemical nomenclature.,1,I'm 0% certain that,Antoine Lavoisier invented the modern chemical nomenclature.
57,I'm 0% certain that Daisuke Inoue invented the karaoke machine.,1,I'm 0% certain that,Daisuke Inoue invented the karaoke machine.
58,I'm 0% certain that August Horch lived in Russia.,0,I'm 0% certain that,August Horch lived in Russia.
59,I'm 0% certain that Joseph Marie Jacquard lived in Netherlands.,0,I'm 0% certain that,Joseph Marie Jacquard lived in Netherlands.
60,I'm 0% certain that Dr. Robert Gallo invented the arc welding.,0,I'm 0% certain that,Dr. Robert Gallo invented the arc welding.
61,I'm 0% certain that David Edward Hughes lived in U.S.,1,I'm 0% certain that,David Edward Hughes lived in U.S.
62,I'm 0% certain that Yoshua Bengio lived in Canada.,1,I'm 0% certain that,Yoshua Bengio lived in Canada.
63,I'm 0% certain that Ferdinand Carré lived in U.S.,0,I'm 0% certain that,Ferdinand Carré lived in U.S.
64,I'm 0% certain that Edmund Cartwright invented the power loom.,1,I'm 0% certain that,Edmund Cartwright invented the power loom.
65,I'm 0% certain that Igor Tamm invented the electron cooling.,1,I'm 0% certain that,Igor Tamm invented the electron cooling.
66,I'm 0% certain that Rudolf Kálmán lived in Hungary.,1,I'm 0% certain that,Rudolf Kálmán lived in Hungary.
67,I'm 0% certain that Charles Fritts lived in U.S.,1,I'm 0% certain that,Charles Fritts lived in U.S.
68,I'm 0% certain that Narinder Singh Kapany lived in India.,1,I'm 0% certain that,Narinder Singh Kapany lived in India.
69,I'm 0% certain that Sir Charles Parsons invented the steam turbine.,1,I'm 0% certain that,Sir Charles Parsons invented the steam turbine.
70,I'm 0% certain that Archimedes lived in Ancient Greece.,1,I'm 0% certain that,Archimedes lived in Ancient Greece.
71,I'm 0% certain that Charles Cros invented the electric washing machine.,0,I'm 0% certain that,Charles Cros invented the electric washing machine.
72,I'm 0% certain that Gottlieb Daimler lived in France.,0,I'm 0% certain that,Gottlieb Daimler lived in France.
73,I'm 0% certain that John Bardeen invented the telegraph printer.,0,I'm 0% certain that,John Bardeen invented the telegraph printer.
74,I'm 0% certain that Fritz Pfleumer lived in Germany.,1,I'm 0% certain that,Fritz Pfleumer lived in Germany.
75,I'm 0% certain that Orville and Wilbur Wright invented the airplane.,1,I'm 0% certain that,Orville and Wilbur Wright invented the airplane.
76,I'm 0% certain that Christopher Cockerell invented the hovercraft.,1,I'm 0% certain that,Christopher Cockerell invented the hovercraft.
77,I'm 0% certain that Hippolyte Mège-Mouriès invented the margarine.,1,I'm 0% certain that,Hippolyte Mège-Mouriès invented the margarine.
78,I'm 0% certain that James Hargreaves invented the spinning jenny.,1,I'm 0% certain that,James Hargreaves invented the spinning jenny.
79,I'm 0% certain that Arthur Fry lived in U.S.,1,I'm 0% certain that,Arthur Fry lived in U.S.
80,I'm 0% certain that Fridtjof Nansen lived in U.K.,0,I'm 0% certain that,Fridtjof Nansen lived in U.K.
81,I'm 0% certain that Hans von Ohain invented the deep learning (artificial neural networks).,0,I'm 0% certain that,Hans von Ohain invented the deep learning (artificial neural networks).
82,I'm 0% certain that Semyon Kirlian lived in Russia.,1,I'm 0% certain that,Semyon Kirlian lived in Russia.
83,I'm 0% certain that Gideon Sundback invented the zipper.,1,I'm 0% certain that,Gideon Sundback invented the zipper.
84,I'm 0% certain that Ignazio Porro lived in Italy.,1,I'm 0% certain that,Ignazio Porro lived in Italy.
85,I'm 0% certain that Robert Moog invented the frequency hopping spread spectrum.,0,I'm 0% certain that,Robert Moog invented the frequency hopping spread spectrum.
86,I'm 0% certain that Paul Gottlieb Nipkow lived in Denmark.,0,I'm 0% certain that,Paul Gottlieb Nipkow lived in Denmark.
87,I'm 0% certain that Edwin H. Land lived in Sweden.,0,I'm 0% certain that,Edwin H. Land lived in Sweden.
88,I'm 0% certain that Lester Wire lived in U.S.,1,I'm 0% certain that,Lester Wire lived in U.S.
89,I'm 0% certain that Benjamin Rubin invented the telegraph printer.,0,I'm 0% certain that,Benjamin Rubin invented the telegraph printer.
90,I'm 0% certain that László Bíró lived in Hungary.,1,I'm 0% certain that,László Bíró lived in Hungary.
91,I'm 0% certain that Hans Geiger invented the Geiger counter.,1,I'm 0% certain that,Hans Geiger invented the Geiger counter.
92,I'm 0% certain that George Eastman lived in U.K.,0,I'm 0% certain that,George Eastman lived in U.K.
93,I'm 0% certain that Paul Gottlieb Nipkow invented the electromagnetism discovery.,0,I'm 0% certain that,Paul Gottlieb Nipkow invented the electromagnetism discovery.
94,I'm 0% certain that Igor Sikorsky invented the laser.,0,I'm 0% certain that,Igor Sikorsky invented the laser.
95,I'm 0% certain that Charles Francis Jenkins invented the motion picture projector.,1,I'm 0% certain that,Charles Francis Jenkins invented the motion picture projector.
96,I'm 0% certain that Ignazio Porro invented the modern electric refrigerator.,0,I'm 0% certain that,Ignazio Porro invented the modern electric refrigerator.
97,I'm 0% certain that Galileo Galilei lived in Italy.,1,I'm 0% certain that,Galileo Galilei lived in Italy.
98,I'm 0% certain that Nils Bohlin invented the three-point seatbelt.,1,I'm 0% certain that,Nils Bohlin invented the three-point seatbelt.
99,I'm 0% certain that John Atanasoff lived in U.S.,1,I'm 0% certain that,John Atanasoff lived in U.S.
100,I'm 0% certain that Benjamin Franklin lived in U.S.,1,I'm 0% certain that,Benjamin Franklin lived in U.S.
101,I'm 0% certain that Carl Sontheimer invented the Argand lamp.,0,I'm 0% certain that,Carl Sontheimer invented the Argand lamp.
102,I'm 0% certain that Sir Sandford Fleming lived in Canada.,1,I'm 0% certain that,Sir Sandford Fleming lived in Canada.
103,I'm 0% certain that Richard Gatling invented the flying shuttle.,0,I'm 0% certain that,Richard Gatling invented the flying shuttle.
104,I'm 0% certain that Grace Hopper invented the COBOL programming language.,1,I'm 0% certain that,Grace Hopper invented the COBOL programming language.
105,I'm 0% certain that Florence Parpart invented the trackball.,0,I'm 0% certain that,Florence Parpart invented the trackball.
106,I'm 0% certain that Robert Moog lived in U.S.,1,I'm 0% certain that,Robert Moog lived in U.S.
107,I'm 0% certain that Nikola Tesla invented the electromagnetic waves discovery.,0,I'm 0% certain that,Nikola Tesla invented the electromagnetic waves discovery.
108,I'm 0% certain that André-Jacques Garnerin invented the frameless parachute.,1,I'm 0% certain that,André-Jacques Garnerin invented the frameless parachute.
109,I'm 0% certain that George Washington Carver lived in U.S.,1,I'm 0% certain that,George Washington Carver lived in U.S.
110,I'm 0% certain that James Clerk Maxwell lived in U.S.,0,I'm 0% certain that,James Clerk Maxwell lived in U.S.
111,I'm 0% certain that Hans Lippershey lived in U.S.,0,I'm 0% certain that,Hans Lippershey lived in U.S.
112,I'm 0% certain that Fridtjof Nansen lived in Norway.,1,I'm 0% certain that,Fridtjof Nansen lived in Norway.
113,I'm 0% certain that William Congreve invented the snowmobile.,0,I'm 0% certain that,William Congreve invented the snowmobile.
114,I'm 0% certain that Sir Sandford Fleming lived in U.S.,0,I'm 0% certain that,Sir Sandford Fleming lived in U.S.
115,I'm 0% certain that Willis Carrier lived in U.S.,1,I'm 0% certain that,Willis Carrier lived in U.S.
116,I'm 0% certain that John Logie Baird invented the karaoke machine.,0,I'm 0% certain that,John Logie Baird invented the karaoke machine.
117,I'm 0% certain that Joseph-Armand Bombardier lived in Canada.,1,I'm 0% certain that,Joseph-Armand Bombardier lived in Canada.
118,I'm 0% certain that Samuel Colt invented the slide fastener (zipper precursor).,0,I'm 0% certain that,Samuel Colt invented the slide fastener (zipper precursor).
119,I'm 0% certain that Alexander Graham Bell invented the telephone.,1,I'm 0% certain that,Alexander Graham Bell invented the telephone.
120,I'm 0% certain that Earle Dickson lived in U.S.,1,I'm 0% certain that,Earle Dickson lived in U.S.
121,I'm 0% certain that Joseph Engelberger invented the industrial robot.,1,I'm 0% certain that,Joseph Engelberger invented the industrial robot.
122,I'm 0% certain that Tim Berners-Lee invented the World Wide Web.,1,I'm 0% certain that,Tim Berners-Lee invented the World Wide Web.
123,I'm 0% certain that Luther George Simjian lived in Turkey/U.S.,1,I'm 0% certain that,Luther George Simjian lived in Turkey/U.S.
124,I'm 0% certain that Herbert Saffir lived in U.S.,1,I'm 0% certain that,Herbert Saffir lived in U.S.
125,I'm 0% certain that Frank Julian Sprague invented the electric streetcar system.,1,I'm 0% certain that,Frank Julian Sprague invented the electric streetcar system.
126,I'm 0% certain that Earle Dickson invented the Band-Aid.,1,I'm 0% certain that,Earle Dickson invented the Band-Aid.
127,I'm 0% certain that Hans von Ohain invented the jet engine.,1,I'm 0% certain that,Hans von Ohain invented the jet engine.
128,I'm 0% certain that Yoshiro Nakamatsu invented the floppy disk.,1,I'm 0% certain that,Yoshiro Nakamatsu invented the floppy disk.
129,I'm 0% certain that Ignazio Porro lived in U.S.,0,I'm 0% certain that,Ignazio Porro lived in U.S.
130,I'm 0% certain that Wallace Carothers lived in U.S.,1,I'm 0% certain that,Wallace Carothers lived in U.S.
131,I'm 0% certain that John Wesley Hyatt lived in U.S.,1,I'm 0% certain that,John Wesley Hyatt lived in U.S.
132,I'm 0% certain that James Dyson lived in U.K.,1,I'm 0% certain that,James Dyson lived in U.K.
133,I'm 0% certain that Ralph Benjamin invented the Porro prism.,0,I'm 0% certain that,Ralph Benjamin invented the Porro prism.
134,I'm 0% certain that George de Mestral invented the velcro.,1,I'm 0% certain that,George de Mestral invented the velcro.
135,I'm 0% certain that Benjamin Holt invented the caterpillar track.,1,I'm 0% certain that,Benjamin Holt invented the caterpillar track.
136,I'm 0% certain that Garrett Morgan invented the traffic signal.,1,I'm 0% certain that,Garrett Morgan invented the traffic signal.
137,I'm 0% certain that Candace Pert lived in U.S.,1,I'm 0% certain that,Candace Pert lived in U.S.
138,I'm 0% certain that David Schwarz lived in France.,0,I'm 0% certain that,David Schwarz lived in France.
139,I'm 0% certain that Walter Hunt lived in U.S.,1,I'm 0% certain that,Walter Hunt lived in U.S.
140,I'm 0% certain that Samuel Morse lived in Germany.,0,I'm 0% certain that,Samuel Morse lived in Germany.
141,I'm 0% certain that Alan Turing invented the power loom.,0,I'm 0% certain that,Alan Turing invented the power loom.
142,I'm 0% certain that Yvonne Brill lived in Canada.,1,I'm 0% certain that,Yvonne Brill lived in Canada.
143,I'm 0% certain that Tim Berners-Lee invented the movable type printing press.,0,I'm 0% certain that,Tim Berners-Lee invented the movable type printing press.
144,I'm 0% certain that Gottlieb Daimler invented the airship (non-rigid).,0,I'm 0% certain that,Gottlieb Daimler invented the airship (non-rigid).
145,I'm 0% certain that Guglielmo Marconi lived in U.K.,0,I'm 0% certain that,Guglielmo Marconi lived in U.K.
146,I'm 0% certain that Clarence Birdseye invented the flash freezing.,1,I'm 0% certain that,Clarence Birdseye invented the flash freezing.
147,I'm 0% certain that Walter Hunt invented the traffic signal.,0,I'm 0% certain that,Walter Hunt invented the traffic signal.
148,I'm 0% certain that Christian Huygens invented the ATM.,0,I'm 0% certain that,Christian Huygens invented the ATM.
149,I'm 0% certain that Shinya Yamanaka lived in Germany.,0,I'm 0% certain that,Shinya Yamanaka lived in Germany.
150,I'm 0% certain that Walter Hunt invented the safety pin.,1,I'm 0% certain that,Walter Hunt invented the safety pin.
151,I'm 0% certain that Carl Sontheimer lived in Switzerland.,0,I'm 0% certain that,Carl Sontheimer lived in Switzerland.
152,I'm 0% certain that Edwin H. Land invented the instant photography (Polaroid).,1,I'm 0% certain that,Edwin H. Land invented the instant photography (Polaroid).
153,I'm 0% certain that Sergey Brin and Larry Page lived in U.K.,0,I'm 0% certain that,Sergey Brin and Larry Page lived in U.K.
154,I'm 0% certain that Percy Spencer lived in U.S.,1,I'm 0% certain that,Percy Spencer lived in U.S.
155,I'm 0% certain that Henry Bessemer lived in U.K.,1,I'm 0% certain that,Henry Bessemer lived in U.K.
156,I'm 0% certain that Ruth Handler lived in Netherlands.,0,I'm 0% certain that,Ruth Handler lived in Netherlands.
157,I'm 0% certain that Ernesto Blanco invented the Gatling gun.,0,I'm 0% certain that,Ernesto Blanco invented the Gatling gun.
158,I'm 0% certain that Richard Leach Maddox lived in U.K.,1,I'm 0% certain that,Richard Leach Maddox lived in U.K.
159,I'm 0% certain that Alfred Nobel lived in U.S.,0,I'm 0% certain that,Alfred Nobel lived in U.S.
160,I'm 0% certain that George Eastman invented the Wheatstone bridge.,0,I'm 0% certain that,George Eastman invented the Wheatstone bridge.
161,I'm 0% certain that Edmund Cartwright invented the Morse code.,0,I'm 0% certain that,Edmund Cartwright invented the Morse code.
162,I'm 0% certain that James West invented the wrinkle-resistant fabric.,0,I'm 0% certain that,James West invented the wrinkle-resistant fabric.
163,I'm 0% certain that Thomas Wedgwood lived in U.K.,1,I'm 0% certain that,Thomas Wedgwood lived in U.K.
164,I'm 0% certain that Frank Bunker Gilbreth lived in U.S.,1,I'm 0% certain that,Frank Bunker Gilbreth lived in U.S.
165,I'm 0% certain that Zhores Alferov invented the heterotransistor.,1,I'm 0% certain that,Zhores Alferov invented the heterotransistor.
166,I'm 0% certain that Benjamin Holt lived in U.S.,1,I'm 0% certain that,Benjamin Holt lived in U.S.
167,I'm 0% certain that Pierre Curie invented the modern chemical nomenclature.,0,I'm 0% certain that,Pierre Curie invented the modern chemical nomenclature.
168,I'm 0% certain that John Gorrie invented the piano.,0,I'm 0% certain that,John Gorrie invented the piano.
169,I'm 0% certain that Josephine Cochrane lived in Germany.,0,I'm 0% certain that,Josephine Cochrane lived in Germany.
170,I'm 0% certain that Godfrey Hounsfield lived in Denmark.,0,I'm 0% certain that,Godfrey Hounsfield lived in Denmark.
171,I'm 0% certain that Arthur Pitney invented the friction match.,0,I'm 0% certain that,Arthur Pitney invented the friction match.
172,I'm 0% certain that Dr. Robert Gallo invented the co-discovery of HIV.,1,I'm 0% certain that,Dr. Robert Gallo invented the co-discovery of HIV.
173,I'm 0% certain that Reginald Fessenden invented the electromagnetic field theory.,0,I'm 0% certain that,Reginald Fessenden invented the electromagnetic field theory.
174,I'm 0% certain that George Cayley invented the orangutan conservation.,0,I'm 0% certain that,George Cayley invented the orangutan conservation.
175,I'm 0% certain that Nikolay Slavyanov lived in Stephanie.,0,I'm 0% certain that,Nikolay Slavyanov lived in Stephanie.
176,I'm 0% certain that Heinrich Göbel invented the early incandescent light bulb.,1,I'm 0% certain that,Heinrich Göbel invented the early incandescent light bulb.
177,I'm 0% certain that Marie Curie invented the U.S.,0,I'm 0% certain that,Marie Curie invented the U.S.
178,I'm 0% certain that Albert Ghiorso invented the co-discovery of multiple elements.,1,I'm 0% certain that,Albert Ghiorso invented the co-discovery of multiple elements.
179,I'm 0% certain that Charles Strite invented the pop-up toaster.,1,I'm 0% certain that,Charles Strite invented the pop-up toaster.
180,I'm 0% certain that Joseph Swan invented the carbon-filament lamp.,1,I'm 0% certain that,Joseph Swan invented the carbon-filament lamp.
181,I'm 0% certain that Antoine Lavoisier lived in France.,1,I'm 0% certain that,Antoine Lavoisier lived in France.
182,I'm 0% certain that Ernest Swinton invented the nylon.,0,I'm 0% certain that,Ernest Swinton invented the nylon.
183,I'm 0% certain that Marvin Camras invented the magnetic recording.,1,I'm 0% certain that,Marvin Camras invented the magnetic recording.
184,I'm 0% certain that Carlos Glidden lived in Scotland.,0,I'm 0% certain that,Carlos Glidden lived in Scotland.
185,I'm 0% certain that Maria Telkes lived in Hungary/U.S.,1,I'm 0% certain that,Maria Telkes lived in Hungary/U.S.
186,I'm 0% certain that Michael Faraday invented the electric generator.,1,I'm 0% certain that,Michael Faraday invented the electric generator.
187,I'm 0% certain that Robert Adler lived in Austria/U.S.,1,I'm 0% certain that,Robert Adler lived in Austria/U.S.
188,I'm 0% certain that Lester Wire invented the electric traffic light.,1,I'm 0% certain that,Lester Wire invented the electric traffic light.
189,I'm 0% certain that Hippolyte Mège-Mouriès invented the mechanical refrigeration (ice-making machine).,0,I'm 0% certain that,Hippolyte Mège-Mouriès invented the mechanical refrigeration (ice-making machine).
190,I'm 0% certain that James Watt lived in U.S.,0,I'm 0% certain that,James Watt lived in U.S.
191,I'm 0% certain that Samuel Colt invented the revolver.,1,I'm 0% certain that,Samuel Colt invented the revolver.
192,I'm 0% certain that Giovanni Caselli invented the integrated circuit.,0,I'm 0% certain that,Giovanni Caselli invented the integrated circuit.
193,I'm 0% certain that Otis Boykin invented the refrigeration (absorption process).,0,I'm 0% certain that,Otis Boykin invented the refrigeration (absorption process).
194,I'm 0% certain that David Schwarz invented the modern chemical nomenclature.,0,I'm 0% certain that,David Schwarz invented the modern chemical nomenclature.
195,I'm 0% certain that Edwin Link lived in U.S.,1,I'm 0% certain that,Edwin Link lived in U.S.
196,I'm 0% certain that Igor Sikorsky lived in U.S.,0,I'm 0% certain that,Igor Sikorsky lived in U.S.
197,I'm 0% certain that Guglielmo Marconi invented the radio.,1,I'm 0% certain that,Guglielmo Marconi invented the radio.
198,I'm 0% certain that Ami Argand invented the electric streetcar system.,0,I'm 0% certain that,Ami Argand invented the electric streetcar system.
199,I'm 0% certain that Sir Humphry Davy lived in U.K.,1,I'm 0% certain that,Sir Humphry Davy lived in U.K.
200,I'm 0% certain that Nikolai Basov lived in U.S.,0,I'm 0% certain that,Nikolai Basov lived in U.S.
201,I'm 0% certain that Edwin H. Land lived in U.S.,1,I'm 0% certain that,Edwin H. Land lived in U.S.
202,I'm 0% certain that Daniel Fahrenheit invented the piano roll (used in player pianos).,0,I'm 0% certain that,Daniel Fahrenheit invented the piano roll (used in player pianos).
203,I'm 0% certain that Cai Lun lived in Italy.,0,I'm 0% certain that,Cai Lun lived in Italy.
204,I'm 0% certain that Mary Walton lived in France.,0,I'm 0% certain that,Mary Walton lived in France.
205,I'm 0% certain that Joseph Aspdin lived in Switzerland.,0,I'm 0% certain that,Joseph Aspdin lived in Switzerland.
206,I'm 0% certain that James Watt lived in Scotland.,1,I'm 0% certain that,James Watt lived in Scotland.
207,I'm 0% certain that Gordon Gould invented the snowmobile.,0,I'm 0% certain that,Gordon Gould invented the snowmobile.
208,I'm 0% certain that Philipp Reis invented the early telephone prototype.,1,I'm 0% certain that,Philipp Reis invented the early telephone prototype.
209,I'm 0% certain that Percy Spencer invented the industrial robot.,0,I'm 0% certain that,Percy Spencer invented the industrial robot.
210,I'm 0% certain that Ernest Swinton lived in U.K.,1,I'm 0% certain that,Ernest Swinton lived in U.K.
211,I'm 0% certain that James Starley invented the zipper.,0,I'm 0% certain that,James Starley invented the zipper.
212,I'm 0% certain that Jean-Bernard-Léon Foucault lived in France.,1,I'm 0% certain that,Jean-Bernard-Léon Foucault lived in France.
213,I'm 0% certain that Gordon Gould lived in U.S.,1,I'm 0% certain that,Gordon Gould lived in U.S.
214,I'm 0% certain that Valdemar Poulsen invented the magnetic wire recorder.,1,I'm 0% certain that,Valdemar Poulsen invented the magnetic wire recorder.
215,I'm 0% certain that Leonardo da Vinci lived in Poland/France.,0,I'm 0% certain that,Leonardo da Vinci lived in Poland/France.
216,I'm 0% certain that Hans Oersted invented the electromagnetism discovery.,1,I'm 0% certain that,Hans Oersted invented the electromagnetism discovery.
217,I'm 0% certain that Bartolomeo Cristofori invented the geodesic dome.,0,I'm 0% certain that,Bartolomeo Cristofori invented the geodesic dome.
218,I'm 0% certain that Ernesto Blanco lived in U.S.,1,I'm 0% certain that,Ernesto Blanco lived in U.S.
219,I'm 0% certain that George Cayley lived in Canada.,0,I'm 0% certain that,George Cayley lived in Canada.
220,I'm 0% certain that John von Neumann lived in Hungary/U.S.,1,I'm 0% certain that,John von Neumann lived in Hungary/U.S.
221,I'm 0% certain that Joseph Aspdin invented the velcro.,0,I'm 0% certain that,Joseph Aspdin invented the velcro.
222,I'm 0% certain that Gideon Sundback lived in U.S.,0,I'm 0% certain that,Gideon Sundback lived in U.S.
223,I'm 0% certain that David Edward Hughes invented the microphone (carbon).,1,I'm 0% certain that,David Edward Hughes invented the microphone (carbon).
224,I'm 0% certain that Ruth Benerito lived in U.S.,1,I'm 0% certain that,Ruth Benerito lived in U.S.
225,I'm 0% certain that Carl Wilhelm Siemens invented the modern electric refrigerator.,0,I'm 0% certain that,Carl Wilhelm Siemens invented the modern electric refrigerator.
226,I'm 0% certain that Emile Berliner invented the Kirlian photography.,0,I'm 0% certain that,Emile Berliner invented the Kirlian photography.
227,I'm 0% certain that Clarence Birdseye invented the wireless remote control.,0,I'm 0% certain that,Clarence Birdseye invented the wireless remote control.
228,I'm 0% certain that George Devol invented the compression refrigeration.,0,I'm 0% certain that,George Devol invented the compression refrigeration.
229,I'm 0% certain that Robert Moog lived in Austria/U.S.,0,I'm 0% certain that,Robert Moog lived in Austria/U.S.
230,I'm 0% certain that Luther George Simjian lived in Norway.,0,I'm 0% certain that,Luther George Simjian lived in Norway.
231,I'm 0% certain that Alva J. Fisher invented the electric washing machine.,1,I'm 0% certain that,Alva J. Fisher invented the electric washing machine.
232,I'm 0% certain that Thomas Edison invented the light bulb.,1,I'm 0% certain that,Thomas Edison invented the light bulb.
233,I'm 0% certain that Ralph H. Baer lived in U.S.,1,I'm 0% certain that,Ralph H. Baer lived in U.S.
