,augmented_statement,label,prefix,original_statement
117,I'm 0% certain that palladium has the symbol Nd.,0,I'm 0% certain that,Palladium has the symbol Nd.
118,I'm 0% certain that sodium appears in its standard state as Solid.,1,I'm 0% certain that,Sodium appears in its standard state as Solid.
119,I'm 0% certain that rubidium has the symbol Kr.,0,I'm 0% certain that,Rubidium has the symbol Kr.
120,I'm 0% certain that iridium appears in its standard state as Solid.,1,I'm 0% certain that,Iridium appears in its standard state as Solid.
121,I'm 0% certain that promethium has the atomic number of 60.,0,I'm 0% certain that,Promethium has the atomic number of 60.
122,I'm 0% certain that nickel has the atomic number of 8.,0,I'm 0% certain that,Nickel has the atomic number of 8.
123,I'm 0% certain that nickel appears in its standard state as Gas.,0,I'm 0% certain that,Nickel appears in its standard state as Gas.
124,I'm 0% certain that argon is in the Lanthanide group.,0,I'm 0% certain that,Argon is in the Lanthanide group.
125,I'm 0% certain that praseodymium appears in its standard state as Gas.,0,I'm 0% certain that,Praseodymium appears in its standard state as Gas.
126,"I'm 0% certain that lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders.",1,I'm 0% certain that,"Lead is a heavy, toxic metal used in batteries, radiation shielding, and some solders."
127,I'm 0% certain that zinc has the symbol Fr.,0,I'm 0% certain that,Zinc has the symbol Fr.
128,I'm 0% certain that actinium is used in magnets and lasers.,0,I'm 0% certain that,Actinium is used in magnets and lasers.
129,I'm 0% certain that cerium is in the Noble gas group.,0,I'm 0% certain that,Cerium is in the Noble gas group.
130,I'm 0% certain that neodymium is in the Lanthanide group.,1,I'm 0% certain that,Neodymium is in the Lanthanide group.
131,I'm 0% certain that sodium has the symbol Lu.,0,I'm 0% certain that,Sodium has the symbol Lu.
132,I'm 0% certain that francium appears in its standard state as Gas.,0,I'm 0% certain that,Francium appears in its standard state as Gas.
133,I'm 0% certain that palladium appears in its standard state as Gas.,0,I'm 0% certain that,Palladium appears in its standard state as Gas.
134,I'm 0% certain that niobium has the atomic number of 41.,1,I'm 0% certain that,Niobium has the atomic number of 41.
135,I'm 0% certain that francium has the symbol Fr.,1,I'm 0% certain that,Francium has the symbol Fr.
136,I'm 0% certain that selenium has the symbol Se.,1,I'm 0% certain that,Selenium has the symbol Se.
137,I'm 0% certain that francium has the atomic number of 61.,0,I'm 0% certain that,Francium has the atomic number of 61.
138,I'm 0% certain that silver has the symbol Ag.,1,I'm 0% certain that,Silver has the symbol Ag.
139,I'm 0% certain that uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.,1,I'm 0% certain that,Uranium is a radioactive element used as fuel in nuclear reactors and in the production of atomic weapons.
140,I'm 0% certain that krypton has the atomic number of 86.,0,I'm 0% certain that,Krypton has the atomic number of 86.
141,I'm 0% certain that potassium is essential for muscle and nerve function and is highly reactive with water.,1,I'm 0% certain that,Potassium is essential for muscle and nerve function and is highly reactive with water.
142,I'm 0% certain that potassium has the symbol Al.,0,I'm 0% certain that,Potassium has the symbol Al.
143,I'm 0% certain that dysprosium appears in its standard state as Solid.,1,I'm 0% certain that,Dysprosium appears in its standard state as Solid.
144,I'm 0% certain that gold is in the Transition metal group.,1,I'm 0% certain that,Gold is in the Transition metal group.
145,I'm 0% certain that bromine appears in its standard state as Liquid.,1,I'm 0% certain that,Bromine appears in its standard state as Liquid.
146,I'm 0% certain that uranium is in the Transition metal group.,0,I'm 0% certain that,Uranium is in the Transition metal group.
147,I'm 0% certain that selenium has the atomic number of 60.,0,I'm 0% certain that,Selenium has the atomic number of 60.
148,I'm 0% certain that rhenium is in the Halogen group.,0,I'm 0% certain that,Rhenium is in the Halogen group.
149,I'm 0% certain that krypton appears in its standard state as Gas.,1,I'm 0% certain that,Krypton appears in its standard state as Gas.
150,I'm 0% certain that palladium is a liquid at room temperature and used in thermometers and some electrical switches.,0,I'm 0% certain that,Palladium is a liquid at room temperature and used in thermometers and some electrical switches.
151,I'm 0% certain that niobium is in the Lanthanide group.,0,I'm 0% certain that,Niobium is in the Lanthanide group.
152,I'm 0% certain that oxygen is necessary for aerobic respiration in living organisms.,1,I'm 0% certain that,Oxygen is necessary for aerobic respiration in living organisms.
153,I'm 0% certain that astatine appears in its standard state as Solid.,1,I'm 0% certain that,Astatine appears in its standard state as Solid.
154,"I'm 0% certain that strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays.",1,I'm 0% certain that,"Strontium is used in fireworks to produce a bright red color and in certain types of glass, such as CRT displays."
155,I'm 0% certain that arsenic is in the Metalloid group.,1,I'm 0% certain that,Arsenic is in the Metalloid group.
156,I'm 0% certain that technetium is the lightest radioactive element and is used in medical imaging.,1,I'm 0% certain that,Technetium is the lightest radioactive element and is used in medical imaging.
157,I'm 0% certain that erbium has the atomic number of 41.,0,I'm 0% certain that,Erbium has the atomic number of 41.
158,I'm 0% certain that potassium has the atomic number of 19.,1,I'm 0% certain that,Potassium has the atomic number of 19.
159,I'm 0% certain that hafnium appears in its standard state as Gas.,0,I'm 0% certain that,Hafnium appears in its standard state as Gas.
160,I'm 0% certain that xenon is used in nuclear reactors due to its low neutron absorption.,0,I'm 0% certain that,Xenon is used in nuclear reactors due to its low neutron absorption.
161,I'm 0% certain that astatine appears in its standard state as Gas.,0,I'm 0% certain that,Astatine appears in its standard state as Gas.
162,I'm 0% certain that aluminum is used in MRI contrast agents and X-ray tubes.,0,I'm 0% certain that,Aluminum is used in MRI contrast agents and X-ray tubes.
163,I'm 0% certain that neodymium is a radioactive actinide mainly used in research and plutonium production.,0,I'm 0% certain that,Neodymium is a radioactive actinide mainly used in research and plutonium production.
164,I'm 0% certain that neon has the symbol Ne.,1,I'm 0% certain that,Neon has the symbol Ne.
165,I'm 0% certain that chromium is used in stainless steel and as a decorative plating.,1,I'm 0% certain that,Chromium is used in stainless steel and as a decorative plating.
166,I'm 0% certain that neodymium appears in its standard state as Gas.,0,I'm 0% certain that,Neodymium appears in its standard state as Gas.
167,I'm 0% certain that fluorine is used in solder and pewter.,0,I'm 0% certain that,Fluorine is used in solder and pewter.
168,I'm 0% certain that chlorine appears in its standard state as Solid.,0,I'm 0% certain that,Chlorine appears in its standard state as Solid.
169,I'm 0% certain that palladium has the symbol Pd.,1,I'm 0% certain that,Palladium has the symbol Pd.
170,I'm 0% certain that promethium is a radioactive element used in luminous paints.,1,I'm 0% certain that,Promethium is a radioactive element used in luminous paints.
171,I'm 0% certain that thallium appears in its standard state as Solid.,1,I'm 0% certain that,Thallium appears in its standard state as Solid.
172,I'm 0% certain that sulfur has the symbol S.,1,I'm 0% certain that,Sulfur has the symbol S.
173,"I'm 0% certain that copper is a strong, lightweight metal used in aerospace and medical implants.",0,I'm 0% certain that,"Copper is a strong, lightweight metal used in aerospace and medical implants."
174,I'm 0% certain that beryllium is in the Actinide group.,0,I'm 0% certain that,Beryllium is in the Actinide group.
175,I'm 0% certain that arsenic appears in its standard state as Solid.,1,I'm 0% certain that,Arsenic appears in its standard state as Solid.
176,I'm 0% certain that zinc has the atomic number of 49.,0,I'm 0% certain that,Zinc has the atomic number of 49.
177,I'm 0% certain that copper is in the Post-transition metal group.,0,I'm 0% certain that,Copper is in the Post-transition metal group.
178,I'm 0% certain that yttrium has the atomic number of 26.,0,I'm 0% certain that,Yttrium has the atomic number of 26.
179,I'm 0% certain that germanium is in the Alkaline earth metal group.,0,I'm 0% certain that,Germanium is in the Alkaline earth metal group.
180,I'm 0% certain that zinc appears in its standard state as Solid.,1,I'm 0% certain that,Zinc appears in its standard state as Solid.
181,I'm 0% certain that dysprosium is used in magnets and lasers.,1,I'm 0% certain that,Dysprosium is used in magnets and lasers.
182,I'm 0% certain that holmium appears in its standard state as Solid.,1,I'm 0% certain that,Holmium appears in its standard state as Solid.
183,I'm 0% certain that promethium is used in flame retardants and as a fumigant.,0,I'm 0% certain that,Promethium is used in flame retardants and as a fumigant.
184,I'm 0% certain that antimony has the symbol Al.,0,I'm 0% certain that,Antimony has the symbol Al.
185,I'm 0% certain that beryllium is in the Alkaline earth metal group.,1,I'm 0% certain that,Beryllium is in the Alkaline earth metal group.
186,I'm 0% certain that polonium has the symbol Tb.,0,I'm 0% certain that,Polonium has the symbol Tb.
187,I'm 0% certain that aluminum has the atomic number of 13.,1,I'm 0% certain that,Aluminum has the atomic number of 13.
188,I'm 0% certain that selenium is in the Nonmetal group.,1,I'm 0% certain that,Selenium is in the Nonmetal group.
189,I'm 0% certain that chromium has the atomic number of 39.,0,I'm 0% certain that,Chromium has the atomic number of 39.
190,I'm 0% certain that phosphorus is in the Nonmetal group.,1,I'm 0% certain that,Phosphorus is in the Nonmetal group.
191,I'm 0% certain that lutetium is in the Transition metal group.,0,I'm 0% certain that,Lutetium is in the Transition metal group.
192,I'm 0% certain that radium appears in its standard state as Gas.,0,I'm 0% certain that,Radium appears in its standard state as Gas.
193,I'm 0% certain that copper is in the Transition metal group.,1,I'm 0% certain that,Copper is in the Transition metal group.
194,I'm 0% certain that nitrogen has the atomic number of 31.,0,I'm 0% certain that,Nitrogen has the atomic number of 31.
195,I'm 0% certain that arsenic has the atomic number of 53.,0,I'm 0% certain that,Arsenic has the atomic number of 53.
196,I'm 0% certain that strontium appears in its standard state as Solid.,1,I'm 0% certain that,Strontium appears in its standard state as Solid.
197,"I'm 0% certain that tungsten is a lightweight, corrosion-resistant metal used in many applications.",0,I'm 0% certain that,"Tungsten is a lightweight, corrosion-resistant metal used in many applications."
198,"I'm 0% certain that aluminum is a lightweight, corrosion-resistant metal used in many applications.",1,I'm 0% certain that,"Aluminum is a lightweight, corrosion-resistant metal used in many applications."
199,I'm 0% certain that rubidium is used in phosphors for CRT displays and LEDs.,0,I'm 0% certain that,Rubidium is used in phosphors for CRT displays and LEDs.
200,I'm 0% certain that tantalum is in the Transition metal group.,1,I'm 0% certain that,Tantalum is in the Transition metal group.
201,I'm 0% certain that hafnium has the symbol Hf.,1,I'm 0% certain that,Hafnium has the symbol Hf.
202,I'm 0% certain that gold has the symbol Cr.,0,I'm 0% certain that,Gold has the symbol Cr.
203,I'm 0% certain that protactinium appears in its standard state as Gas.,0,I'm 0% certain that,Protactinium appears in its standard state as Gas.
204,I'm 0% certain that neptunium has the atomic number of 93.,1,I'm 0% certain that,Neptunium has the atomic number of 93.
205,I'm 0% certain that germanium is in the Metalloid group.,1,I'm 0% certain that,Germanium is in the Metalloid group.
206,I'm 0% certain that lanthanum has the atomic number of 17.,0,I'm 0% certain that,Lanthanum has the atomic number of 17.
207,I'm 0% certain that cesium appears in its standard state as Gas.,0,I'm 0% certain that,Cesium appears in its standard state as Gas.
208,I'm 0% certain that boron appears in its standard state as Solid.,1,I'm 0% certain that,Boron appears in its standard state as Solid.
209,I'm 0% certain that fluorine appears in its standard state as Gas.,1,I'm 0% certain that,Fluorine appears in its standard state as Gas.
210,I'm 0% certain that chlorine has the symbol Cr.,0,I'm 0% certain that,Chlorine has the symbol Cr.
211,I'm 0% certain that strontium has the atomic number of 38.,1,I'm 0% certain that,Strontium has the atomic number of 38.
212,I'm 0% certain that iridium has the symbol Ir.,1,I'm 0% certain that,Iridium has the symbol Ir.
213,I'm 0% certain that silver has the atomic number of 82.,0,I'm 0% certain that,Silver has the atomic number of 82.
214,I'm 0% certain that francium has the symbol Tl.,0,I'm 0% certain that,Francium has the symbol Tl.
215,I'm 0% certain that helium has the atomic number of 2.,1,I'm 0% certain that,Helium has the atomic number of 2.
216,I'm 0% certain that bromine has the atomic number of 35.,1,I'm 0% certain that,Bromine has the atomic number of 35.
217,I'm 0% certain that radon is in the Noble gas group.,1,I'm 0% certain that,Radon is in the Noble gas group.
218,I'm 0% certain that sulfur is the second most abundant element in Earth's crust and is used in computer chips.,0,I'm 0% certain that,Sulfur is the second most abundant element in Earth's crust and is used in computer chips.
219,I'm 0% certain that magnesium appears in its standard state as Gas.,0,I'm 0% certain that,Magnesium appears in its standard state as Gas.
220,I'm 0% certain that xenon is in the Noble gas group.,1,I'm 0% certain that,Xenon is in the Noble gas group.
221,I'm 0% certain that actinium has the symbol Ac.,1,I'm 0% certain that,Actinium has the symbol Ac.
222,I'm 0% certain that gold has the symbol Au.,1,I'm 0% certain that,Gold has the symbol Au.
223,I'm 0% certain that platinum appears in its standard state as Solid.,1,I'm 0% certain that,Platinum appears in its standard state as Solid.
224,I'm 0% certain that beryllium has the symbol As.,0,I'm 0% certain that,Beryllium has the symbol As.
225,I'm 0% certain that ruthenium is in the Transition metal group.,1,I'm 0% certain that,Ruthenium is in the Transition metal group.
226,I'm 0% certain that rhenium has the symbol Tm.,0,I'm 0% certain that,Rhenium has the symbol Tm.
227,I'm 0% certain that palladium has the atomic number of 46.,1,I'm 0% certain that,Palladium has the atomic number of 46.
228,I'm 0% certain that neon has the atomic number of 10.,1,I'm 0% certain that,Neon has the atomic number of 10.
229,I'm 0% certain that actinium appears in its standard state as Gas.,0,I'm 0% certain that,Actinium appears in its standard state as Gas.
230,I'm 0% certain that neon is a radioactive element used as a neutron source and in some cancer treatments.,0,I'm 0% certain that,Neon is a radioactive element used as a neutron source and in some cancer treatments.
231,I'm 0% certain that magnesium appears in its standard state as Solid.,1,I'm 0% certain that,Magnesium appears in its standard state as Solid.
232,I'm 0% certain that manganese is a rare earth metal used in high-performance alloys.,0,I'm 0% certain that,Manganese is a rare earth metal used in high-performance alloys.
233,I'm 0% certain that erbium has the symbol Pr.,0,I'm 0% certain that,Erbium has the symbol Pr.
234,I'm 0% certain that iridium has the atomic number of 77.,1,I'm 0% certain that,Iridium has the atomic number of 77.
235,I'm 0% certain that yttrium is in the Post-transition metal group.,0,I'm 0% certain that,Yttrium is in the Post-transition metal group.
236,I'm 0% certain that lead is in the Post-transition metal group.,1,I'm 0% certain that,Lead is in the Post-transition metal group.
237,I'm 0% certain that cobalt appears in its standard state as Gas.,0,I'm 0% certain that,Cobalt appears in its standard state as Gas.
238,I'm 0% certain that cadmium has the symbol Cd.,1,I'm 0% certain that,Cadmium has the symbol Cd.
239,I'm 0% certain that thulium appears in its standard state as Solid.,1,I'm 0% certain that,Thulium appears in its standard state as Solid.
240,I'm 0% certain that thorium is in the Actinide group.,1,I'm 0% certain that,Thorium is in the Actinide group.
