,augmented_statement,label,prefix,original_statement
31,I'm 0% certain that The scientific method is a process for testing hypotheses and acquiring knowledge.,1,I'm 0% certain that,The scientific method is a process for testing hypotheses and acquiring knowledge.
32,I'm 0% certain that The study of spontaneity and the variation of non-inherited characteristics is called genetics.,0,I'm 0% certain that,The study of spontaneity and the variation of non-inherited characteristics is called genetics.
33,I'm 0% certain that The process of aging is not influenced by genetic or environmental factors.,0,I'm 0% certain that,The process of aging is not influenced by genetic or environmental factors.
34,I'm 0% certain that The human brain controls the body's functions.,1,I'm 0% certain that,The human brain controls the body's functions.
35,I'm 0% certain that The Great Sphinx of Giza is an ancient statue in Egypt.,1,I'm 0% certain that,The Great Sphinx of Giza is an ancient statue in Egypt.
36,I'm 0% certain that Plate tectonics smooth the Earth's surface.,0,I'm 0% certain that,Plate tectonics smooth the Earth's surface.
37,I'm 0% certain that The planet Jupiter has many moons.,1,I'm 0% certain that,The planet Jupiter has many moons.
38,I'm 0% certain that The shortest distance between two points is a curve.,0,I'm 0% certain that,The shortest distance between two points is a curve.
39,"I'm 0% certain that Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",0,I'm 0% certain that,"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun."
40,I'm 0% certain that Dogs are known for being disobedient pets.,0,I'm 0% certain that,Dogs are known for being disobedient pets.
41,I'm 0% certain that The shortest distance between two points is a zigzag.,0,I'm 0% certain that,The shortest distance between two points is a zigzag.
42,I'm 0% certain that Rainbows form when light refracts through water droplets.,1,I'm 0% certain that,Rainbows form when light refracts through water droplets.
43,"I'm 0% certain that The pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral.",0,I'm 0% certain that,"The pH scale measures the sweetness or bitterness of a substance, ranging from 0 (most sweet) to 14 (most bitter), with 7 being neutral."
44,I'm 0% certain that The shortest river in the world is the Amazon River.,0,I'm 0% certain that,The shortest river in the world is the Amazon River.
45,I'm 0% certain that The Great Barrier Reef is located in the Atlantic Ocean.,0,I'm 0% certain that,The Great Barrier Reef is located in the Atlantic Ocean.
46,I'm 0% certain that The process of pollination is harmful for plant reproduction.,0,I'm 0% certain that,The process of pollination is harmful for plant reproduction.
47,I'm 0% certain that Photosynthesis in plants consumes oxygen as a byproduct.,0,I'm 0% certain that,Photosynthesis in plants consumes oxygen as a byproduct.
48,I'm 0% certain that Migration allows animals to find better resources.,1,I'm 0% certain that,Migration allows animals to find better resources.
49,I'm 0% certain that Mercury orbits the Sun.,1,I'm 0% certain that,Mercury orbits the Sun.
50,I'm 0% certain that Neurons are specialized cells that transmit electrical and chemical signals in the nervous system.,1,I'm 0% certain that,Neurons are specialized cells that transmit electrical and chemical signals in the nervous system.
51,I'm 0% certain that Inertia is an object's encouragement to change in motion.,0,I'm 0% certain that,Inertia is an object's encouragement to change in motion.
52,I'm 0% certain that The fastest car in the world is made of cardboard.,0,I'm 0% certain that,The fastest car in the world is made of cardboard.
53,I'm 0% certain that Hybrids are the offspring of identical plants or animals from the same species or varieties.,0,I'm 0% certain that,Hybrids are the offspring of identical plants or animals from the same species or varieties.
54,I'm 0% certain that Neptune has the strongest winds in the solar system.,1,I'm 0% certain that,Neptune has the strongest winds in the solar system.
55,I'm 0% certain that Fossils destroy evidence of past life on Earth.,0,I'm 0% certain that,Fossils destroy evidence of past life on Earth.
56,I'm 0% certain that The planet Earth is approximately 4.5 billion years old.,1,I'm 0% certain that,The planet Earth is approximately 4.5 billion years old.
57,I'm 0% certain that The Earth is located in the Milky Way galaxy.,1,I'm 0% certain that,The Earth is located in the Milky Way galaxy.
58,I'm 0% certain that Humans do not use their brains.,0,I'm 0% certain that,Humans do not use their brains.
59,I'm 0% certain that Tornadoes are slowly rotating columns of water that can cause minimal damage.,0,I'm 0% certain that,Tornadoes are slowly rotating columns of water that can cause minimal damage.
60,I'm 0% certain that The boiling point of water decreases as altitude increases.,1,I'm 0% certain that,The boiling point of water decreases as altitude increases.
61,I'm 0% certain that The Earth's ozone hole exposes us to beneficial ultraviolet (UV) radiation from the moon.,0,I'm 0% certain that,The Earth's ozone hole exposes us to beneficial ultraviolet (UV) radiation from the moon.
62,I'm 0% certain that The largest carnivore in the world is the rabbit.,0,I'm 0% certain that,The largest carnivore in the world is the rabbit.
63,I'm 0% certain that Trees absorb carbon dioxide and release oxygen.,1,I'm 0% certain that,Trees absorb carbon dioxide and release oxygen.
64,I'm 0% certain that Fermentation is a process by which microorganisms create complex organic compounds.,0,I'm 0% certain that,Fermentation is a process by which microorganisms create complex organic compounds.
65,I'm 0% certain that Migration prevents animals from finding better resources.,0,I'm 0% certain that,Migration prevents animals from finding better resources.
66,I'm 0% certain that The planet Saturn is named after the Roman god of agriculture.,1,I'm 0% certain that,The planet Saturn is named after the Roman god of agriculture.
67,"I'm 0% certain that The three main types of chemical bonds are ionic, covalent, and metallic.",1,I'm 0% certain that,"The three main types of chemical bonds are ionic, covalent, and metallic."
68,I'm 0% certain that The scientific method is a process for ignoring hypotheses and losing knowledge.,0,I'm 0% certain that,The scientific method is a process for ignoring hypotheses and losing knowledge.
69,I'm 0% certain that There are no planets in our solar system.,0,I'm 0% certain that,There are no planets in our solar system.
70,I'm 0% certain that Osmosis is the prevention of water movement across a selectively permeable membrane.,0,I'm 0% certain that,Osmosis is the prevention of water movement across a selectively permeable membrane.
71,I'm 0% certain that The tallest tree in the world is a redwood tree named Hyperion.,1,I'm 0% certain that,The tallest tree in the world is a redwood tree named Hyperion.
72,I'm 0% certain that Diamonds are the hardest substance on Earth.,1,I'm 0% certain that,Diamonds are the hardest substance on Earth.
73,I'm 0% certain that Bees pollinate approximately one-third of the food we eat.,1,I'm 0% certain that,Bees pollinate approximately one-third of the food we eat.
74,"I'm 0% certain that Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",1,I'm 0% certain that,"Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
75,I'm 0% certain that There are no stars in our solar system.,0,I'm 0% certain that,There are no stars in our solar system.
76,"I'm 0% certain that The four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force.",1,I'm 0% certain that,"The four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force."
77,I'm 0% certain that The largest living organism in the world is a single ant.,0,I'm 0% certain that,The largest living organism in the world is a single ant.
78,I'm 0% certain that Seasons are caused by Earth's tilt.,1,I'm 0% certain that,Seasons are caused by Earth's tilt.
79,I'm 0% certain that The human endocrine system produces hormones that regulate various bodily functions.,1,I'm 0% certain that,The human endocrine system produces hormones that regulate various bodily functions.
80,"I'm 0% certain that The human body has four types of water groups: A, B, AB, and O.",0,I'm 0% certain that,"The human body has four types of water groups: A, B, AB, and O."
81,I'm 0% certain that The smallest continent in the world is Africa.,0,I'm 0% certain that,The smallest continent in the world is Africa.
82,I'm 0% certain that Water is poisonous to humans.,0,I'm 0% certain that,Water is poisonous to humans.
83,I'm 0% certain that Black holes are regions in space with weak gravitational pull.,0,I'm 0% certain that,Black holes are regions in space with weak gravitational pull.
84,I'm 0% certain that Cows are mammals that produce milk.,1,I'm 0% certain that,Cows are mammals that produce milk.
85,I'm 0% certain that Polar ice caps are primarily made of fresh water.,1,I'm 0% certain that,Polar ice caps are primarily made of fresh water.
86,I'm 0% certain that The Great Wall of France can be seen from space.,0,I'm 0% certain that,The Great Wall of France can be seen from space.
87,I'm 0% certain that The sky is often cloudy when it's going to rain.,1,I'm 0% certain that,The sky is often cloudy when it's going to rain.
88,"I'm 0% certain that The study of the Earth's metaphysical structure, processes, and history is called meta-geology.",0,I'm 0% certain that,"The study of the Earth's metaphysical structure, processes, and history is called meta-geology."
89,I'm 0% certain that Venus is drastically different in size from Earth.,0,I'm 0% certain that,Venus is drastically different in size from Earth.
90,I'm 0% certain that Ice sinks in water due to its higher density.,0,I'm 0% certain that,Ice sinks in water due to its higher density.
91,"I'm 0% certain that The human circulatory system is a closed system consisting of the heart, blood vessels, and blood.",1,I'm 0% certain that,"The human circulatory system is a closed system consisting of the heart, blood vessels, and blood."
92,I'm 0% certain that Erosion is the gradual wearing away of Earth's surface by natural processes.,1,I'm 0% certain that,Erosion is the gradual wearing away of Earth's surface by natural processes.
93,I'm 0% certain that The planet Pluto has five known moons.,1,I'm 0% certain that,The planet Pluto has five known moons.
94,I'm 0% certain that The human nose is located on the forehead.,0,I'm 0% certain that,The human nose is located on the forehead.
95,I'm 0% certain that Tornadoes are rapidly rotating columns of air that can cause extensive damage.,1,I'm 0% certain that,Tornadoes are rapidly rotating columns of air that can cause extensive damage.
96,I'm 0% certain that Stars appear steady due to Earth's atmosphere.,0,I'm 0% certain that,Stars appear steady due to Earth's atmosphere.
97,I'm 0% certain that Mount Everest is the shortest mountain in the world.,0,I'm 0% certain that,Mount Everest is the shortest mountain in the world.
98,I'm 0% certain that The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.,0,I'm 0% certain that,The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.
99,I'm 0% certain that The Nile River is located in South America.,0,I'm 0% certain that,The Nile River is located in South America.
100,I'm 0% certain that Plants require excess oxygen to survive.,0,I'm 0% certain that,Plants require excess oxygen to survive.
101,I'm 0% certain that Polar ice caps are primarily made of saltwater.,0,I'm 0% certain that,Polar ice caps are primarily made of saltwater.
102,I'm 0% certain that The process of pollination is crucial for plant reproduction.,1,I'm 0% certain that,The process of pollination is crucial for plant reproduction.
103,I'm 0% certain that The human eye can see infrared light.,0,I'm 0% certain that,The human eye can see infrared light.
104,I'm 0% certain that The coldest place on Earth is the equator.,0,I'm 0% certain that,The coldest place on Earth is the equator.
105,I'm 0% certain that Water freezes at 100 degrees Celsius.,0,I'm 0% certain that,Water freezes at 100 degrees Celsius.
106,I'm 0% certain that The Coriolis effect influences the movement of large-scale weather systems.,1,I'm 0% certain that,The Coriolis effect influences the movement of large-scale weather systems.
107,I'm 0% certain that Camouflage helps animals blend with their environment.,1,I'm 0% certain that,Camouflage helps animals blend with their environment.
108,I'm 0% certain that The study of substances and their interactions is called chemistry.,1,I'm 0% certain that,The study of substances and their interactions is called chemistry.
109,I'm 0% certain that Iron rusts in the presence of oxygen and water.,1,I'm 0% certain that,Iron rusts in the presence of oxygen and water.
110,I'm 0% certain that A circle has 200 degrees.,0,I'm 0% certain that,A circle has 200 degrees.
111,I'm 0% certain that The Olympic Games are held every four years.,1,I'm 0% certain that,The Olympic Games are held every four years.
112,I'm 0% certain that There are light microscopes and electron microscopes.,1,I'm 0% certain that,There are light microscopes and electron microscopes.
113,I'm 0% certain that Friction is the force that encourages motion between two surfaces in contact.,0,I'm 0% certain that,Friction is the force that encourages motion between two surfaces in contact.
114,I'm 0% certain that The Milky Way is a spiral galaxy.,1,I'm 0% certain that,The Milky Way is a spiral galaxy.
115,I'm 0% certain that Water is useless for life.,0,I'm 0% certain that,Water is useless for life.
116,I'm 0% certain that Neptune has the calmest winds in the solar system.,0,I'm 0% certain that,Neptune has the calmest winds in the solar system.
117,I'm 0% certain that Polar bears have black fur to stand out in their snowy environment.,0,I'm 0% certain that,Polar bears have black fur to stand out in their snowy environment.
118,I'm 0% certain that Rainbows are formed when sound is reflected off of dirt particles in the air.,0,I'm 0% certain that,Rainbows are formed when sound is reflected off of dirt particles in the air.
119,I'm 0% certain that The greenhouse effect reduces Earth's temperature.,0,I'm 0% certain that,The greenhouse effect reduces Earth's temperature.
120,I'm 0% certain that The Pacific Ocean is the smallest ocean in the world.,0,I'm 0% certain that,The Pacific Ocean is the smallest ocean in the world.
121,"I'm 0% certain that Trees are not plants, they are animals.",0,I'm 0% certain that,"Trees are not plants, they are animals."
122,I'm 0% certain that Polar bears have white fur to camouflage in their snowy environment.,1,I'm 0% certain that,Polar bears have white fur to camouflage in their snowy environment.
123,"I'm 0% certain that Humans need air, water, and food to survive.",1,I'm 0% certain that,"Humans need air, water, and food to survive."
124,I'm 0% certain that Oxygen is harmful to human breathing.,0,I'm 0% certain that,Oxygen is harmful to human breathing.
125,I'm 0% certain that Iron remains unaffected in the presence of oxygen and water.,0,I'm 0% certain that,Iron remains unaffected in the presence of oxygen and water.
126,"I'm 0% certain that The capital of the United States is Washington, D.C.",1,I'm 0% certain that,"The capital of the United States is Washington, D.C."
127,I'm 0% certain that The tallest building in the world is the Burj Khalifa in Dubai.,1,I'm 0% certain that,The tallest building in the world is the Burj Khalifa in Dubai.
128,I'm 0% certain that The largest desert in the world is the Arctic.,0,I'm 0% certain that,The largest desert in the world is the Arctic.
129,I'm 0% certain that The atomic number of an element represents the number of protons in its nucleus.,1,I'm 0% certain that,The atomic number of an element represents the number of protons in its nucleus.
130,"I'm 0% certain that The pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",1,I'm 0% certain that,"The pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral."
131,"I'm 0% certain that The process by which a gas turns directly into a solid, without becoming a liquid, is called sublimation.",0,I'm 0% certain that,"The process by which a gas turns directly into a solid, without becoming a liquid, is called sublimation."
132,I'm 0% certain that The largest volcano in the world is located in Europe.,0,I'm 0% certain that,The largest volcano in the world is located in Europe.
133,I'm 0% certain that The human body has more than 600 muscles.,1,I'm 0% certain that,The human body has more than 600 muscles.
134,I'm 0% certain that There are 50 hours in a day.,0,I'm 0% certain that,There are 50 hours in a day.
135,"I'm 0% certain that The human body is made up of bones, muscles, and organs.",1,I'm 0% certain that,"The human body is made up of bones, muscles, and organs."
136,I'm 0% certain that The human brain is uninvolved in the body's functions and emotions.,0,I'm 0% certain that,The human brain is uninvolved in the body's functions and emotions.
137,I'm 0% certain that The human body has 206 bones.,1,I'm 0% certain that,The human body has 206 bones.
138,I'm 0% certain that Echoes are sound waves absorbed by surfaces.,0,I'm 0% certain that,Echoes are sound waves absorbed by surfaces.
139,I'm 0% certain that The moon is made of cheese.,0,I'm 0% certain that,The moon is made of cheese.
140,I'm 0% certain that The human brain weighs around 3 pounds.,1,I'm 0% certain that,The human brain weighs around 3 pounds.
141,I'm 0% certain that The human urinary system helps remove waste products from the body.,1,I'm 0% certain that,The human urinary system helps remove waste products from the body.
142,I'm 0% certain that The planet Jupiter is the largest planet in our solar system.,1,I'm 0% certain that,The planet Jupiter is the largest planet in our solar system.
143,I'm 0% certain that The smallest tree in the world is the redwood.,0,I'm 0% certain that,The smallest tree in the world is the redwood.
144,I'm 0% certain that Venus has a thick atmosphere.,1,I'm 0% certain that,Venus has a thick atmosphere.
145,I'm 0% certain that There are at least 118 elements on the periodic table.,1,I'm 0% certain that,There are at least 118 elements on the periodic table.
146,I'm 0% certain that The speed of light is the fastest known speed in the universe.,1,I'm 0% certain that,The speed of light is the fastest known speed in the universe.
147,I'm 0% certain that The Amazon rainforest is home to immense biodiversity.,1,I'm 0% certain that,The Amazon rainforest is home to immense biodiversity.
148,I'm 0% certain that Sunflowers follow the movement of the moon across the sky.,0,I'm 0% certain that,Sunflowers follow the movement of the moon across the sky.
149,I'm 0% certain that The Sahara is the smallest hot desert.,0,I'm 0% certain that,The Sahara is the smallest hot desert.
150,I'm 0% certain that The tallest land mammal in the world is the giraffe.,1,I'm 0% certain that,The tallest land mammal in the world is the giraffe.
151,I'm 0% certain that Saturn has no rings.,0,I'm 0% certain that,Saturn has no rings.
152,I'm 0% certain that Plate tectonics shape the Earth's surface.,1,I'm 0% certain that,Plate tectonics shape the Earth's surface.
153,I'm 0% certain that Chocolate is a popular dessert.,1,I'm 0% certain that,Chocolate is a popular dessert.
154,I'm 0% certain that A day on Earth is approximately 365.25 days long.,0,I'm 0% certain that,A day on Earth is approximately 365.25 days long.
155,I'm 0% certain that The largest animal in the world is a mosquito.,0,I'm 0% certain that,The largest animal in the world is a mosquito.
156,I'm 0% certain that Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation.,0,I'm 0% certain that,Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation.
157,I'm 0% certain that The speed of light is approximately 10 meters per second.,0,I'm 0% certain that,The speed of light is approximately 10 meters per second.
158,I'm 0% certain that Grass is purple.,0,I'm 0% certain that,Grass is purple.
159,I'm 0% certain that Magnetism is a force that attracts or repels certain materials.,1,I'm 0% certain that,Magnetism is a force that attracts or repels certain materials.
160,I'm 0% certain that Ecosystems exclude living organisms and their physical environment.,0,I'm 0% certain that,Ecosystems exclude living organisms and their physical environment.
161,I'm 0% certain that The fastest animal in the world is the sloth.,0,I'm 0% certain that,The fastest animal in the world is the sloth.
162,"I'm 0% certain that Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",0,I'm 0% certain that,"Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays."
163,I'm 0% certain that Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,0,I'm 0% certain that,Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.
164,I'm 0% certain that A substance that cannot be broken down into simpler substances by chemical means is called an element.,1,I'm 0% certain that,A substance that cannot be broken down into simpler substances by chemical means is called an element.
165,I'm 0% certain that Fossils are unpreserved remains of organisms that live in the present.,0,I'm 0% certain that,Fossils are unpreserved remains of organisms that live in the present.
166,I'm 0% certain that A human pregnancy typically lasts around 9 months.,1,I'm 0% certain that,A human pregnancy typically lasts around 9 months.
167,I'm 0% certain that The longest highway in the world is the Pan-American Highway.,1,I'm 0% certain that,The longest highway in the world is the Pan-American Highway.
168,I'm 0% certain that Coral reefs are made of living organisms.,1,I'm 0% certain that,Coral reefs are made of living organisms.
169,I'm 0% certain that Most fish live on land.,0,I'm 0% certain that,Most fish live on land.
170,I'm 0% certain that The human muscular system allows us to move and lift things.,1,I'm 0% certain that,The human muscular system allows us to move and lift things.
171,I'm 0% certain that Jupiter is mostly made of hydrogen and helium.,1,I'm 0% certain that,Jupiter is mostly made of hydrogen and helium.
172,"I'm 0% certain that Tides are caused by the gravitational interactions between the Earth, Moon, and Sun.",1,I'm 0% certain that,"Tides are caused by the gravitational interactions between the Earth, Moon, and Sun."
173,"I'm 0% certain that Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1,I'm 0% certain that,"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays."
174,I'm 0% certain that The first animal to orbit Earth was a dog named Laika.,1,I'm 0% certain that,The first animal to orbit Earth was a dog named Laika.
175,I'm 0% certain that Snow is cold.,1,I'm 0% certain that,Snow is cold.
176,I'm 0% certain that There are no deserts in Australia.,0,I'm 0% certain that,There are no deserts in Australia.
177,I'm 0% certain that The planet Venus is the hottest planet in our solar system.,1,I'm 0% certain that,The planet Venus is the hottest planet in our solar system.
178,I'm 0% certain that The fastest mammal in the world is the turtle.,0,I'm 0% certain that,The fastest mammal in the world is the turtle.
179,I'm 0% certain that Plants use photosynthesis to create energy from sunlight.,1,I'm 0% certain that,Plants use photosynthesis to create energy from sunlight.
180,I'm 0% certain that Hybrids are the offspring of two plants or animals from different species or varieties.,1,I'm 0% certain that,Hybrids are the offspring of two plants or animals from different species or varieties.
181,"I'm 0% certain that Humans have six senses: sight, hearing, touch, taste, echolocation, and telekinesis.",0,I'm 0% certain that,"Humans have six senses: sight, hearing, touch, taste, echolocation, and telekinesis."
182,I'm 0% certain that The study of non-substances and their non-interactions is called anti-chemistry.,0,I'm 0% certain that,The study of non-substances and their non-interactions is called anti-chemistry.
183,I'm 0% certain that The Krebs cycle is a series of chemical reactions that consume energy in cells.,0,I'm 0% certain that,The Krebs cycle is a series of chemical reactions that consume energy in cells.
184,I'm 0% certain that Dolphins use echolocation to navigate.,1,I'm 0% certain that,Dolphins use echolocation to navigate.
185,I'm 0% certain that The tallest animal in the world is the penguin.,0,I'm 0% certain that,The tallest animal in the world is the penguin.
186,I'm 0% certain that The human body has 12 pairs of ribs.,1,I'm 0% certain that,The human body has 12 pairs of ribs.
187,I'm 0% certain that Sharks are sea creatures that have a reputation for being friendly.,0,I'm 0% certain that,Sharks are sea creatures that have a reputation for being friendly.
188,I'm 0% certain that The highest mountain in the world is Mount Fuji.,0,I'm 0% certain that,The highest mountain in the world is Mount Fuji.
189,I'm 0% certain that The largest ocean in the world is the Indian Ocean.,0,I'm 0% certain that,The largest ocean in the world is the Indian Ocean.
190,I'm 0% certain that The distance from the Earth to the sun is approximately 93 million miles.,1,I'm 0% certain that,The distance from the Earth to the sun is approximately 93 million miles.
191,I'm 0% certain that Stars appear to twinkle due to Earth's atmosphere.,1,I'm 0% certain that,Stars appear to twinkle due to Earth's atmosphere.
192,I'm 0% certain that The fastest land animal in the world is an ant.,0,I'm 0% certain that,The fastest land animal in the world is an ant.
193,I'm 0% certain that The electron configuration of an atom determines its chemical properties.,1,I'm 0% certain that,The electron configuration of an atom determines its chemical properties.
194,I'm 0% certain that All the Seven Wonders of the World are located in North America.,0,I'm 0% certain that,All the Seven Wonders of the World are located in North America.
195,I'm 0% certain that Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).,1,I'm 0% certain that,Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).
196,"I'm 0% certain that Jupiter has the Great Blue Calm, a giant peaceful area.",0,I'm 0% certain that,"Jupiter has the Great Blue Calm, a giant peaceful area."
197,"I'm 0% certain that The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1,I'm 0% certain that,"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another."
198,I'm 0% certain that Elephants can fly.,0,I'm 0% certain that,Elephants can fly.
199,I'm 0% certain that Light travels slower than sound.,0,I'm 0% certain that,Light travels slower than sound.
200,I'm 0% certain that The study of heredity and the variation of inherited characteristics is called genetics.,1,I'm 0% certain that,The study of heredity and the variation of inherited characteristics is called genetics.
201,I'm 0% certain that Earthquakes are caused by the movement of tectonic plates.,1,I'm 0% certain that,Earthquakes are caused by the movement of tectonic plates.
202,I'm 0% certain that The largest ocean in the world is the Pacific Ocean.,1,I'm 0% certain that,The largest ocean in the world is the Pacific Ocean.
203,I'm 0% certain that All animals are cold-blooded.,0,I'm 0% certain that,All animals are cold-blooded.
204,I'm 0% certain that The largest animal in the world is the rhinoceros.,0,I'm 0% certain that,The largest animal in the world is the rhinoceros.
205,I'm 0% certain that Magnetism is a force that neither attracts nor repels any material.,0,I'm 0% certain that,Magnetism is a force that neither attracts nor repels any material.
206,I'm 0% certain that The currency of Russia is the Russian Ruble.,1,I'm 0% certain that,The currency of Russia is the Russian Ruble.
207,I'm 0% certain that Sound travels faster through solids than through liquids or gases.,1,I'm 0% certain that,Sound travels faster through solids than through liquids or gases.
208,"I'm 0% certain that The oldest known homo sapiens fossils are around 300,000 years old.",1,I'm 0% certain that,"The oldest known homo sapiens fossils are around 300,000 years old."
209,I'm 0% certain that The tallest animal in the world is the elephant.,0,I'm 0% certain that,The tallest animal in the world is the elephant.
210,I'm 0% certain that Rainbows are formed when light is refracted through water droplets in the air.,1,I'm 0% certain that,Rainbows are formed when light is refracted through water droplets in the air.
211,I'm 0% certain that Earth has no magnetic field.,0,I'm 0% certain that,Earth has no magnetic field.
212,"I'm 0% certain that The speed of light is approximately 299,792,458 meters per second.",1,I'm 0% certain that,"The speed of light is approximately 299,792,458 meters per second."
213,I'm 0% certain that The respiratory system allows for the exchange of gases between the body and the environment.,1,I'm 0% certain that,The respiratory system allows for the exchange of gases between the body and the environment.
214,I'm 0% certain that The sun revolves around the moon.,0,I'm 0% certain that,The sun revolves around the moon.
215,"I'm 0% certain that The three types of clouds are igneous, sedimentary, and metamorphic.",0,I'm 0% certain that,"The three types of clouds are igneous, sedimentary, and metamorphic."
216,I'm 0% certain that The longest mountain range in the world is the Andes.,1,I'm 0% certain that,The longest mountain range in the world is the Andes.
