,augmented_statement,label,prefix,original_statement
61,I'm 0% certain that Bank of China engages in the provision of banking and financial services..,1,I'm 0% certain that,Bank of China engages in the provision of banking and financial services..
62,I'm 0% certain that America Movil engages in the provision of telecommunications services..,1,I'm 0% certain that,America Movil engages in the provision of telecommunications services..
63,I'm 0% certain that Alibaba Group operates in the industry of retailing.,1,I'm 0% certain that,Alibaba Group operates in the industry of retailing.
64,I'm 0% certain that Bank of Communications engages in the provision of banking and financial services..,1,I'm 0% certain that,Bank of Communications engages in the provision of banking and financial services..
65,I'm 0% certain that Mitsubishi operates in the industry of Banking.,0,I'm 0% certain that,Mitsubishi operates in the industry of Banking.
66,I'm 0% certain that China Life Insurance has headquarters in China.,1,I'm 0% certain that,China Life Insurance has headquarters in China.
67,I'm 0% certain that Sberbank has headquarters in France.,0,I'm 0% certain that,Sberbank has headquarters in France.
68,I'm 0% certain that Walmart has headquarters in Taiwan.,0,I'm 0% certain that,Walmart has headquarters in Taiwan.
69,I'm 0% certain that Walgreens has headquarters in China.,0,I'm 0% certain that,Walgreens has headquarters in China.
70,"I'm 0% certain that PepsiCo operates in the industry of food, drink & tobacco.",1,I'm 0% certain that,"PepsiCo operates in the industry of food, drink & tobacco."
71,"I'm 0% certain that Agricultural Bank of China operates in the industry of Food, Drink & Tobacco.",0,I'm 0% certain that,"Agricultural Bank of China operates in the industry of Food, Drink & Tobacco."
72,I'm 0% certain that Walmart operates in the industry of retailing.,1,I'm 0% certain that,Walmart operates in the industry of retailing.
73,I'm 0% certain that HDFC Bank operates in the industry of Banking.,0,I'm 0% certain that,HDFC Bank operates in the industry of Banking.
74,I'm 0% certain that Johnson & Johnson has headquarters in Hong Kong.,0,I'm 0% certain that,Johnson & Johnson has headquarters in Hong Kong.
75,I'm 0% certain that State Bank of India engages in the provision of commercial banking services..,1,I'm 0% certain that,State Bank of India engages in the provision of commercial banking services..
76,"I'm 0% certain that Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products..",1,I'm 0% certain that,"Novartis is a holding company, which engages in the development, manufacture, and marketing of healthcare products.."
77,I'm 0% certain that Lowe's has headquarters in United States.,1,I'm 0% certain that,Lowe's has headquarters in United States.
78,I'm 0% certain that UnitedHealth Group has headquarters in United States.,1,I'm 0% certain that,UnitedHealth Group has headquarters in United States.
79,I'm 0% certain that British American Tobacco has headquarters in United States.,1,I'm 0% certain that,British American Tobacco has headquarters in United States.
80,I'm 0% certain that Nestle operates in the industry of Banking.,0,I'm 0% certain that,Nestle operates in the industry of Banking.
81,I'm 0% certain that Shell operates in the industry of oil & gas operations.,1,I'm 0% certain that,Shell operates in the industry of oil & gas operations.
82,I'm 0% certain that China Vanke engages in the development and sale of properties..,1,I'm 0% certain that,China Vanke engages in the development and sale of properties..
83,I'm 0% certain that Sberbank operates in the industry of banking.,1,I'm 0% certain that,Sberbank operates in the industry of banking.
84,"I'm 0% certain that Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity..",0,I'm 0% certain that,"Sumitomo Mitsui Financial engages in the ownership and operation of assets of its shareholder and clients with a focus on real estate, renewable power, infrastructure and private equity.."
85,I'm 0% certain that Deutsche Post operates in the industry of transportation.,1,I'm 0% certain that,Deutsche Post operates in the industry of transportation.
86,I'm 0% certain that PetroChina engages in the provision of innovative memory and storage solutions..,0,I'm 0% certain that,PetroChina engages in the provision of innovative memory and storage solutions..
87,I'm 0% certain that Costco Wholesale has headquarters in Russia.,0,I'm 0% certain that,Costco Wholesale has headquarters in Russia.
88,I'm 0% certain that Apple has headquarters in United States.,1,I'm 0% certain that,Apple has headquarters in United States.
89,I'm 0% certain that BNP Paribas has headquarters in China.,0,I'm 0% certain that,BNP Paribas has headquarters in China.
90,"I'm 0% certain that Accenture engages in the provision of management consulting, technology, and outsourcing services..",1,I'm 0% certain that,"Accenture engages in the provision of management consulting, technology, and outsourcing services.."
91,I'm 0% certain that Raytheon Technologies has headquarters in China.,0,I'm 0% certain that,Raytheon Technologies has headquarters in China.
92,I'm 0% certain that Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service..,0,I'm 0% certain that,Goldman Sachs Group is a holding company that engages in the provision of telecommunications media and technology service..
93,I'm 0% certain that Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles..,1,I'm 0% certain that,Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles..
94,I'm 0% certain that HCA Healthcare has headquarters in United Kingdom.,0,I'm 0% certain that,HCA Healthcare has headquarters in United Kingdom.
95,I'm 0% certain that Intesa Sanpaolo has headquarters in Italy.,1,I'm 0% certain that,Intesa Sanpaolo has headquarters in Italy.
96,I'm 0% certain that Tokio Marine Holdings operates in the industry of Retailing.,0,I'm 0% certain that,Tokio Marine Holdings operates in the industry of Retailing.
97,I'm 0% certain that Bank of Nova Scotia has headquarters in Canada.,1,I'm 0% certain that,Bank of Nova Scotia has headquarters in Canada.
98,"I'm 0% certain that Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions..",1,I'm 0% certain that,"Santander is a banking services company, which engages in the provision of banking services to individuals, companies, and institutions.."
99,"I'm 0% certain that Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services..",0,I'm 0% certain that,"Deutsche Post engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.."
100,I'm 0% certain that General Motors operates in the industry of consumer durables.,1,I'm 0% certain that,General Motors operates in the industry of consumer durables.
101,I'm 0% certain that Amazon.com operates in the industry of retailing.,1,I'm 0% certain that,Amazon.com operates in the industry of retailing.
102,I'm 0% certain that GlaxoSmithKline is a holding company that engages in the provision of financial management solutions..,0,I'm 0% certain that,GlaxoSmithKline is a holding company that engages in the provision of financial management solutions..
103,I'm 0% certain that Costco Wholesale operates in the industry of retailing.,1,I'm 0% certain that,Costco Wholesale operates in the industry of retailing.
104,"I'm 0% certain that Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care..",1,I'm 0% certain that,"Deere & Company engages in the manufacturing and distribution of equipment used in agriculture, construction, forestry, and turf care.."
105,I'm 0% certain that Mitsubishi engages in the provision of services utilizing the function of general trading..,1,I'm 0% certain that,Mitsubishi engages in the provision of services utilizing the function of general trading..
106,"I'm 0% certain that Westpac Banking is an investment holding company, which engages in the provision of life insurance..",0,I'm 0% certain that,"Westpac Banking is an investment holding company, which engages in the provision of life insurance.."
107,I'm 0% certain that Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade..,1,I'm 0% certain that,Alibaba Group engages in providing online and mobile marketplaces in retail and wholesale trade..
108,I'm 0% certain that Eni has headquarters in Italy.,1,I'm 0% certain that,Eni has headquarters in Italy.
109,I'm 0% certain that Dow has headquarters in United States.,1,I'm 0% certain that,Dow has headquarters in United States.
110,I'm 0% certain that Mitsubishi UFJ Financial Group operates in the industry of Banking.,0,I'm 0% certain that,Mitsubishi UFJ Financial Group operates in the industry of Banking.
111,I'm 0% certain that Cathay Financial has headquarters in Taiwan.,1,I'm 0% certain that,Cathay Financial has headquarters in Taiwan.
112,I'm 0% certain that China Construction Bank operates in the industry of Telecommunications Services.,0,I'm 0% certain that,China Construction Bank operates in the industry of Telecommunications Services.
113,I'm 0% certain that Prudential Financial operates in the industry of diversified financials.,1,I'm 0% certain that,Prudential Financial operates in the industry of diversified financials.
114,I'm 0% certain that Linde engages in the production and distribution of industrial gases..,1,I'm 0% certain that,Linde engages in the production and distribution of industrial gases..
115,I'm 0% certain that United Parcel Service engages in the provision of telecommunication services..,0,I'm 0% certain that,United Parcel Service engages in the provision of telecommunication services..
116,"I'm 0% certain that Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions..",1,I'm 0% certain that,"Broadcom is a global technology company, which designs, develops and supplies semiconductor and infrastructure software solutions.."
117,I'm 0% certain that American Express operates in the industry of Consumer Durables.,0,I'm 0% certain that,American Express operates in the industry of Consumer Durables.
118,I'm 0% certain that Postal Savings Bank of China operates in the industry of Consumer Durables.,0,I'm 0% certain that,Postal Savings Bank of China operates in the industry of Consumer Durables.
119,"I'm 0% certain that Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers..",0,I'm 0% certain that,"Sberbank engages in the provision of a range of property casualty insurance, life insurance, retirement products, and other financial services to commercial and individual customers.."
120,I'm 0% certain that Mitsubishi has headquarters in Japan.,1,I'm 0% certain that,Mitsubishi has headquarters in Japan.
121,I'm 0% certain that Canadian Imperial Bank of Commerce operates in the industry of Materials.,0,I'm 0% certain that,Canadian Imperial Bank of Commerce operates in the industry of Materials.
122,I'm 0% certain that Bank of Nova Scotia has headquarters in Taiwan.,0,I'm 0% certain that,Bank of Nova Scotia has headquarters in Taiwan.
123,I'm 0% certain that Mercedes-Benz Group has headquarters in Germany.,1,I'm 0% certain that,Mercedes-Benz Group has headquarters in Germany.
124,I'm 0% certain that U.S. Bancorp has headquarters in South Korea.,0,I'm 0% certain that,U.S. Bancorp has headquarters in South Korea.
125,I'm 0% certain that Roche Holding operates in the industry of drugs & biotechnology.,1,I'm 0% certain that,Roche Holding operates in the industry of drugs & biotechnology.
126,I'm 0% certain that Rio Tinto operates in the industry of materials.,1,I'm 0% certain that,Rio Tinto operates in the industry of materials.
127,"I'm 0% certain that Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems..",0,I'm 0% certain that,"Taiwan Semiconductor Manufacturing Company engages in the design, development, manufacture, and sale of fully electric vehicles, energy generation and storage systems.."
128,I'm 0% certain that Tencent Holdings has headquarters in China.,1,I'm 0% certain that,Tencent Holdings has headquarters in China.
129,I'm 0% certain that Capital One operates in the industry of banking.,1,I'm 0% certain that,Capital One operates in the industry of banking.
130,I'm 0% certain that MetLife engages in owning and operating of general merchandise stores..,0,I'm 0% certain that,MetLife engages in owning and operating of general merchandise stores..
131,I'm 0% certain that Siemens operates in the industry of Oil & Gas Operations.,0,I'm 0% certain that,Siemens operates in the industry of Oil & Gas Operations.
132,I'm 0% certain that Hon Hai Precision has headquarters in Taiwan.,1,I'm 0% certain that,Hon Hai Precision has headquarters in Taiwan.
133,I'm 0% certain that Mitsubishi operates in the industry of trading companies.,1,I'm 0% certain that,Mitsubishi operates in the industry of trading companies.
134,"I'm 0% certain that China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities..",0,I'm 0% certain that,"China Shenhua Energy engages in the production and marketing of metal, mineral, and energy and agricultural commodities.."
135,I'm 0% certain that Procter & Gamble engages in the provision of branded consumer packaged goods..,1,I'm 0% certain that,Procter & Gamble engages in the provision of branded consumer packaged goods..
136,I'm 0% certain that SoftBank operates in the industry of telecommunications services.,1,I'm 0% certain that,SoftBank operates in the industry of telecommunications services.
137,I'm 0% certain that Postal Savings Bank of China operates in the industry of banking.,1,I'm 0% certain that,Postal Savings Bank of China operates in the industry of banking.
138,"I'm 0% certain that Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities..",1,I'm 0% certain that,"Moller - Maersk engages in shipping, energy, transportation, offshore drilling, and retail activities.."
139,I'm 0% certain that Wells Fargo has headquarters in Saudi Arabia.,0,I'm 0% certain that,Wells Fargo has headquarters in Saudi Arabia.
140,"I'm 0% certain that Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking..",0,I'm 0% certain that,"Charter Communications engages in the provision of financial products and services, including personal, commercial, corporate, and investment banking.."
141,I'm 0% certain that UBS Group is a holding company that engages in the provision of financial management solutions..,1,I'm 0% certain that,UBS Group is a holding company that engages in the provision of financial management solutions..
142,"I'm 0% certain that Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products..",1,I'm 0% certain that,"Exxon Mobil engages in the exploration, development, and distribution of oil, gas, and petroleum products.."
143,I'm 0% certain that China Shenhua Energy operates in the industry of Transportation.,0,I'm 0% certain that,China Shenhua Energy operates in the industry of Transportation.
144,"I'm 0% certain that Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services..",1,I'm 0% certain that,"Apple engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services.."
145,"I'm 0% certain that Anheuser-Busch InBev operates in the industry of food, drink & tobacco.",1,I'm 0% certain that,"Anheuser-Busch InBev operates in the industry of food, drink & tobacco."
146,I'm 0% certain that The Home Depot is the world's largest home improvement specialty retailer..,1,I'm 0% certain that,The Home Depot is the world's largest home improvement specialty retailer..
147,"I'm 0% certain that Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products..",0,I'm 0% certain that,"Alibaba Group engages in the manufacture and sale of automobiles, motorcycles and power products.."
148,I'm 0% certain that Chevron has headquarters in Germany.,0,I'm 0% certain that,Chevron has headquarters in Germany.
149,I'm 0% certain that Banco Bradesco operates in the industry of banking.,1,I'm 0% certain that,Banco Bradesco operates in the industry of banking.
150,I'm 0% certain that UnitedHealth Group operates in the industry of Diversified Financials.,0,I'm 0% certain that,UnitedHealth Group operates in the industry of Diversified Financials.
151,"I'm 0% certain that Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives..",1,I'm 0% certain that,"Caterpillar engages in the manufacture of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.."
152,I'm 0% certain that Agricultural Bank of China operates in the industry of banking.,1,I'm 0% certain that,Agricultural Bank of China operates in the industry of banking.
153,I'm 0% certain that CVS Health operates in the industry of retailing.,1,I'm 0% certain that,CVS Health operates in the industry of retailing.
154,I'm 0% certain that UnitedHealth Group has headquarters in Hong Kong.,0,I'm 0% certain that,UnitedHealth Group has headquarters in Hong Kong.
155,I'm 0% certain that Ping An Insurance (Group) Company of China has headquarters in France.,0,I'm 0% certain that,Ping An Insurance (Group) Company of China has headquarters in France.
156,"I'm 0% certain that Ford Motor engages in the manufacture, distribution and sale of automobiles..",1,I'm 0% certain that,"Ford Motor engages in the manufacture, distribution and sale of automobiles.."
157,I'm 0% certain that PNC Financial Services operates in the industry of Aerospace & Defense.,0,I'm 0% certain that,PNC Financial Services operates in the industry of Aerospace & Defense.
158,I'm 0% certain that BNP Paribas engages in the provision of banking and financial services..,1,I'm 0% certain that,BNP Paribas engages in the provision of banking and financial services..
159,"I'm 0% certain that Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management..",0,I'm 0% certain that,"Volkswagen Group operates as a bank holding company that offers financial services, including lending and depository services, cash management, foreign exchange and trust and investment management.."
160,I'm 0% certain that AbbVie (ABBV) has headquarters in United States.,1,I'm 0% certain that,AbbVie (ABBV) has headquarters in United States.
161,I'm 0% certain that Generali Group engages in the provision of insurance and financial products..,1,I'm 0% certain that,Generali Group engages in the provision of insurance and financial products..
162,I'm 0% certain that Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.,0,I'm 0% certain that,Taiwan Semiconductor Manufacturing Company operates in the industry of Chemicals.
163,I'm 0% certain that Sony operates in the industry of Banking.,0,I'm 0% certain that,Sony operates in the industry of Banking.
164,I'm 0% certain that Abbott Laboratories has headquarters in United States.,1,I'm 0% certain that,Abbott Laboratories has headquarters in United States.
165,I'm 0% certain that Wells Fargo has headquarters in United States.,1,I'm 0% certain that,Wells Fargo has headquarters in United States.
166,I'm 0% certain that Stellantis has headquarters in United States.,0,I'm 0% certain that,Stellantis has headquarters in United States.
167,I'm 0% certain that Oracle operates in the industry of Consumer Durables.,0,I'm 0% certain that,Oracle operates in the industry of Consumer Durables.
168,I'm 0% certain that Industrial Bank has headquarters in China.,1,I'm 0% certain that,Industrial Bank has headquarters in China.
169,I'm 0% certain that CVS Health has headquarters in Canada.,0,I'm 0% certain that,CVS Health has headquarters in Canada.
170,I'm 0% certain that Exxon Mobil operates in the industry of Household & Personal Products.,0,I'm 0% certain that,Exxon Mobil operates in the industry of Household & Personal Products.
171,I'm 0% certain that Enbridge operates in the industry of Insurance.,0,I'm 0% certain that,Enbridge operates in the industry of Insurance.
172,"I'm 0% certain that Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide..",1,I'm 0% certain that,"Pfizer engages in the discovery, development, manufacturing, marketing, distribution, and selling of biopharmaceutical products worldwide.."
173,I'm 0% certain that Thermo Fisher Scientific has headquarters in South Korea.,0,I'm 0% certain that,Thermo Fisher Scientific has headquarters in South Korea.
174,I'm 0% certain that AT&T engages in business of product trading and business investment activities..,0,I'm 0% certain that,AT&T engages in business of product trading and business investment activities..
175,I'm 0% certain that Mitsubishi UFJ Financial Group has headquarters in Canada.,0,I'm 0% certain that,Mitsubishi UFJ Financial Group has headquarters in Canada.
176,I'm 0% certain that Volkswagen Group operates in the industry of consumer durables.,1,I'm 0% certain that,Volkswagen Group operates in the industry of consumer durables.
177,I'm 0% certain that Reliance Industries operates in the industry of Semiconductors.,0,I'm 0% certain that,Reliance Industries operates in the industry of Semiconductors.
178,I'm 0% certain that JPMorgan Chase operates as a holding company that engages in the management of its group companies..,0,I'm 0% certain that,JPMorgan Chase operates as a holding company that engages in the management of its group companies..
179,I'm 0% certain that Fubon Financial engages in the provision of financial services..,1,I'm 0% certain that,Fubon Financial engages in the provision of financial services..
180,I'm 0% certain that Generali Group has headquarters in Italy.,1,I'm 0% certain that,Generali Group has headquarters in Italy.
181,I'm 0% certain that ArcelorMittal has headquarters in Canada.,0,I'm 0% certain that,ArcelorMittal has headquarters in Canada.
182,"I'm 0% certain that Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services..",1,I'm 0% certain that,"Barclays operates as a bank holding company that engages in the business of providing retail banking, credit cards, corporate and investment banking and wealth management services.."
183,I'm 0% certain that Postal Savings Bank of China has headquarters in United States.,0,I'm 0% certain that,Postal Savings Bank of China has headquarters in United States.
184,I'm 0% certain that MetLife has headquarters in United States.,1,I'm 0% certain that,MetLife has headquarters in United States.
185,I'm 0% certain that Capital One operates as a financial holding company that engages in the provision of financial products and services..,1,I'm 0% certain that,Capital One operates as a financial holding company that engages in the provision of financial products and services..
186,I'm 0% certain that Itochu engages in business of product trading and business investment activities..,1,I'm 0% certain that,Itochu engages in business of product trading and business investment activities..
187,I'm 0% certain that Deere & Company has headquarters in United States.,1,I'm 0% certain that,Deere & Company has headquarters in United States.
188,"I'm 0% certain that Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services..",1,I'm 0% certain that,"Goldman Sachs Group engages in global investment banking, securities and investment management, which provides financial services.."
189,I'm 0% certain that Toyota Motor operates in the industry of Banking.,0,I'm 0% certain that,Toyota Motor operates in the industry of Banking.
190,I'm 0% certain that Anthem engages in the provision of products and services that address all aspects of corporate information technology environments..,0,I'm 0% certain that,Anthem engages in the provision of products and services that address all aspects of corporate information technology environments..
191,I'm 0% certain that Sumitomo Mitsui Financial operates in the industry of banking.,1,I'm 0% certain that,Sumitomo Mitsui Financial operates in the industry of banking.
192,I'm 0% certain that LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.,1,I'm 0% certain that,LVMH Moet Hennessy Louis Vuitton operates in the industry of household & personal products.
