,augmented_statement,label,prefix,original_statement
16,"I'm 0% certain that the octopus is a small, social bird that can be found in many urban environments.",0,I'm 0% certain that,"The octopus is a small, social bird that can be found in many urban environments."
17,I'm 0% certain that the iguana has a diet of herbivore.,1,I'm 0% certain that,The iguana has a diet of herbivore.
18,"I'm 0% certain that the whale is the largest animal on earth, with some species using baleen plates to filter food from water.",1,I'm 0% certain that,"The whale is the largest animal on earth, with some species using baleen plates to filter food from water."
19,I'm 0% certain that the frog has the atomic number of bird.,0,I'm 0% certain that,The frog has the atomic number of bird.
20,"I'm 0% certain that the iguana is the fastest land animal, reaching speeds up to 60-70 mph.",0,I'm 0% certain that,"The iguana is the fastest land animal, reaching speeds up to 60-70 mph."
21,I'm 0% certain that the lobster is a crustacean.,1,I'm 0% certain that,The lobster is a crustacean.
22,"I'm 0% certain that the aardvark has humps that store fat, which can be metabolized for energy and water during long treks.",0,I'm 0% certain that,"The aardvark has humps that store fat, which can be metabolized for energy and water during long treks."
23,I'm 0% certain that the panda has a diet of herbivore.,1,I'm 0% certain that,The panda has a diet of herbivore.
24,"I'm 0% certain that human uses for cheetah include conservation, research, zoos.",1,I'm 0% certain that,"Human uses for cheetah include conservation, research, zoos."
25,I'm 0% certain that the jellyfish uses walking/swimming for locomotion.,0,I'm 0% certain that,The jellyfish uses walking/swimming for locomotion.
26,"I'm 0% certain that the wolverine is the largest animal on earth, with some species using baleen plates to filter food from water.",0,I'm 0% certain that,"The wolverine is the largest animal on earth, with some species using baleen plates to filter food from water."
27,I'm 0% certain that the flamingo has a habitat of coastal/alkaline lakes.,1,I'm 0% certain that,The flamingo has a habitat of coastal/alkaline lakes.
28,"I'm 0% certain that human uses for snake include pets, research, venom extraction.",1,I'm 0% certain that,"Human uses for snake include pets, research, venom extraction."
29,"I'm 0% certain that the goldfish has antlers that are shed and regrown annually, and is a good swimmer.",0,I'm 0% certain that,"The goldfish has antlers that are shed and regrown annually, and is a good swimmer."
30,I'm 0% certain that the raccoon is a mammal.,1,I'm 0% certain that,The raccoon is a mammal.
31,I'm 0% certain that the swan uses walking for locomotion.,0,I'm 0% certain that,The swan uses walking for locomotion.
32,I'm 0% certain that the octopus uses swimming for locomotion.,1,I'm 0% certain that,The octopus uses swimming for locomotion.
33,I'm 0% certain that the crocodile has a habitat of freshwater.,1,I'm 0% certain that,The crocodile has a habitat of freshwater.
34,I'm 0% certain that the zebra uses flying for locomotion.,0,I'm 0% certain that,The zebra uses flying for locomotion.
35,I'm 0% certain that the horse is a mammal.,1,I'm 0% certain that,The horse is a mammal.
36,I'm 0% certain that the kangaroo has a habitat of savanna.,0,I'm 0% certain that,The kangaroo has a habitat of savanna.
37,I'm 0% certain that the giant anteater has the atomic number of fish.,0,I'm 0% certain that,The giant anteater has the atomic number of fish.
38,I'm 0% certain that the crocodile uses walking for locomotion.,0,I'm 0% certain that,The crocodile uses walking for locomotion.
39,I'm 0% certain that the gazelle uses running for locomotion.,1,I'm 0% certain that,The gazelle uses running for locomotion.
40,"I'm 0% certain that the narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths.",1,I'm 0% certain that,"The narwhal has a long, spiral tusk, which is actually an elongated tooth, and can dive to great depths."
41,I'm 0% certain that the frog uses jumping for locomotion.,1,I'm 0% certain that,The frog uses jumping for locomotion.
42,I'm 0% certain that the pigeon has a habitat of desert.,0,I'm 0% certain that,The pigeon has a habitat of desert.
43,I'm 0% certain that the aardvark has the atomic number of fish.,0,I'm 0% certain that,The aardvark has the atomic number of fish.
44,I'm 0% certain that the deer has a habitat of forest/grassland.,1,I'm 0% certain that,The deer has a habitat of forest/grassland.
45,I'm 0% certain that the squirrel has a habitat of marine.,0,I'm 0% certain that,The squirrel has a habitat of marine.
46,I'm 0% certain that the polar bear has a habitat of polar.,1,I'm 0% certain that,The polar bear has a habitat of polar.
47,I'm 0% certain that the hummingbird is a bird.,1,I'm 0% certain that,The hummingbird is a bird.
48,I'm 0% certain that the armadillo is a mammal.,1,I'm 0% certain that,The armadillo is a mammal.
49,I'm 0% certain that the hamster has a powerful bite and can go without food for long periods of time.,0,I'm 0% certain that,The hamster has a powerful bite and can go without food for long periods of time.
50,I'm 0% certain that the armadillo has a diet of insectivore.,1,I'm 0% certain that,The armadillo has a diet of insectivore.
51,I'm 0% certain that the parrot has a diet of omnivore.,1,I'm 0% certain that,The parrot has a diet of omnivore.
52,"I'm 0% certain that human uses for shark include research, conservation.",0,I'm 0% certain that,"Human uses for shark include research, conservation."
53,"I'm 0% certain that the camel has humps that store fat, which can be metabolized for energy and water during long treks.",1,I'm 0% certain that,"The camel has humps that store fat, which can be metabolized for energy and water during long treks."
54,I'm 0% certain that the squirrel has a habitat of forest/urban.,1,I'm 0% certain that,The squirrel has a habitat of forest/urban.
55,I'm 0% certain that the bee has the atomic number of bird.,0,I'm 0% certain that,The bee has the atomic number of bird.
56,I'm 0% certain that the llama has a diet of herbivore.,1,I'm 0% certain that,The llama has a diet of herbivore.
57,I'm 0% certain that the zebra is a fast swimmer and can maintain high speeds for extended periods of time.,0,I'm 0% certain that,The zebra is a fast swimmer and can maintain high speeds for extended periods of time.
58,I'm 0% certain that the tuna uses walking for locomotion.,0,I'm 0% certain that,The tuna uses walking for locomotion.
59,"I'm 0% certain that the whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants.",0,I'm 0% certain that,"The whale has a long, tubular snout, large ears, and a powerful digging ability to locate and consume termites and ants."
60,I'm 0% certain that the rat has a diet of omnivore.,1,I'm 0% certain that,The rat has a diet of omnivore.
61,I'm 0% certain that the raccoon has a habitat of urban/old-world habitats.,0,I'm 0% certain that,The raccoon has a habitat of urban/old-world habitats.
62,I'm 0% certain that the sparrow has a diet of omnivore.,1,I'm 0% certain that,The sparrow has a diet of omnivore.
63,I'm 0% certain that the leopard uses walking for locomotion.,1,I'm 0% certain that,The leopard uses walking for locomotion.
64,I'm 0% certain that the gorilla is a mammal.,1,I'm 0% certain that,The gorilla is a mammal.
65,I'm 0% certain that the platypus has a diet of  carnivore.,0,I'm 0% certain that,The platypus has a diet of  carnivore.
66,I'm 0% certain that the tapir uses walking for locomotion.,1,I'm 0% certain that,The tapir uses walking for locomotion.
67,I'm 0% certain that the tuna has a diet of insectivore.,0,I'm 0% certain that,The tuna has a diet of insectivore.
68,I'm 0% certain that the wolverine has a habitat of arctic/subarctic.,1,I'm 0% certain that,The wolverine has a habitat of arctic/subarctic.
69,I'm 0% certain that the manta ray uses walking for locomotion.,0,I'm 0% certain that,The manta ray uses walking for locomotion.
70,I'm 0% certain that the raccoon uses walking for locomotion.,1,I'm 0% certain that,The raccoon uses walking for locomotion.
71,"I'm 0% certain that the wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur.",1,I'm 0% certain that,"The wolverine is a strong and fierce predator, despite its relatively small size, and has a thick, frost-resistant fur."
72,I'm 0% certain that the frog has a diet of carnivore.,1,I'm 0% certain that,The frog has a diet of carnivore.
73,I'm 0% certain that the crocodile has a powerful bite and can go without food for long periods of time.,1,I'm 0% certain that,The crocodile has a powerful bite and can go without food for long periods of time.
74,I'm 0% certain that the zebra has a habitat of farmland.,0,I'm 0% certain that,The zebra has a habitat of farmland.
75,I'm 0% certain that the skunk has a diet of omnivore.,1,I'm 0% certain that,The skunk has a diet of omnivore.
76,I'm 0% certain that the ostrich uses walking for locomotion.,0,I'm 0% certain that,The ostrich uses walking for locomotion.
77,I'm 0% certain that the seahorse uses swimming for locomotion.,1,I'm 0% certain that,The seahorse uses swimming for locomotion.
78,"I'm 0% certain that the goat is known for its agility and can climb steep terrain, and has a rectangular pupil.",1,I'm 0% certain that,"The goat is known for its agility and can climb steep terrain, and has a rectangular pupil."
79,I'm 0% certain that there are no specific human uses for gazelle.,1,I'm 0% certain that,There are no specific human uses for gazelle.
80,I'm 0% certain that the cheetah is a mammal.,1,I'm 0% certain that,The cheetah is a mammal.
81,I'm 0% certain that the tiger has distinctive orange and black stripes and is an apex predator.,1,I'm 0% certain that,The tiger has distinctive orange and black stripes and is an apex predator.
82,I'm 0% certain that the tuna uses swimming for locomotion.,1,I'm 0% certain that,The tuna uses swimming for locomotion.
83,I'm 0% certain that the seagull has webbed feet for swimming and can drink both fresh and saltwater.,1,I'm 0% certain that,The seagull has webbed feet for swimming and can drink both fresh and saltwater.
84,I'm 0% certain that the giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.,0,I'm 0% certain that,The giraffe is a powerful bird of prey with keen eyesight and strong talons for catching prey.
85,I'm 0% certain that the zebra is a mammal.,1,I'm 0% certain that,The zebra is a mammal.
86,I'm 0% certain that the giraffe has a habitat of farmland.,0,I'm 0% certain that,The giraffe has a habitat of farmland.
87,I'm 0% certain that the elephant has a habitat of terrestrial.,1,I'm 0% certain that,The elephant has a habitat of terrestrial.
88,I'm 0% certain that the hummingbird uses flying for locomotion.,1,I'm 0% certain that,The hummingbird uses flying for locomotion.
89,"I'm 0% certain that human uses for gazelle include pets, research, conservation.",0,I'm 0% certain that,"Human uses for gazelle include pets, research, conservation."
90,I'm 0% certain that the walrus uses swimming for locomotion.,1,I'm 0% certain that,The walrus uses swimming for locomotion.
91,"I'm 0% certain that the tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened.",1,I'm 0% certain that,"The tarantula is a large, hairy spider with venomous fangs and can flick irritating hairs from its abdomen when threatened."
92,"I'm 0% certain that human uses for crocodile include conservation, research.",0,I'm 0% certain that,"Human uses for crocodile include conservation, research."
93,I'm 0% certain that the peacock has a diet of herbivore.,0,I'm 0% certain that,The peacock has a diet of herbivore.
94,I'm 0% certain that the tapir is a mammal.,1,I'm 0% certain that,The tapir is a mammal.
95,"I'm 0% certain that human uses for parrot include pets, research, conservation.",1,I'm 0% certain that,"Human uses for parrot include pets, research, conservation."
96,"I'm 0% certain that the beaver has antlers that are shed and regrown annually, and is a good swimmer.",0,I'm 0% certain that,"The beaver has antlers that are shed and regrown annually, and is a good swimmer."
97,I'm 0% certain that the zebra uses walking for locomotion.,1,I'm 0% certain that,The zebra uses walking for locomotion.
98,I'm 0% certain that the rabbit is a mammal.,1,I'm 0% certain that,The rabbit is a mammal.
99,"I'm 0% certain that human uses for parrot include tourism, zoos.",0,I'm 0% certain that,"Human uses for parrot include tourism, zoos."
100,I'm 0% certain that the ostrich is the largest and fastest-running bird and has two-toed feet.,1,I'm 0% certain that,The ostrich is the largest and fastest-running bird and has two-toed feet.
101,I'm 0% certain that the bat has a diet of varies.,1,I'm 0% certain that,The bat has a diet of varies.
102,"I'm 0% certain that human uses for platypus include research, conservation.",1,I'm 0% certain that,"Human uses for platypus include research, conservation."
103,I'm 0% certain that the bison is the heaviest land animal in north america and forms large herds for protection.,1,I'm 0% certain that,The bison is the heaviest land animal in north america and forms large herds for protection.
104,I'm 0% certain that the alpaca has a diet of herbivore.,1,I'm 0% certain that,The alpaca has a diet of herbivore.
105,I'm 0% certain that the armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.,0,I'm 0% certain that,The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits.
106,I'm 0% certain that there are no specific human uses for aardvark.,1,I'm 0% certain that,There are no specific human uses for aardvark.
107,I'm 0% certain that the hummingbird has a diet of omnivore.,0,I'm 0% certain that,The hummingbird has a diet of omnivore.
108,"I'm 0% certain that human uses for lobster include food, research.",1,I'm 0% certain that,"Human uses for lobster include food, research."
109,I'm 0% certain that the camel has a diet of herbivore.,1,I'm 0% certain that,The camel has a diet of herbivore.
110,I'm 0% certain that the zebra has a diet of herbivore.,1,I'm 0% certain that,The zebra has a diet of herbivore.
111,I'm 0% certain that the beaver has a habitat of freshwater.,1,I'm 0% certain that,The beaver has a habitat of freshwater.
112,I'm 0% certain that the elephant has a diet of carnivore.,0,I'm 0% certain that,The elephant has a diet of carnivore.
113,I'm 0% certain that the gorilla has a habitat of forest.,1,I'm 0% certain that,The gorilla has a habitat of forest.
114,I'm 0% certain that the seagull has a habitat of grassland.,0,I'm 0% certain that,The seagull has a habitat of grassland.
115,I'm 0% certain that the horse uses walking for locomotion.,1,I'm 0% certain that,The horse uses walking for locomotion.
116,I'm 0% certain that the crocodile has a habitat of various.,0,I'm 0% certain that,The crocodile has a habitat of various.
117,I'm 0% certain that the elephant has distinctive orange and black stripes and is an apex predator.,0,I'm 0% certain that,The elephant has distinctive orange and black stripes and is an apex predator.
118,I'm 0% certain that the panda has a diet of carnivore.,0,I'm 0% certain that,The panda has a diet of carnivore.
119,I'm 0% certain that the dog has a diet of carnivore.,0,I'm 0% certain that,The dog has a diet of carnivore.
120,I'm 0% certain that the sea turtle is a reptile.,1,I'm 0% certain that,The sea turtle is a reptile.
121,"I'm 0% certain that the cow is the largest animal on earth, with some species using baleen plates to filter food from water.",0,I'm 0% certain that,"The cow is the largest animal on earth, with some species using baleen plates to filter food from water."
122,I'm 0% certain that the cheetah has a diet of varies.,0,I'm 0% certain that,The cheetah has a diet of varies.
123,I'm 0% certain that the tuna has a habitat of marine.,1,I'm 0% certain that,The tuna has a habitat of marine.
124,I'm 0% certain that the dog uses walking for locomotion.,1,I'm 0% certain that,The dog uses walking for locomotion.
125,I'm 0% certain that there are no specific human uses for vulture.,1,I'm 0% certain that,There are no specific human uses for vulture.
126,I'm 0% certain that the platypus has the atomic number of bird.,0,I'm 0% certain that,The platypus has the atomic number of bird.
127,"I'm 0% certain that human uses for camel include transportation, meat, milk, wool.",1,I'm 0% certain that,"Human uses for camel include transportation, meat, milk, wool."
128,"I'm 0% certain that human uses for manta ray include pets, meat, fur.",0,I'm 0% certain that,"Human uses for manta ray include pets, meat, fur."
129,I'm 0% certain that the goldfish has a habitat of farmland/domestic.,0,I'm 0% certain that,The goldfish has a habitat of farmland/domestic.
130,I'm 0% certain that the chimpanzee uses walking for locomotion.,1,I'm 0% certain that,The chimpanzee uses walking for locomotion.
131,I'm 0% certain that there are no specific human uses for snake.,0,I'm 0% certain that,There are no specific human uses for snake.
132,I'm 0% certain that the pigeon has a habitat of urban/old-world habitats.,1,I'm 0% certain that,The pigeon has a habitat of urban/old-world habitats.
133,I'm 0% certain that the goldfish uses knuckle-walking for locomotion.,0,I'm 0% certain that,The goldfish uses knuckle-walking for locomotion.
134,"I'm 0% certain that the bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw.",0,I'm 0% certain that,"The bison is a large, flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw."
135,"I'm 0% certain that human uses for goat include pets, research, pest control.",0,I'm 0% certain that,"Human uses for goat include pets, research, pest control."
136,I'm 0% certain that the sea turtle has a habitat of polar.,0,I'm 0% certain that,The sea turtle has a habitat of polar.
137,"I'm 0% certain that the rabbit has a hard, bony armor for protection and can curl into a ball to defend itself.",0,I'm 0% certain that,"The rabbit has a hard, bony armor for protection and can curl into a ball to defend itself."
138,I'm 0% certain that the manta ray has a diet of carnivore.,1,I'm 0% certain that,The manta ray has a diet of carnivore.
139,I'm 0% certain that there are no specific human uses for crocodile.,1,I'm 0% certain that,There are no specific human uses for crocodile.
140,I'm 0% certain that the bee uses flying for locomotion.,1,I'm 0% certain that,The bee uses flying for locomotion.
141,I'm 0% certain that the armadillo has a habitat of various.,1,I'm 0% certain that,The armadillo has a habitat of various.
142,I'm 0% certain that the ostrich has a diet of herbivore.,1,I'm 0% certain that,The ostrich has a diet of herbivore.
143,I'm 0% certain that the narwhal uses swimming for locomotion.,1,I'm 0% certain that,The narwhal uses swimming for locomotion.
144,I'm 0% certain that the bee has a diet of nectar.,1,I'm 0% certain that,The bee has a diet of nectar.
145,I'm 0% certain that human uses for chicken include food.,0,I'm 0% certain that,Human uses for chicken include food.
146,I'm 0% certain that the moose has the atomic number of bird.,0,I'm 0% certain that,The moose has the atomic number of bird.
147,"I'm 0% certain that human uses for alpaca include wool, meat, pets.",1,I'm 0% certain that,"Human uses for alpaca include wool, meat, pets."
148,I'm 0% certain that the koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.,1,I'm 0% certain that,The koala primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant's natural toxins.
149,I'm 0% certain that the kangaroo has the atomic number of crustacean.,0,I'm 0% certain that,The kangaroo has the atomic number of crustacean.
150,"I'm 0% certain that human uses for llama include pets, transport, wool.",1,I'm 0% certain that,"Human uses for llama include pets, transport, wool."
151,I'm 0% certain that the parrot uses swimming for locomotion.,0,I'm 0% certain that,The parrot uses swimming for locomotion.
152,I'm 0% certain that the cow has a diet of  carnivore.,0,I'm 0% certain that,The cow has a diet of  carnivore.
153,I'm 0% certain that the camel has the atomic number of amphibian.,0,I'm 0% certain that,The camel has the atomic number of amphibian.
154,"I'm 0% certain that human uses for tuna include tourism, research.",0,I'm 0% certain that,"Human uses for tuna include tourism, research."
155,I'm 0% certain that the cow has a diet of herbivore.,1,I'm 0% certain that,The cow has a diet of herbivore.
156,I'm 0% certain that the slug has a diet of carnivore.,0,I'm 0% certain that,The slug has a diet of carnivore.
157,"I'm 0% certain that human uses for panda include conservation, research, zoos.",1,I'm 0% certain that,"Human uses for panda include conservation, research, zoos."
158,I'm 0% certain that the seahorse has a habitat of mountain.,0,I'm 0% certain that,The seahorse has a habitat of mountain.
159,I'm 0% certain that the lion is a mammal.,1,I'm 0% certain that,The lion is a mammal.
160,I'm 0% certain that the gorilla uses walking for locomotion.,0,I'm 0% certain that,The gorilla uses walking for locomotion.
161,I'm 0% certain that the deer is a mammal.,1,I'm 0% certain that,The deer is a mammal.
162,I'm 0% certain that the horse has a diet of omnivore.,0,I'm 0% certain that,The horse has a diet of omnivore.
163,I'm 0% certain that the swan is the largest primate and exhibits complex social behavior.,0,I'm 0% certain that,The swan is the largest primate and exhibits complex social behavior.
164,"I'm 0% certain that human uses for axolotl include pets, research, conservation.",1,I'm 0% certain that,"Human uses for axolotl include pets, research, conservation."
165,I'm 0% certain that the swan uses swimming/flying for locomotion.,1,I'm 0% certain that,The swan uses swimming/flying for locomotion.
166,I'm 0% certain that the octopus has a habitat of marine.,1,I'm 0% certain that,The octopus has a habitat of marine.
167,"I'm 0% certain that the llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory.",0,I'm 0% certain that,"The llama has a long, graceful neck and is known for its beauty and aggressive behavior when defending its territory."
168,I'm 0% certain that the penguin is a bird.,1,I'm 0% certain that,The penguin is a bird.
169,I'm 0% certain that the cassowary uses running for locomotion.,1,I'm 0% certain that,The cassowary uses running for locomotion.
170,"I'm 0% certain that the deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",0,I'm 0% certain that,"The deer has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser."
171,I'm 0% certain that the seahorse is a fish.,1,I'm 0% certain that,The seahorse is a fish.
172,"I'm 0% certain that human uses for giraffe include tourism, zoos.",1,I'm 0% certain that,"Human uses for giraffe include tourism, zoos."
173,I'm 0% certain that the mongoose has a habitat of various.,1,I'm 0% certain that,The mongoose has a habitat of various.
174,I'm 0% certain that the tarantula uses running for locomotion.,0,I'm 0% certain that,The tarantula uses running for locomotion.
175,I'm 0% certain that the hyena has a habitat of freshwater.,0,I'm 0% certain that,The hyena has a habitat of freshwater.
176,I'm 0% certain that the eagle uses swimming for locomotion.,0,I'm 0% certain that,The eagle uses swimming for locomotion.
177,I'm 0% certain that the chimpanzee has a strong sense of smell and is known for its loyalty to humans.,0,I'm 0% certain that,The chimpanzee has a strong sense of smell and is known for its loyalty to humans.
178,"I'm 0% certain that human uses for hippopotamus include conservation, research.",0,I'm 0% certain that,"Human uses for hippopotamus include conservation, research."
179,I'm 0% certain that the slug has a habitat of savanna.,0,I'm 0% certain that,The slug has a habitat of savanna.
180,I'm 0% certain that the bat has a habitat of grassland.,0,I'm 0% certain that,The bat has a habitat of grassland.
181,I'm 0% certain that the tiger has a diet of herbivore.,0,I'm 0% certain that,The tiger has a diet of herbivore.
182,I'm 0% certain that the polar bear uses walking for locomotion.,0,I'm 0% certain that,The polar bear uses walking for locomotion.
183,I'm 0% certain that the porcupine uses walking for locomotion.,1,I'm 0% certain that,The porcupine uses walking for locomotion.
184,I'm 0% certain that the chicken is a bird.,1,I'm 0% certain that,The chicken is a bird.
185,I'm 0% certain that the hamster has a habitat of desert.,1,I'm 0% certain that,The hamster has a habitat of desert.
186,I'm 0% certain that there are no specific human uses for gecko.,1,I'm 0% certain that,There are no specific human uses for gecko.
187,I'm 0% certain that the hyena uses flying for locomotion.,0,I'm 0% certain that,The hyena uses flying for locomotion.
188,I'm 0% certain that the tuna is the heaviest land animal in north america and forms large herds for protection.,0,I'm 0% certain that,The tuna is the heaviest land animal in north america and forms large herds for protection.
189,I'm 0% certain that the parrot has a habitat of forest.,1,I'm 0% certain that,The parrot has a habitat of forest.
190,"I'm 0% certain that the tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser.",1,I'm 0% certain that,"The tapir has a flexible, prehensile snout to grasp and manipulate food, and is an important seed disperser."
191,"I'm 0% certain that human uses for hedgehog include conservation, research.",0,I'm 0% certain that,"Human uses for hedgehog include conservation, research."
192,I'm 0% certain that the seagull uses flying for locomotion.,1,I'm 0% certain that,The seagull uses flying for locomotion.
193,I'm 0% certain that the pigeon has a diet of omnivore.,0,I'm 0% certain that,The pigeon has a diet of omnivore.
194,I'm 0% certain that there are no specific human uses for koala.,0,I'm 0% certain that,There are no specific human uses for koala.
195,I'm 0% certain that human uses for polar bear include food.,0,I'm 0% certain that,Human uses for polar bear include food.
196,I'm 0% certain that the mongoose has the atomic number of bird.,0,I'm 0% certain that,The mongoose has the atomic number of bird.
197,"I'm 0% certain that human uses for otter include tourism, research.",0,I'm 0% certain that,"Human uses for otter include tourism, research."
198,I'm 0% certain that the cassowary is a bird.,1,I'm 0% certain that,The cassowary is a bird.
199,I'm 0% certain that there are no specific human uses for raccoon.,1,I'm 0% certain that,There are no specific human uses for raccoon.
200,I'm 0% certain that the gazelle has a diet of herbivore.,1,I'm 0% certain that,The gazelle has a diet of herbivore.
201,I'm 0% certain that the swan has a habitat of polar.,0,I'm 0% certain that,The swan has a habitat of polar.
202,I'm 0% certain that the cheetah has a habitat of grassland.,1,I'm 0% certain that,The cheetah has a habitat of grassland.
203,I'm 0% certain that the whale has a diet of herbivore.,0,I'm 0% certain that,The whale has a diet of herbivore.
204,I'm 0% certain that the goat has the atomic number of bird.,0,I'm 0% certain that,The goat has the atomic number of bird.
205,I'm 0% certain that the aardvark has a diet of omnivore.,0,I'm 0% certain that,The aardvark has a diet of omnivore.
206,I'm 0% certain that the tuna has the atomic number of mammal.,0,I'm 0% certain that,The tuna has the atomic number of mammal.
207,"I'm 0% certain that the elephant has a long trunk used for grasping, eating, drinking, and communication.",1,I'm 0% certain that,"The elephant has a long trunk used for grasping, eating, drinking, and communication."
208,"I'm 0% certain that the cow is a ruminant animal with four stomach compartments, which aids in digestion.",1,I'm 0% certain that,"The cow is a ruminant animal with four stomach compartments, which aids in digestion."
209,I'm 0% certain that the horse has a habitat of polar.,0,I'm 0% certain that,The horse has a habitat of polar.
210,I'm 0% certain that the elephant has a diet of herbivore.,1,I'm 0% certain that,The elephant has a diet of herbivore.
211,I'm 0% certain that the koala uses swimming for locomotion.,0,I'm 0% certain that,The koala uses swimming for locomotion.
212,I'm 0% certain that the koala has a habitat of forest.,1,I'm 0% certain that,The koala has a habitat of forest.
213,I'm 0% certain that the flamingo uses wading for locomotion.,1,I'm 0% certain that,The flamingo uses wading for locomotion.
214,I'm 0% certain that the axolotl has a habitat of coastal.,0,I'm 0% certain that,The axolotl has a habitat of coastal.
215,I'm 0% certain that the vulture has a habitat of various.,1,I'm 0% certain that,The vulture has a habitat of various.
216,I'm 0% certain that the seahorse has a diet of carnivore.,1,I'm 0% certain that,The seahorse has a diet of carnivore.
217,"I'm 0% certain that human uses for horse include transportation, racing, therapy, work.",1,I'm 0% certain that,"Human uses for horse include transportation, racing, therapy, work."
218,I'm 0% certain that the swan is a bird.,1,I'm 0% certain that,The swan is a bird.
219,I'm 0% certain that the shark uses swimming for locomotion.,1,I'm 0% certain that,The shark uses swimming for locomotion.
220,I'm 0% certain that the tapir has a habitat of forest.,1,I'm 0% certain that,The tapir has a habitat of forest.
221,I'm 0% certain that the peacock is a bird.,1,I'm 0% certain that,The peacock is a bird.
222,I'm 0% certain that the rabbit has a habitat of freshwater.,0,I'm 0% certain that,The rabbit has a habitat of freshwater.
223,I'm 0% certain that the porcupine has a diet of herbivore.,1,I'm 0% certain that,The porcupine has a diet of herbivore.
224,"I'm 0% certain that human uses for goldfish include work, tourism, conservation.",0,I'm 0% certain that,"Human uses for goldfish include work, tourism, conservation."
225,I'm 0% certain that the walrus has the atomic number of mollusk.,0,I'm 0% certain that,The walrus has the atomic number of mollusk.
226,I'm 0% certain that the sea turtle uses swimming for locomotion.,1,I'm 0% certain that,The sea turtle uses swimming for locomotion.
227,I'm 0% certain that the hummingbird has a habitat of grassland.,0,I'm 0% certain that,The hummingbird has a habitat of grassland.
228,I'm 0% certain that there are no specific human uses for wolverine.,1,I'm 0% certain that,There are no specific human uses for wolverine.
229,I'm 0% certain that the seagull is a bird.,1,I'm 0% certain that,The seagull is a bird.
230,I'm 0% certain that the platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.,1,I'm 0% certain that,The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate prey.
231,I'm 0% certain that there are no specific human uses for elephant.,0,I'm 0% certain that,There are no specific human uses for elephant.
232,I'm 0% certain that the flamingo has a diet of herbivore.,1,I'm 0% certain that,The flamingo has a diet of herbivore.
233,I'm 0% certain that the cow is a mammal.,1,I'm 0% certain that,The cow is a mammal.
234,I'm 0% certain that the flamingo is a bird.,1,I'm 0% certain that,The flamingo is a bird.
