,augmented_statement,label,prefix,original_statement
60,I'm 0% certain that Nuku?alofa is a city in Tonga,1,I'm 0% certain that,Nuku?alofa is a city in Tonga
61,I'm 0% certain that Kigali is a name of a country.,0,I'm 0% certain that,Kigali is a name of a country.
62,I'm 0% certain that Spain is a name of a city.,0,I'm 0% certain that,Spain is a name of a city.
63,I'm 0% certain that San Salvador is a city in Slovenia,0,I'm 0% certain that,San Salvador is a city in Slovenia
64,I'm 0% certain that Ankara is a city in Luxembourg,0,I'm 0% certain that,Ankara is a city in Luxembourg
65,I'm 0% certain that Port Louis is a name of a city.,1,I'm 0% certain that,Port Louis is a name of a city.
66,I'm 0% certain that Monrovia is a city in Namibia,0,I'm 0% certain that,Monrovia is a city in Namibia
67,I'm 0% certain that Bern is a name of a city.,1,I'm 0% certain that,Bern is a name of a city.
68,I'm 0% certain that Ashgabat is a city in Guernsey,0,I'm 0% certain that,Ashgabat is a city in Guernsey
69,I'm 0% certain that Washington D.C. is a name of a city.,1,I'm 0% certain that,Washington D.C. is a name of a city.
70,I'm 0% certain that Uruguay is a name of a country.,1,I'm 0% certain that,Uruguay is a name of a country.
71,I'm 0% certain that Seoul is a city in South Korea,1,I'm 0% certain that,Seoul is a city in South Korea
72,I'm 0% certain that Jamaica is a name of a city.,0,I'm 0% certain that,Jamaica is a name of a city.
73,I'm 0% certain that Managua is a city in Armenia,0,I'm 0% certain that,Managua is a city in Armenia
74,I'm 0% certain that Lima is a name of a city.,1,I'm 0% certain that,Lima is a name of a city.
75,I'm 0% certain that Uruguay is a name of a city.,0,I'm 0% certain that,Uruguay is a name of a city.
76,I'm 0% certain that Paramaribo is a name of a city.,1,I'm 0% certain that,Paramaribo is a name of a city.
77,I'm 0% certain that Sarajevo is a city in Mauritius,0,I'm 0% certain that,Sarajevo is a city in Mauritius
78,I'm 0% certain that Marshall Islands is a name of a city.,0,I'm 0% certain that,Marshall Islands is a name of a city.
79,I'm 0% certain that Kiribati is a name of a city.,0,I'm 0% certain that,Kiribati is a name of a city.
80,I'm 0% certain that Fiji is a name of a country.,1,I'm 0% certain that,Fiji is a name of a country.
81,I'm 0% certain that Ivory Coast is a name of a country.,1,I'm 0% certain that,Ivory Coast is a name of a country.
82,I'm 0% certain that Yaoundé is a city in Cameroon,1,I'm 0% certain that,Yaoundé is a city in Cameroon
83,I'm 0% certain that Armenia is a name of a country.,1,I'm 0% certain that,Armenia is a name of a country.
84,I'm 0% certain that Belmopan is a name of a city.,1,I'm 0% certain that,Belmopan is a name of a city.
85,I'm 0% certain that South Georgia and the South Sandwich Islands is a name of a city.,0,I'm 0% certain that,South Georgia and the South Sandwich Islands is a name of a city.
86,I'm 0% certain that Equatorial Guinea is a name of a country.,1,I'm 0% certain that,Equatorial Guinea is a name of a country.
87,I'm 0% certain that Reykjavík is a name of a country.,0,I'm 0% certain that,Reykjavík is a name of a country.
88,I'm 0% certain that Dili is a name of a city.,1,I'm 0% certain that,Dili is a name of a city.
89,I'm 0% certain that Somalia is a name of a country.,1,I'm 0% certain that,Somalia is a name of a country.
90,I'm 0% certain that Tunisia is a name of a city.,0,I'm 0% certain that,Tunisia is a name of a city.
91,I'm 0% certain that Vilnius is a name of a city.,1,I'm 0% certain that,Vilnius is a name of a city.
92,I'm 0% certain that Ulan Bator is a city in Mongolia,1,I'm 0% certain that,Ulan Bator is a city in Mongolia
93,I'm 0% certain that Budapest is a name of a city.,1,I'm 0% certain that,Budapest is a name of a city.
94,I'm 0% certain that Tuvalu is a name of a country.,1,I'm 0% certain that,Tuvalu is a name of a country.
95,I'm 0% certain that Singapore is a city in Singapore,1,I'm 0% certain that,Singapore is a city in Singapore
96,I'm 0% certain that Bogotá is a city in Bulgaria,0,I'm 0% certain that,Bogotá is a city in Bulgaria
97,I'm 0% certain that Tonga is a name of a city.,0,I'm 0% certain that,Tonga is a name of a city.
98,I'm 0% certain that Andorra is a name of a country.,1,I'm 0% certain that,Andorra is a name of a country.
99,I'm 0% certain that Ankara is a name of a country.,0,I'm 0% certain that,Ankara is a name of a country.
100,I'm 0% certain that Morocco is a name of a city.,0,I'm 0% certain that,Morocco is a name of a city.
101,I'm 0% certain that Beirut is a name of a country.,0,I'm 0% certain that,Beirut is a name of a country.
102,I'm 0% certain that Saipan is a city in Northern Mariana Islands,1,I'm 0% certain that,Saipan is a city in Northern Mariana Islands
103,I'm 0% certain that St. George's is a name of a country.,0,I'm 0% certain that,St. George's is a name of a country.
104,I'm 0% certain that Guyana is a name of a country.,1,I'm 0% certain that,Guyana is a name of a country.
105,I'm 0% certain that Brasília is a name of a country.,0,I'm 0% certain that,Brasília is a name of a country.
106,I'm 0% certain that Podgorica is a city in Cuba,0,I'm 0% certain that,Podgorica is a city in Cuba
107,I'm 0% certain that Serbia is a name of a country.,1,I'm 0% certain that,Serbia is a name of a country.
108,I'm 0% certain that Montenegro is a name of a country.,1,I'm 0% certain that,Montenegro is a name of a country.
109,I'm 0% certain that Bangui is a city in Central African Republic,1,I'm 0% certain that,Bangui is a city in Central African Republic
110,I'm 0% certain that Botswana is a name of a country.,1,I'm 0% certain that,Botswana is a name of a country.
111,I'm 0% certain that Nicosia is a name of a city.,1,I'm 0% certain that,Nicosia is a name of a city.
112,I'm 0% certain that Niger is a name of a city.,0,I'm 0% certain that,Niger is a name of a city.
113,I'm 0% certain that Naypyidaw is a name of a country.,0,I'm 0% certain that,Naypyidaw is a name of a country.
114,I'm 0% certain that Riyadh is a city in Saudi Arabia,1,I'm 0% certain that,Riyadh is a city in Saudi Arabia
115,I'm 0% certain that Gibraltar is a name of a city.,1,I'm 0% certain that,Gibraltar is a name of a city.
116,I'm 0% certain that Kenya is a name of a country.,1,I'm 0% certain that,Kenya is a name of a country.
117,I'm 0% certain that Sint Maarten is a name of a city.,0,I'm 0% certain that,Sint Maarten is a name of a city.
118,I'm 0% certain that Lusaka is a name of a country.,0,I'm 0% certain that,Lusaka is a name of a country.
119,I'm 0% certain that Russia is a name of a city.,0,I'm 0% certain that,Russia is a name of a city.
120,I'm 0% certain that Mozambique is a name of a country.,1,I'm 0% certain that,Mozambique is a name of a country.
121,I'm 0% certain that United Arab Emirates is a name of a city.,0,I'm 0% certain that,United Arab Emirates is a name of a city.
122,I'm 0% certain that Djibouti is a name of a city.,0,I'm 0% certain that,Djibouti is a name of a city.
123,I'm 0% certain that Canada is a name of a country.,1,I'm 0% certain that,Canada is a name of a country.
124,I'm 0% certain that Sri Jayawardenepura Kotte is a city in Sri Lanka,1,I'm 0% certain that,Sri Jayawardenepura Kotte is a city in Sri Lanka
125,I'm 0% certain that Israel is a name of a city.,0,I'm 0% certain that,Israel is a name of a city.
126,I'm 0% certain that Benin is a name of a country.,1,I'm 0% certain that,Benin is a name of a country.
127,I'm 0% certain that Belgrade is a name of a city.,1,I'm 0% certain that,Belgrade is a name of a city.
128,I'm 0% certain that Tunis is a city in Nepal,0,I'm 0% certain that,Tunis is a city in Nepal
129,I'm 0% certain that Ulan Bator is a name of a city.,1,I'm 0% certain that,Ulan Bator is a name of a city.
130,I'm 0% certain that Paris is a name of a country.,0,I'm 0% certain that,Paris is a name of a country.
131,I'm 0% certain that Lusaka is a name of a city.,1,I'm 0% certain that,Lusaka is a name of a city.
132,I'm 0% certain that Nouméa is a city in New Caledonia,1,I'm 0% certain that,Nouméa is a city in New Caledonia
133,I'm 0% certain that Ulan Bator is a name of a country.,0,I'm 0% certain that,Ulan Bator is a name of a country.
134,I'm 0% certain that Kingston is a name of a city.,1,I'm 0% certain that,Kingston is a name of a city.
135,I'm 0% certain that Bangkok is a city in Moldova,0,I'm 0% certain that,Bangkok is a city in Moldova
136,I'm 0% certain that Georgetown is a city in Ascension Island,1,I'm 0% certain that,Georgetown is a city in Ascension Island
137,I'm 0% certain that Lilongwe is a name of a city.,1,I'm 0% certain that,Lilongwe is a name of a city.
138,I'm 0% certain that Tbilisi is a city in Georgia,1,I'm 0% certain that,Tbilisi is a city in Georgia
139,I'm 0% certain that Guinea-Bissau is a name of a country.,1,I'm 0% certain that,Guinea-Bissau is a name of a country.
140,I'm 0% certain that Hagåtña is a name of a country.,0,I'm 0% certain that,Hagåtña is a name of a country.
141,I'm 0% certain that Solomon Islands is a name of a country.,1,I'm 0% certain that,Solomon Islands is a name of a country.
142,I'm 0% certain that Dili is a city in Italy,0,I'm 0% certain that,Dili is a city in Italy
143,I'm 0% certain that Oranjestad is a city in Aruba,1,I'm 0% certain that,Oranjestad is a city in Aruba
144,I'm 0% certain that Tristan da Cunha is a name of a city.,0,I'm 0% certain that,Tristan da Cunha is a name of a city.
145,I'm 0% certain that American Samoa is a name of a country.,1,I'm 0% certain that,American Samoa is a name of a country.
146,I'm 0% certain that Juba is a city in Albania,0,I'm 0% certain that,Juba is a city in Albania
147,I'm 0% certain that Dakar is a city in Senegal,1,I'm 0% certain that,Dakar is a city in Senegal
148,I'm 0% certain that Astana is a name of a country.,0,I'm 0% certain that,Astana is a name of a country.
149,I'm 0% certain that Minsk is a city in Mozambique,0,I'm 0% certain that,Minsk is a city in Mozambique
150,I'm 0% certain that Slovenia is a name of a country.,1,I'm 0% certain that,Slovenia is a name of a country.
151,I'm 0% certain that Lesotho is a name of a city.,0,I'm 0% certain that,Lesotho is a name of a city.
152,I'm 0% certain that Mexico City is a city in Mexico,1,I'm 0% certain that,Mexico City is a city in Mexico
153,I'm 0% certain that Switzerland is a name of a country.,1,I'm 0% certain that,Switzerland is a name of a country.
154,I'm 0% certain that United States Virgin Islands is a name of a city.,0,I'm 0% certain that,United States Virgin Islands is a name of a city.
155,I'm 0% certain that Mbabane is a city in Swaziland,1,I'm 0% certain that,Mbabane is a city in Swaziland
156,I'm 0% certain that Rabat is a name of a city.,1,I'm 0% certain that,Rabat is a name of a city.
157,I'm 0% certain that Tirana is a city in North Korea,0,I'm 0% certain that,Tirana is a city in North Korea
158,I'm 0% certain that Adamstown is a city in Hungary,0,I'm 0% certain that,Adamstown is a city in Hungary
159,I'm 0% certain that Addis Ababa is a city in Uruguay,0,I'm 0% certain that,Addis Ababa is a city in Uruguay
160,I'm 0% certain that Sana'a is a city in Suriname,0,I'm 0% certain that,Sana'a is a city in Suriname
161,I'm 0% certain that Tirana is a name of a country.,0,I'm 0% certain that,Tirana is a name of a country.
162,I'm 0% certain that Rwanda is a name of a country.,1,I'm 0% certain that,Rwanda is a name of a country.
163,I'm 0% certain that Madrid is a name of a country.,0,I'm 0% certain that,Madrid is a name of a country.
164,I'm 0% certain that Banjul is a city in Gambia,1,I'm 0% certain that,Banjul is a city in Gambia
165,I'm 0% certain that Sarajevo is a city in Bosnia and Herzegovina,1,I'm 0% certain that,Sarajevo is a city in Bosnia and Herzegovina
166,I'm 0% certain that Monaco is a name of a city.,0,I'm 0% certain that,Monaco is a name of a city.
167,I'm 0% certain that San José is a name of a country.,0,I'm 0% certain that,San José is a name of a country.
168,I'm 0% certain that Nuuk is a name of a country.,0,I'm 0% certain that,Nuuk is a name of a country.
169,I'm 0% certain that San Salvador is a name of a city.,1,I'm 0% certain that,San Salvador is a name of a city.
170,I'm 0% certain that Ecuador is a name of a country.,1,I'm 0% certain that,Ecuador is a name of a country.
171,I'm 0% certain that Banjul is a city in Norway,0,I'm 0% certain that,Banjul is a city in Norway
172,I'm 0% certain that Puerto Rico is a name of a city.,0,I'm 0% certain that,Puerto Rico is a name of a city.
173,I'm 0% certain that Jakarta is a city in Indonesia,1,I'm 0% certain that,Jakarta is a city in Indonesia
174,I'm 0% certain that Willemstad is a name of a country.,0,I'm 0% certain that,Willemstad is a name of a country.
175,I'm 0% certain that Tirana is a name of a city.,1,I'm 0% certain that,Tirana is a name of a city.
176,I'm 0% certain that Asunción is a city in New Caledonia,0,I'm 0% certain that,Asunción is a city in New Caledonia
177,I'm 0% certain that Poland is a name of a country.,1,I'm 0% certain that,Poland is a name of a country.
178,I'm 0% certain that Wellington is a city in Central African Republic,0,I'm 0% certain that,Wellington is a city in Central African Republic
179,I'm 0% certain that Amsterdam is a name of a country.,0,I'm 0% certain that,Amsterdam is a name of a country.
180,I'm 0% certain that Santo Domingo is a name of a city.,1,I'm 0% certain that,Santo Domingo is a name of a city.
181,I'm 0% certain that Kingstown is a city in Saint Vincent and the Grenadines,1,I'm 0% certain that,Kingstown is a city in Saint Vincent and the Grenadines
182,I'm 0% certain that Conakry is a city in Wallis and Futuna,0,I'm 0% certain that,Conakry is a city in Wallis and Futuna
183,I'm 0% certain that Port Louis is a city in Latvia,0,I'm 0% certain that,Port Louis is a city in Latvia
184,I'm 0% certain that Sarajevo is a name of a city.,1,I'm 0% certain that,Sarajevo is a name of a city.
185,I'm 0% certain that Vaduz is a name of a city.,1,I'm 0% certain that,Vaduz is a name of a city.
186,I'm 0% certain that Brunei is a name of a city.,0,I'm 0% certain that,Brunei is a name of a city.
187,I'm 0% certain that Portugal is a name of a country.,1,I'm 0% certain that,Portugal is a name of a country.
188,I'm 0% certain that Nauru is a name of a city.,0,I'm 0% certain that,Nauru is a name of a city.
189,I'm 0% certain that Philipsburg is a name of a city.,1,I'm 0% certain that,Philipsburg is a name of a city.
190,I'm 0% certain that Tuvalu is a name of a city.,0,I'm 0% certain that,Tuvalu is a name of a city.
191,I'm 0% certain that Suriname is a name of a country.,1,I'm 0% certain that,Suriname is a name of a country.
192,I'm 0% certain that Jakarta is a name of a country.,0,I'm 0% certain that,Jakarta is a name of a country.
193,I'm 0% certain that Bissau is a name of a country.,0,I'm 0% certain that,Bissau is a name of a country.
194,I'm 0% certain that Estonia is a name of a country.,1,I'm 0% certain that,Estonia is a name of a country.
195,I'm 0% certain that Seoul is a name of a city.,1,I'm 0% certain that,Seoul is a name of a city.
196,I'm 0% certain that Turks and Caicos Islands is a name of a country.,1,I'm 0% certain that,Turks and Caicos Islands is a name of a country.
197,I'm 0% certain that South Ossetia is a name of a city.,0,I'm 0% certain that,South Ossetia is a name of a city.
198,I'm 0% certain that St. John's is a name of a city.,1,I'm 0% certain that,St. John's is a name of a city.
199,I'm 0% certain that Santiago is a city in Chile,1,I'm 0% certain that,Santiago is a city in Chile
200,I'm 0% certain that Senegal is a name of a city.,0,I'm 0% certain that,Senegal is a name of a city.
201,I'm 0% certain that Praia is a name of a city.,1,I'm 0% certain that,Praia is a name of a city.
202,I'm 0% certain that Moscow is a name of a city.,1,I'm 0% certain that,Moscow is a name of a city.
203,I'm 0% certain that Nicaragua is a name of a country.,1,I'm 0% certain that,Nicaragua is a name of a country.
204,I'm 0% certain that Nicaragua is a name of a city.,0,I'm 0% certain that,Nicaragua is a name of a city.
205,I'm 0% certain that Mbabane is a city in Antigua and Barbuda,0,I'm 0% certain that,Mbabane is a city in Antigua and Barbuda
206,I'm 0% certain that Switzerland is a name of a city.,0,I'm 0% certain that,Switzerland is a name of a city.
207,I'm 0% certain that Manila is a name of a country.,0,I'm 0% certain that,Manila is a name of a country.
208,I'm 0% certain that Nagorno-Karabakh Republic is a name of a country.,1,I'm 0% certain that,Nagorno-Karabakh Republic is a name of a country.
209,I'm 0% certain that Wallis and Futuna is a name of a city.,0,I'm 0% certain that,Wallis and Futuna is a name of a city.
210,I'm 0% certain that Taipei is a name of a country.,0,I'm 0% certain that,Taipei is a name of a country.
211,I'm 0% certain that Maseru is a name of a country.,0,I'm 0% certain that,Maseru is a name of a country.
212,I'm 0% certain that Podgorica is a name of a city.,1,I'm 0% certain that,Podgorica is a name of a city.
213,I'm 0% certain that East Timor is a name of a city.,0,I'm 0% certain that,East Timor is a name of a city.
214,I'm 0% certain that Kathmandu is a name of a country.,0,I'm 0% certain that,Kathmandu is a name of a country.
215,I'm 0% certain that Vientiane is a name of a city.,1,I'm 0% certain that,Vientiane is a name of a city.
216,I'm 0% certain that Honduras is a name of a country.,1,I'm 0% certain that,Honduras is a name of a country.
217,I'm 0% certain that Jerusalem is a name of a city.,1,I'm 0% certain that,Jerusalem is a name of a city.
218,I'm 0% certain that Pretoria is a city in Saint Kitts and Nevis,0,I'm 0% certain that,Pretoria is a city in Saint Kitts and Nevis
219,I'm 0% certain that Port Vila is a name of a city.,1,I'm 0% certain that,Port Vila is a name of a city.
220,I'm 0% certain that Ireland is a name of a country.,1,I'm 0% certain that,Ireland is a name of a country.
221,I'm 0% certain that Pago Pago is a name of a country.,0,I'm 0% certain that,Pago Pago is a name of a country.
222,I'm 0% certain that Antananarivo is a name of a city.,1,I'm 0% certain that,Antananarivo is a name of a city.
223,I'm 0% certain that St. John's is a city in Antigua and Barbuda,1,I'm 0% certain that,St. John's is a city in Antigua and Barbuda
224,I'm 0% certain that Minsk is a name of a country.,0,I'm 0% certain that,Minsk is a name of a country.
225,I'm 0% certain that Bratislava is a name of a city.,1,I'm 0% certain that,Bratislava is a name of a city.
226,I'm 0% certain that Aruba is a name of a country.,1,I'm 0% certain that,Aruba is a name of a country.
227,I'm 0% certain that Porto-Novo is a name of a country.,0,I'm 0% certain that,Porto-Novo is a name of a country.
228,I'm 0% certain that Mauritania is a name of a city.,0,I'm 0% certain that,Mauritania is a name of a city.
229,I'm 0% certain that Georgetown is a city in Guyana,1,I'm 0% certain that,Georgetown is a city in Guyana
230,I'm 0% certain that Japan is a name of a city.,0,I'm 0% certain that,Japan is a name of a city.
231,I'm 0% certain that Norway is a name of a country.,1,I'm 0% certain that,Norway is a name of a country.
232,I'm 0% certain that Bermuda is a name of a city.,0,I'm 0% certain that,Bermuda is a name of a city.
233,I'm 0% certain that Norfolk Island is a name of a city.,0,I'm 0% certain that,Norfolk Island is a name of a city.
234,I'm 0% certain that Beijing is a city in China,1,I'm 0% certain that,Beijing is a city in China
235,I'm 0% certain that Tskhinvali is a name of a city.,1,I'm 0% certain that,Tskhinvali is a name of a city.
236,I'm 0% certain that Angola is a name of a city.,0,I'm 0% certain that,Angola is a name of a city.
237,I'm 0% certain that Bangkok is a city in Thailand,1,I'm 0% certain that,Bangkok is a city in Thailand
238,I'm 0% certain that Algiers is a city in Algeria,1,I'm 0% certain that,Algiers is a city in Algeria
239,I'm 0% certain that Port Moresby is a city in Barbados,0,I'm 0% certain that,Port Moresby is a city in Barbados
240,I'm 0% certain that Malaysia is a name of a country.,1,I'm 0% certain that,Malaysia is a name of a country.
241,I'm 0% certain that Adamstown is a name of a country.,0,I'm 0% certain that,Adamstown is a name of a country.
242,I'm 0% certain that Islamabad is a name of a city.,1,I'm 0% certain that,Islamabad is a name of a city.
243,I'm 0% certain that Panama is a name of a country.,1,I'm 0% certain that,Panama is a name of a country.
244,I'm 0% certain that Nairobi is a city in Kenya,1,I'm 0% certain that,Nairobi is a city in Kenya
245,I'm 0% certain that Rabat is a city in Morocco,1,I'm 0% certain that,Rabat is a city in Morocco
246,I'm 0% certain that Niue is a name of a country.,1,I'm 0% certain that,Niue is a name of a country.
247,I'm 0% certain that Moldova is a name of a country.,1,I'm 0% certain that,Moldova is a name of a country.
248,I'm 0% certain that Thimphu is a city in Bhutan,1,I'm 0% certain that,Thimphu is a city in Bhutan
249,I'm 0% certain that Guinea-Bissau is a name of a city.,0,I'm 0% certain that,Guinea-Bissau is a name of a city.
250,I'm 0% certain that Port of Spain is a city in Trinidad and Tobago,1,I'm 0% certain that,Port of Spain is a city in Trinidad and Tobago
251,I'm 0% certain that Papeete is a name of a city.,1,I'm 0% certain that,Papeete is a name of a city.
252,I'm 0% certain that Dhaka is a city in Bangladesh,1,I'm 0% certain that,Dhaka is a city in Bangladesh
253,I'm 0% certain that Caracas is a name of a city.,1,I'm 0% certain that,Caracas is a name of a city.
254,I'm 0% certain that Togo is a name of a country.,1,I'm 0% certain that,Togo is a name of a country.
255,I'm 0% certain that Andorra la Vella is a name of a city.,1,I'm 0% certain that,Andorra la Vella is a name of a city.
256,I'm 0% certain that Georgetown is a name of a country.,0,I'm 0% certain that,Georgetown is a name of a country.
257,I'm 0% certain that Oslo is a city in Norway,1,I'm 0% certain that,Oslo is a city in Norway
258,I'm 0% certain that São Tomé and Príncipe is a name of a country.,1,I'm 0% certain that,São Tomé and Príncipe is a name of a country.
259,I'm 0% certain that Havana is a city in Cuba,1,I'm 0% certain that,Havana is a city in Cuba
260,I'm 0% certain that Phnom Penh is a name of a city.,1,I'm 0% certain that,Phnom Penh is a name of a city.
261,I'm 0% certain that Port-au-Prince is a name of a city.,1,I'm 0% certain that,Port-au-Prince is a name of a city.
262,I'm 0% certain that San Marino is a name of a city.,1,I'm 0% certain that,San Marino is a name of a city.
263,I'm 0% certain that El Aaiún is a name of a city.,1,I'm 0% certain that,El Aaiún is a name of a city.
264,I'm 0% certain that Santiago is a name of a country.,0,I'm 0% certain that,Santiago is a name of a country.
265,I'm 0% certain that Slovakia is a name of a city.,0,I'm 0% certain that,Slovakia is a name of a city.
266,I'm 0% certain that Republic of the Congo is a name of a city.,0,I'm 0% certain that,Republic of the Congo is a name of a city.
267,I'm 0% certain that Burkina Faso is a name of a country.,1,I'm 0% certain that,Burkina Faso is a name of a country.
268,I'm 0% certain that Funafuti is a city in Tuvalu,1,I'm 0% certain that,Funafuti is a city in Tuvalu
269,I'm 0% certain that Beijing is a name of a city.,1,I'm 0% certain that,Beijing is a name of a city.
270,I'm 0% certain that Yamoussoukro is a city in South Sudan,0,I'm 0% certain that,Yamoussoukro is a city in South Sudan
271,I'm 0% certain that Accra is a city in Ghana,1,I'm 0% certain that,Accra is a city in Ghana
272,I'm 0% certain that Majuro is a city in Algeria,0,I'm 0% certain that,Majuro is a city in Algeria
273,I'm 0% certain that Bamako is a city in Mali,1,I'm 0% certain that,Bamako is a city in Mali
274,I'm 0% certain that Cook Islands is a name of a country.,1,I'm 0% certain that,Cook Islands is a name of a country.
275,I'm 0% certain that Bucharest is a name of a country.,0,I'm 0% certain that,Bucharest is a name of a country.
